Time,"__name__=""dockerstats_memory_usage_bytes"",id=""3615991dab23"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""4283985b5a3a"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""6f7add22d505"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""722f36c5a4fb"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""8a885a817d3f"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""9a1082b703fd"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""ee8dfb3b8a16"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1"""
2026-03-05 13:41:02,677670912,,688660480,786874368,691720192,793112576,673054720
2026-03-05 13:41:32,798130176,,795185152,1168433152,1093767168,1349730304,1072668672
2026-03-05 13:42:02,878161920,,802054144,1312886784,1193254912,1350684672,1176649728
2026-03-05 13:42:32,894382080,,1087475712,1379098624,1323237376,1366863872,1305055232
2026-03-05 13:43:02,932679680,,1208758272,1379577856,1323573248,1369759744,1305145344
2026-03-05 13:43:32,1373933568,,1697632256,1413095424,1365520384,1381449728,1364099072
2026-03-05 13:44:02,1478963200,,1796300800,1424900096,1365721088,1387610112,1370361856
2026-03-05 13:44:32,1691897856,,2021965824,1425432576,1366732800,1383161856,1371070464
2026-03-05 13:45:02,1974337536,,2328477696,1428307968,1367195648,1394397184,1371209728
2026-03-05 13:45:32,2215936000,,2559651840,1429762048,1370718208,1413648384,1374715904
2026-03-05 13:46:02,2501365760,,2677538816,1430597632,1371623424,1416777728,1375477760
2026-03-05 13:46:32,2673041408,,2698194944,1420869632,1372962816,1423261696,1377116160
