timestamp,container,cgrp_total_mb,rss_mb,cache_mb,nmt_total_mb,heap_mb,gc_mb,threads_mb,metaspace_mb,non_jvm_mb,db_count,db_fds,db_disk_mb
2026-03-16 16:53:37,rskj-miner1,3285,3086,208,0,0,0,0,0,3086,7,38,67
2026-03-16 16:53:38,rskj-miner2,3225,3044,179,0,0,0,0,0,3044,7,38,67
2026-03-16 16:53:39,rskj-node1,2102,2044,61,0,0,0,0,0,2044,7,38,67
2026-03-16 16:53:39,rskj-node2,2103,2047,60,0,0,0,0,0,2047,7,38,67
2026-03-16 16:54:11,rskj-miner1,3293,3086,215,0,0,0,0,0,3086,7,38,67
2026-03-16 16:54:11,rskj-miner2,3235,3047,187,0,0,0,0,0,3047,7,38,67
2026-03-16 16:54:12,rskj-node1,2108,2050,62,0,0,0,0,0,2050,7,38,67
2026-03-16 16:54:13,rskj-node2,2105,2047,61,0,0,0,0,0,2047,7,38,67
2026-03-16 16:54:44,rskj-miner1,3309,3093,223,0,0,0,0,0,3093,7,38,67
2026-03-16 16:54:45,rskj-miner2,3247,3050,194,0,0,0,0,0,3050,7,38,67
2026-03-16 16:54:46,rskj-node1,2108,2050,62,0,0,0,0,0,2050,7,38,67
2026-03-16 16:54:46,rskj-node2,2109,2052,61,0,0,0,0,0,2052,7,38,67
2026-03-16 16:55:17,rskj-miner1,3329,3098,236,0,0,0,0,0,3098,7,38,67
2026-03-16 16:55:18,rskj-miner2,3259,3053,204,0,0,0,0,0,3053,7,38,67
2026-03-16 16:55:19,rskj-node1,2113,2054,62,0,0,0,0,0,2054,7,38,67
2026-03-16 16:55:20,rskj-node2,2110,2052,62,0,0,0,0,0,2052,7,38,67
2026-03-16 16:55:51,rskj-miner1,3339,3100,245,0,0,0,0,0,3100,7,38,67
2026-03-16 16:55:52,rskj-miner2,3271,3057,209,0,0,0,0,0,3057,7,38,67
2026-03-16 16:55:53,rskj-node1,2117,2056,63,0,0,0,0,0,2056,7,38,67
2026-03-16 16:55:54,rskj-node2,2118,2060,62,0,0,0,0,0,2060,7,38,67
2026-03-16 16:56:25,rskj-miner1,3345,3100,252,0,0,0,0,0,3100,7,38,67
2026-03-16 16:56:25,rskj-miner2,3273,3057,213,0,0,0,0,0,3057,7,38,67
2026-03-16 16:56:26,rskj-node1,2124,2062,64,0,0,0,0,0,2062,7,38,67
2026-03-16 16:56:27,rskj-node2,2119,2060,63,0,0,0,0,0,2060,7,38,67
2026-03-16 16:56:58,rskj-miner1,3358,3106,259,0,0,0,0,0,3106,7,38,67
2026-03-16 16:56:59,rskj-miner2,3281,3061,217,0,0,0,0,0,3061,7,38,67
2026-03-16 16:56:59,rskj-node1,2126,2065,65,0,0,0,0,0,2065,7,38,67
2026-03-16 16:57:00,rskj-node2,2122,2061,64,0,0,0,0,0,2061,7,38,67
2026-03-16 16:57:31,rskj-miner1,3369,3107,267,0,0,0,0,0,3107,7,38,67
2026-03-16 16:57:32,rskj-miner2,3286,3061,221,0,0,0,0,0,3061,7,38,67
2026-03-16 16:57:33,rskj-node1,2128,2065,65,0,0,0,0,0,2065,7,38,67
2026-03-16 16:57:34,rskj-node2,2122,2061,64,0,0,0,0,0,2061,7,38,67
2026-03-16 16:58:05,rskj-miner1,3379,3111,275,0,0,0,0,0,3111,7,38,67
2026-03-16 16:58:06,rskj-miner2,3297,3066,227,0,0,0,0,0,3066,7,38,67
2026-03-16 16:58:07,rskj-node1,2136,2073,66,0,0,0,0,0,2073,7,38,67
2026-03-16 16:58:07,rskj-node2,2129,2068,65,0,0,0,0,0,2068,7,38,67
2026-03-16 16:58:38,rskj-miner1,3387,3112,281,0,0,0,0,0,3112,7,39,75
2026-03-16 16:58:39,rskj-miner2,3304,3068,232,0,0,0,0,0,3068,7,39,75
2026-03-16 16:58:40,rskj-node1,2138,2074,67,0,0,0,0,0,2074,7,39,75
2026-03-16 16:58:41,rskj-node2,2131,2068,66,0,0,0,0,0,2068,7,39,75
2026-03-16 16:59:12,rskj-miner1,3314,3116,206,0,0,0,0,0,3116,7,39,75
2026-03-16 16:59:13,rskj-miner2,3332,3078,250,0,0,0,0,0,3078,7,39,75
