Time,"__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner3"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner3"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner4"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner4"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-node1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-node1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-node2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-node2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-02-12 14:38:49,,,5.071463,,,,,,,,5.324979,
2026-02-12 14:39:19,,,5.071463,,,,,,,,5.324979,
2026-02-12 14:39:49,,,5.071463,,,,,,,,5.324979,
2026-02-12 14:40:19,,,5.071463,,,,,,,,5.324979,
2026-02-12 14:40:49,,,5.071463,,,,,,,,5.324979,
2026-02-12 14:41:19,,,5.071463,,,,,,,,5.324979,
2026-02-12 14:50:19,0.002768,,,,,,,,,,,
2026-02-12 14:50:49,0.002768,,,,0.000178,,0.000195,,0.000171,,,
2026-02-12 14:51:19,0.002768,,,,0.000178,,0.000195,,0.000171,,,
2026-02-12 14:51:49,0.002768,,,,0.000178,,0.000195,,0.000171,,,
2026-02-12 14:52:19,0.002768,,,,0.000178,,0.000195,,0.000171,,,
2026-02-12 14:52:49,0.002768,,,,0.000178,,0.000195,,0.000171,,,
2026-02-12 14:53:19,0.002768,,,,0.000178,,0.000195,,0.000171,,,
2026-02-12 14:53:49,0.002768,,,,0.000178,,0.000195,,0.000171,,,
2026-02-12 14:54:19,0.002768,,,,0.000178,,0.000195,,0.000171,,,
2026-02-12 14:54:49,0.002768,,,,0.000178,,0.000195,,0.000171,,,
2026-02-12 14:55:19,,,,,0.000178,,0.000195,,0.000171,,,
2026-02-12 15:13:49,0.000169,,,,0.000184,,0.000142,,0.000183,,,
2026-02-12 15:14:19,0.000169,,,,0.000184,,0.000142,,0.000183,,,
2026-02-12 15:14:49,0.000169,,,,0.000184,,0.000142,,0.000183,,,
2026-02-12 15:15:19,0.000169,,,,0.000184,,0.000142,,0.000183,,,
2026-02-12 15:15:49,0.000169,,,,0.000184,,0.000142,,0.000183,,,
2026-02-12 15:16:19,0.000169,,,,0.000184,,0.000142,,0.000183,,,
2026-02-12 15:16:49,0.000169,,8.835504,,0.000184,,0.000142,,0.000183,,8.90685,
2026-02-12 15:17:19,0.000169,,8.835504,,0.000184,,0.000142,,0.000183,,8.90685,
2026-02-12 15:17:49,0.000169,,8.835504,,0.000184,,0.000142,,0.000183,,8.90685,
2026-02-12 15:18:19,0.000169,,8.835504,,0.000184,,0.000142,,0.000183,,8.90685,
2026-02-12 15:18:49,,,8.835504,,,,,,,,8.90685,
2026-02-12 15:19:19,,,8.835504,,,,,,,,8.90685,
2026-02-12 15:19:49,,,8.835504,,,,,,,,8.90685,
2026-02-12 15:20:19,,,8.835504,,,,,,,,8.90685,
2026-02-12 15:20:49,,,8.835504,,,,,,,,8.90685,
2026-02-12 15:21:19,,,8.835504,,,,,,,,8.90685,
2026-02-12 15:41:19,0.000469,,,,0.000489,,0.001363,,0.000185,,,
2026-02-12 15:41:49,0.000469,,,,0.000489,,0.001363,,0.000185,,,
2026-02-12 15:42:19,0.000469,,,,0.000489,,0.001363,,0.000185,,,
2026-02-12 15:42:49,0.000469,,,,0.000489,,0.001363,,0.000185,,,
2026-02-12 15:43:19,0.000469,,,,0.000489,,0.001363,,0.000185,,,
2026-02-12 15:43:49,0.000469,,,,0.000489,,0.001363,,0.000185,,,
2026-02-12 15:44:19,0.000469,,,,0.000489,,0.001363,,0.000185,,,
2026-02-12 15:44:49,0.000469,,,,0.000489,,0.001363,,0.000185,,,
2026-02-12 15:45:19,0.000469,,,,0.000489,,0.001363,,0.000185,,,
2026-02-12 15:45:49,0.000469,,,,0.000489,,0.001363,,0.000185,,,
2026-02-12 16:00:49,,,12.868324,,,,,,,,12.447364,
2026-02-12 16:01:19,,,12.868324,,,,,,,,12.447364,
2026-02-12 16:01:49,,,12.868324,,,,,,,,12.447364,
2026-02-12 16:02:19,,,12.868324,,,,,,,,12.447364,
2026-02-12 16:02:49,,,12.868324,,,,,,,,12.447364,
2026-02-12 16:03:19,,,12.868324,,,,,,,,12.447364,
2026-02-12 16:03:49,,,12.868324,,,,,,,,12.447364,
2026-02-12 16:04:19,,,12.868324,,,,,,,,12.447364,
2026-02-12 16:04:49,,,12.868324,,,,,,,,12.447364,
2026-02-12 16:05:19,,,12.868324,,,,,,,,12.447364,
2026-02-12 16:06:49,0.000736,,,,0.000142,,0.000188,,0.000228,,,
2026-02-12 16:07:19,0.000736,,,,0.000142,,0.000188,,0.000228,,,
2026-02-12 16:07:49,0.000736,,,,0.000142,,0.000188,,0.000228,,,
2026-02-12 16:08:19,0.000736,,,,0.000142,,0.000188,,0.000228,,,
2026-02-12 16:08:49,0.000736,,,,0.000142,,0.000188,,0.000228,,,
2026-02-12 16:09:19,0.000736,,,,0.000142,,0.000188,,0.000228,,,
2026-02-12 16:09:49,0.000736,,,,0.000142,,0.000188,,0.000228,,,
2026-02-12 16:10:19,0.000736,,,,0.000142,,0.000188,,0.000228,,,
2026-02-12 16:10:49,0.000736,,,,0.000142,,0.000188,,0.000228,,,
2026-02-12 16:11:19,0.000736,,,,0.000142,,0.000188,,0.000228,,,
2026-02-12 16:32:19,0.000351,,,,0.000153,,0.001057,,0.000202,,,
2026-02-12 16:32:49,0.000351,,,,0.000153,,0.001057,,0.000202,,,
2026-02-12 16:33:19,0.000351,,,,0.000153,,0.001057,,0.000202,,,
2026-02-12 16:33:49,0.000351,,,,0.000153,,0.001057,,0.000202,,,
2026-02-12 16:34:19,0.000351,,,,0.000153,,0.001057,,0.000202,,,
2026-02-12 16:34:49,0.000351,,,,0.000153,,0.001057,,0.000202,,,
2026-02-12 16:35:19,0.000351,,,,0.000153,,0.001057,,0.000202,,,
2026-02-12 16:35:49,0.000351,,,,0.000153,,0.001057,,0.000202,,,
2026-02-12 16:36:19,0.000351,,,,0.000153,,0.001057,,0.000202,,,
2026-02-12 16:36:49,0.000351,,,,0.000153,,0.001057,,0.000202,,,
2026-02-12 16:47:19,,,7.387471,,,,,,,,10.135127,
2026-02-12 16:47:49,,,7.387471,,,,,,,,10.135127,
2026-02-12 16:48:19,,,7.387471,,,,,,,,10.135127,
2026-02-12 16:48:49,,,7.387471,,,,,,,,10.135127,
2026-02-12 16:49:19,,,7.387471,,,,,,,,10.135127,
2026-02-12 16:49:49,,,7.387471,,,,,,,,10.135127,
2026-02-12 16:50:19,,,7.387471,,,,,,,,10.135127,
2026-02-12 16:50:49,,,7.387471,,,,,,,,10.135127,
2026-02-12 16:51:19,,,7.387471,,,,,,,,10.135127,
2026-02-12 16:51:49,,,7.387471,,,,,,,,10.135127,
