Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-miner3""","name=""rskj-miner4""","name=""rskj-node1""","name=""rskj-node2"""
2026-02-19 22:13:33,-18250.620689655174,-10616.448275862069,-10579.896551724138,-10765.689655172413,-10939.724137931034,-10635.827586206897
2026-02-19 22:14:03,-17593.275862068964,-10375.58620689655,-10826.551724137931,-10639.103448275862,-10021.931034482759,-10288.379310344828
2026-02-19 22:14:33,-18333.712630598944,-10508.361780628253,-10582.841970966518,-10772.766456329091,-10519.568290748593,-10563.808144546738
2026-02-19 22:15:03,-18413.543426542084,-10227.11443643761,-10296.383132779369,-10362.652139433852,-10416.198324311279,-10236.45829741751
2026-02-19 22:15:33,-17810.062415945376,-10658.815821235214,-10577.123349081001,-10656.505396737817,-10587.261629711367,-10570.674850856925
2026-02-19 22:16:03,-17746.37056450222,-10240.628987206454,-10304.734646022274,-10342.735956412289,-10219.524811200385,-10223.007689920341
2026-02-19 22:16:33,-18064.174626711265,-10525.500879340665,-10712.50732783889,-10628.159591710057,-10875.030173454255,-10688.472016276422
2026-02-19 22:17:03,-18017.550513757673,-10574.856906420247,-10308.289083511483,-10285.394110750984,-10407.523619060756,-10350.389628301496
2026-02-19 22:17:33,-18349.48275862069,-10530.51724137931,-10562.724137931034,-10553.689655172413,-10188.51724137931,-10530.896551724138
2026-02-19 22:18:03,-22338.48275862069,-9931.241379310344,-10295.275862068966,-10426.51724137931,-10263.551724137931,-10241.724137931034
2026-02-19 22:18:33,-24252.180808881843,-10869.668654966728,-10545.426335206705,-10546.426231769128,-10647.89849325932,-10676.861014377824
2026-02-19 22:19:03,-24051.212194364933,-10304.4797737697,-10353.519329585819,-11237.30041038728,-10807.393868331206,-10433.217229368554
2026-02-19 22:19:33,-26002.068822839807,-10730.673746638164,-14647.438107716709,-12692.02123991449,-12374.077649817254,-13383.594234880353
2026-02-19 22:20:03,-23673.1611434877,-10430.256215731575,-10342.529052725955,-10050.82933894272,-10621.711093485981,-10408.083037346114
2026-02-19 22:20:33,-22924.339609628256,-10514.242361542178,-10575.936271466999,-10958.755776260434,-10578.69508241948,-10525.794882405686
2026-02-19 22:21:03,-23273.473328505912,-10262.956449777592,-10275.749112099582,-10274.05951518913,-10257.26699079342,-10293.989862418535
2026-02-19 22:21:33,-23636.60815890203,-12205.834683954618,-10551.777647505085,-10568.157522673195,-11139.659988275456,-10600.4344977413
2026-02-19 22:22:03,-22681.62068965517,-10261.068965517241,-10449.551724137931,-10456.551724137931,-10284.068965517241,-10338.862068965516
2026-02-19 22:22:33,-23345.921710639766,-10517.020175892394,-10547.71512329712,-10541.576133816176,-10519.917227108122,-10504.086911536471
2026-02-19 22:23:03,-31887.678411363166,-10259.773839895195,-10316.58967110253,-10315.93463421361,-10517.06543473764,-10495.380266151831
2026-02-19 22:23:33,-31276.319873099066,-10516.948860305527,-10547.57060588296,-10541.397979240663,-10535.190868650641,-10530.570019655848
2026-02-19 22:24:03,-36626.43539432394,-10446.739542742851,-10491.672126625055,-12972.41284182213,-11324.32152832856,-11272.802510431393
2026-02-19 22:24:33,-31448.53270802441,-10637.780613124589,-10559.984827063001,-10627.02162143522,-10648.539604813957,-10575.433635642607
2026-02-19 22:25:03,-32978.5509845167,-10253.56046760233,-10406.807131280388,-10303.562191799716,-10413.428049243075,-10394.565329838959
2026-02-19 22:25:33,-32715.241379310344,-10190.379310344828,-10575.068965517241,-10538.103448275862,-10526.620689655172,-10583.689655172413
2026-02-19 22:26:03,-31700.424123306097,-10614.633978138685,-10292.507154925694,-10288.645219130376,-10247.439743457124,-10240.026205992897
