Time,"__stream_shard__=""0"",container_id=""rskj-miner1"",job=""docker-json-logs"",service_name=""docker-json-logs"",source=""promtail""","__stream_shard__=""1"",container_id=""rskj-miner1"",job=""docker-json-logs"",service_name=""docker-json-logs"",source=""promtail""","container_id=""rskj-miner1"",job=""docker-json-logs"",service_name=""docker-json-logs"",source=""promtail"""
2026-02-19 22:13:30,300,240,327.27272727272725
2026-02-19 22:14:00,300,240,327.27272727272725
2026-02-19 22:14:30,300,240,327.27272727272725
2026-02-19 22:15:00,300,240,327.27272727272725
2026-02-19 22:15:30,300,240,360
2026-02-19 22:16:00,300,240,360
2026-02-19 22:16:30,300,240,360
2026-02-19 22:17:00,300,240,360
2026-02-19 22:17:30,300,240,327.27272727272725
2026-02-19 22:18:00,300,240,327.27272727272725
2026-02-19 22:18:30,300,240,300
2026-02-19 22:19:00,300,240,300
2026-02-19 22:19:30,300,240,327.27272727272725
2026-02-19 22:20:00,300,240,327.27272727272725
2026-02-19 22:20:30,300,240,327.27272727272725
2026-02-19 22:21:00,300,240,360
2026-02-19 22:21:30,300,240,360
2026-02-19 22:22:00,300,240,327.27272727272725
2026-02-19 22:22:30,300,240,360
2026-02-19 22:23:00,300,240,327.27272727272725
2026-02-19 22:23:30,300,240,327.27272727272725
2026-02-19 22:24:00,300,240,360
2026-02-19 22:24:30,300,240,360
2026-02-19 22:25:00,300,240,360
2026-02-19 22:25:30,300,240,360
2026-02-19 22:26:00,300,240,360
2026-02-19 22:26:30,300,240,327.27272727272725
2026-02-19 22:27:00,300,240,360
2026-02-19 22:27:30,300,240,360
2026-02-19 22:28:00,300,240,360
2026-02-19 22:28:30,300,240,360
2026-02-19 22:29:00,300,240,360
2026-02-19 22:29:30,300,240,360
2026-02-19 22:30:00,300,240,360
2026-02-19 22:30:30,300,240,360
2026-02-19 22:31:00,300,240,327.27272727272725
2026-02-19 22:31:30,300,240,327.27272727272725
2026-02-19 22:32:00,300,240,327.27272727272725
2026-02-19 22:32:30,300,240,327.27272727272725
2026-02-19 22:33:00,300,240,360
2026-02-19 22:33:30,300,240,360
2026-02-19 22:34:00,300,240,360
2026-02-19 22:34:30,300,240,360
2026-02-19 22:35:00,300,240,360
2026-02-19 22:35:30,300,240,360
2026-02-19 22:36:00,300,240,360
2026-02-19 22:36:30,300,240,327.27272727272725
2026-02-19 22:37:00,300,240,327.27272727272725
2026-02-19 22:37:30,300,240,327.27272727272725
2026-02-19 22:38:00,300,240,327.27272727272725
2026-02-19 22:38:30,300,240,327.27272727272725
2026-02-19 22:39:00,300,240,327.27272727272725
2026-02-19 22:39:30,327.27272727272725,240,327.27272727272725
2026-02-19 22:40:00,327.27272727272725,257.14285714285717,300
2026-02-19 22:40:30,327.27272727272725,276.92307692307696,300
2026-02-19 22:41:00,327.27272727272725,276.92307692307696,276.92307692307696
2026-02-19 22:41:30,327.27272727272725,276.92307692307696,276.92307692307696
2026-02-19 22:42:00,327.27272727272725,276.92307692307696,257.14285714285717
2026-02-19 22:42:30,327.27272727272725,276.92307692307696,257.14285714285717
2026-02-19 22:43:00,327.27272727272725,300,257.14285714285717
2026-02-19 22:43:30,327.27272727272725,327.27272727272725,257.14285714285717
2026-02-19 22:44:00,360,327.27272727272725,257.14285714285717
2026-02-19 22:44:30,360,327.27272727272725,276.92307692307696
2026-02-19 22:45:00,360,327.27272727272725,276.92307692307696
2026-02-19 22:45:30,360,327.27272727272725,257.14285714285717
2026-02-19 22:46:00,400,327.27272727272725,240
2026-02-19 22:46:30,400,327.27272727272725,225
2026-02-19 22:47:00,400,327.27272727272725,225
2026-02-19 22:47:30,400,327.27272727272725,225
2026-02-19 22:48:00,400,327.27272727272725,211.76470588235293
2026-02-19 22:48:30,400,360,200
2026-02-19 22:49:00,400,450,171.42857142857142
2026-02-19 22:49:30,400,450,171.42857142857142
2026-02-19 22:50:00,600,450,156.52173913043478
2026-02-19 22:50:30,600,514.2857142857143,156.52173913043478
2026-02-19 22:51:00,600,720,150
2026-02-19 22:51:30,600,720,150
2026-02-19 22:52:00,600,720,144
2026-02-19 22:52:30,720,720,144
2026-02-19 22:53:00,720,720,144
2026-02-19 22:53:30,720,720,144
2026-02-19 22:54:00,720,900,138.46153846153848
2026-02-19 22:54:30,720,900,138.46153846153848
2026-02-19 22:55:00,720,900,133.33333333333334
2026-02-19 22:55:30,720,1200,133.33333333333334
2026-02-19 22:56:00,720,1200,128.57142857142858
2026-02-19 22:56:30,720,1200,128.57142857142858
2026-02-19 22:57:00,720,1200,128.57142857142858
2026-02-19 22:57:30,720,1200,128.57142857142858
2026-02-19 22:58:00,720,1200,128.57142857142858
2026-02-19 22:58:30,720,1200,124.13793103448276
2026-02-19 22:59:00,900,1200,124.13793103448276
2026-02-19 22:59:30,900,1200,120
2026-02-19 23:00:00,1200,1200,116.12903225806451
2026-02-19 23:00:30,1200,1200,112.5
2026-02-19 23:01:00,1800,1800,112.5
2026-02-19 23:01:30,3600,3600,112.5
2026-02-19 23:02:00,3600,3600,112.5
2026-02-19 23:02:30,3600,3600,109.0909090909091
2026-02-19 23:03:00,3600,3600,109.0909090909091
2026-02-19 23:03:30,3600,3600,105.88235294117646
2026-02-19 23:04:00,3600,3600,105.88235294117646
2026-02-19 23:04:30,,3600,105.88235294117646
2026-02-19 23:05:00,,3600,105.88235294117646
2026-02-19 23:05:30,,3600,102.85714285714286
2026-02-19 23:06:00,,,102.85714285714286
2026-02-19 23:06:30,,,100
2026-02-19 23:07:00,,,100
2026-02-19 23:07:30,,,100
2026-02-19 23:08:00,,,100
2026-02-19 23:08:30,,,102.85714285714286
2026-02-19 23:09:00,,,102.85714285714286
2026-02-19 23:09:30,,,92.3076923076923
2026-02-19 23:10:00,,,90
2026-02-19 23:10:30,,,90
2026-02-19 23:11:00,,,90
2026-02-19 23:11:30,,,85.71428571428571
2026-02-19 23:12:00,,,85.71428571428571
2026-02-19 23:12:30,,,85.71428571428571
2026-02-19 23:13:00,,,85.71428571428571
2026-02-19 23:13:30,,,85.71428571428571
2026-02-19 23:14:00,,,85.71428571428571
