Time,"__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-06 18:31:33,1469056032,1326484272,2604384256,948839864,832063488,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:32:03,2188379168,1308947648,1445876768,1259575680,808961536,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:32:33,1513572864,1097643992,2658073600,1274062088,1308083712,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:33:03,1130738176,915663392,2533395968,1145036416,1737999872,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:33:33,1720781824,1214088024,1371339296,1094931088,2348271104,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:34:03,1842551256,1292251680,1458561024,927366168,948376656,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:34:33,2403284992,1516576424,2097652736,1525803968,1401361488,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:35:03,2452583952,1214740976,2056566280,1456034544,1917260880,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:35:33,1076426752,1564827416,926225920,980267160,2644972624,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:36:03,2690229248,1333567056,2776488960,1233257000,1428294592,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:36:33,2422696960,1628811800,2512958968,931162728,1789004736,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:37:03,1145976320,903492056,1222766592,1470095392,870827520,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:37:33,1295512576,1647554112,1506962944,1313138056,1397212672,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:38:03,1460590592,1692267960,1726555648,1293942504,898167808,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:38:33,1085925376,1408852104,1448369664,1087694184,1365832704,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:39:03,2517458944,1660132048,982396464,1511219568,1684599808,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:39:33,2251871232,1589366720,2593009200,1102837448,2053698560,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:40:03,1981655552,860114184,2313004032,937009344,2525557760,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:40:33,2367672320,1489346888,2719435840,1543923144,1079571456,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:41:03,1929466368,1473747088,2369577456,1520603104,1639511040,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:41:33,1908256768,1118194712,2393741824,1409721672,856224768,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:42:03,1197430784,958926976,1868894256,1532765648,954514896,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:42:33,1645322240,974432328,2758867456,873343912,1749335504,3221225472,3113877504,3221225472,3113877504,3221225472
2026-03-06 18:43:03,2537320960,1718284104,2234449920,1179554848,2542058960,3221225472,3113877504,3221225472,3113877504,3221225472
