Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-miner3""","name=""rskj-node1""","name=""rskj-node2"""
2026-03-06 18:31:33,0,0,0,0,0
2026-03-06 18:32:03,0,0,0,0,0
2026-03-06 18:32:33,0,0,0,0,0
2026-03-06 18:33:03,0,0,0,0,0
2026-03-06 18:33:33,0,0,0,0,0
2026-03-06 18:34:03,0,0,0,0,0
2026-03-06 18:34:33,0,0,0,0,0
2026-03-06 18:35:03,0,0,0,0,0
2026-03-06 18:35:33,0,0,0.13717701149425288,0,0
2026-03-06 18:36:03,0,0,0,0,0
2026-03-06 18:36:33,0,0,0,0,0
2026-03-06 18:37:03,0,0,0,0,0
2026-03-06 18:37:33,0,0,0,0,0
2026-03-06 18:38:03,0,0,0,0,0
2026-03-06 18:38:33,0,4.276599413692016,0,0,0
2026-03-06 18:39:03,0,0,0,0,0
2026-03-06 18:39:33,0,0,0,0,0
2026-03-06 18:40:03,0,0,0,0,0
2026-03-06 18:40:33,0,0,0,0,0
2026-03-06 18:41:03,0,0,0,0,0
2026-03-06 18:41:33,0,0,0,0,0
2026-03-06 18:42:03,0,0,0,0,0
2026-03-06 18:42:33,0,1.793165281561433,0,0.13750818993758404,0.13750818993758404
2026-03-06 18:43:03,0.13751278779728035,0,0.137935790889341,0.137935790889341,0
2026-03-06 18:43:33,0,0,0.413807372668023,0,0
2026-03-06 18:44:03,0,0,0,0,0
2026-03-06 18:44:33,0,0,0,0,0
2026-03-06 18:45:03,0,0,0,0,0
2026-03-06 18:45:33,0,0,0,0,0
2026-03-06 18:46:03,0,0,0,0,0
2026-03-06 18:46:33,0,0,0,0,0
2026-03-06 18:47:03,0,0,0,0,0
2026-03-06 18:47:33,0,0,0,0,0
2026-03-06 18:48:03,0,0,0,0,0
2026-03-06 18:48:33,0,0,0,0,0
2026-03-06 18:49:03,0,0,0,0,0
2026-03-06 18:49:33,0,0,0,0,0
2026-03-06 18:50:03,0,0,0.551743163557364,0,0
2026-03-06 18:50:33,0,0,2.344989309607559,0,0
2026-03-06 18:51:03,0,0,0,0,0
2026-03-06 18:51:33,0,0,0,0,0
