Time,"__name__=""dockerstats_memory_usage_bytes"",id=""01f312347dda"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""4f102e5b62e8"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""58e30d607ada"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""ca231361c927"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""ed88bedf17e5"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2"""
2026-03-06 18:31:33,4124393472,2521923584,4037566464,3735896064,2892210176
2026-03-06 18:32:03,4131155968,2535792640,4042293248,3770765312,2909356032
2026-03-06 18:32:33,4133703680,2538147840,4046954496,3771248640,2920882176
2026-03-06 18:33:03,4185153536,2542989312,4100198400,3771260928,2884550656
2026-03-06 18:33:33,4250247168,2573688832,4113170432,3773763584,2911932416
2026-03-06 18:34:03,4283969536,2573881344,4056764416,3773665280,2944081920
2026-03-06 18:34:33,4294549504,2583781376,4077309952,3775148032,2973089792
2026-03-06 18:35:03,4204728320,2588160000,4100280320,3775275008,2996158464
2026-03-06 18:35:33,4217561088,2595065856,4113223680,3777912832,3013890048
2026-03-06 18:36:03,4285390848,2610200576,4159614976,3779575808,2988937216
2026-03-06 18:36:33,4294623232,2611240960,4104237056,3780550656,3024994304
2026-03-06 18:37:03,4194967552,2613469184,4122464256,3782475776,3049811968
2026-03-06 18:37:33,4216659968,2618372096,4143280128,3783393280,3067969536
2026-03-06 18:38:03,4235034624,2624094208,4164112384,3785289728,3089317888
2026-03-06 18:38:33,4253044736,2641629184,4180545536,3813314560,3022827520
2026-03-06 18:39:03,4287033344,2641780736,4211879936,3813453824,3061891072
2026-03-06 18:39:33,4286464000,2642518016,4123435008,3813883904,3064958976
2026-03-06 18:40:03,4293693440,2644299776,4138369024,3815895040,3078541312
2026-03-06 18:40:33,4293197824,2645643264,4143362048,3816960000,3076263936
2026-03-06 18:41:03,4294807552,2646966272,4151226368,3818270720,3081715712
2026-03-06 18:41:33,4294115328,2653229056,4165222400,3818934272,3094867968
2026-03-06 18:42:03,4293615616,2661199872,4171333632,3820507136,3107962880
2026-03-06 18:42:33,4191379456,2663288832,4187320320,3834163200,3132145664
2026-03-06 18:43:03,4130340864,2671304704,4208640000,3836461056,3157008384
2026-03-06 18:43:33,4155596800,2688090112,4231340032,3899822080,3176419328
2026-03-06 18:44:03,4220080128,2697150464,4290039808,3900637184,3148939264
2026-03-06 18:44:33,4224909312,2708238336,4204326912,3900932096,3153891328
2026-03-06 18:45:03,4236382208,2708275200,4215513088,3901476864,3165360128
2026-03-06 18:45:33,4254126080,2709536768,4224684032,3901726720,3176644608
2026-03-06 18:46:03,4267565056,2711875584,4242137088,3904585728,3187769344
2026-03-06 18:46:33,4186222592,2712064000,4257669120,3905081344,3199148032
2026-03-06 18:47:03,4204457984,2723921920,4275134464,3906879488,3221024768
2026-03-06 18:47:33,4215246848,2728960000,4283899904,3907620864,3235803136
2026-03-06 18:48:03,4226809856,2730696704,4294307840,3909267456,3246243840
2026-03-06 18:48:33,4259635200,2742198272,4326547456,3909619712,3178754048
2026-03-06 18:49:03,4280885248,2744365056,4344516608,3931729920,3201703936
2026-03-06 18:49:33,4293517312,2751356928,4288045056,3932520448,3241152512
2026-03-06 18:50:03,4293476352,2751987712,4310417408,3932672000,3257376768
2026-03-06 18:50:33,4189405184,2759233536,4320710656,3935555584,3268567040
2026-03-06 18:51:03,4196564992,2763968512,4327153664,3936337920,3275431936
2026-03-06 18:51:33,4222820352,2770292736,4350124032,3937402880,3304157184
2026-03-06 18:52:03,4241739776,2784915456,4365369344,3940265984,3228512256
2026-03-06 18:52:33,4267974656,2790363136,4389011456,3964575744,3245285376
2026-03-06 18:53:03,4290109440,2793156608,4408934400,3967361024,3269894144
2026-03-06 18:53:33,4292804608,2800717824,4421091328,3969363968,3283238912
