Time,"container_id=""rskj-miner1"",job=""docker-json-logs"",service_name=""docker-json-logs"",source=""promtail"""
2026-03-05 21:02:30,257.14285714285717
2026-03-05 21:03:00,240
2026-03-05 21:03:30,240
2026-03-05 21:04:00,225
2026-03-05 21:04:30,225
2026-03-05 21:05:00,225
2026-03-05 21:05:30,225
2026-03-05 21:06:00,225
2026-03-05 21:06:30,225
2026-03-05 21:07:00,225
2026-03-05 21:07:30,240
2026-03-05 21:08:00,240
2026-03-05 21:08:30,240
2026-03-05 21:09:00,240
2026-03-05 21:09:30,240
2026-03-05 21:10:00,257.14285714285717
2026-03-05 21:10:30,257.14285714285717
2026-03-05 21:11:00,257.14285714285717
2026-03-05 21:11:30,240
2026-03-05 21:12:00,240
2026-03-05 21:12:30,240
2026-03-05 21:13:00,240
2026-03-05 21:13:30,240
2026-03-05 21:14:00,225
2026-03-05 21:14:30,225
2026-03-05 21:15:00,225
2026-03-05 21:15:30,225
2026-03-05 21:16:00,225
2026-03-05 21:16:30,225
2026-03-05 21:17:00,240
2026-03-05 21:17:30,240
2026-03-05 21:18:00,240
2026-03-05 21:18:30,257.14285714285717
2026-03-05 21:19:00,257.14285714285717
2026-03-05 21:19:30,257.14285714285717
2026-03-05 21:20:00,257.14285714285717
2026-03-05 21:20:30,257.14285714285717
2026-03-05 21:21:00,257.14285714285717
2026-03-05 21:21:30,257.14285714285717
2026-03-05 21:22:00,257.14285714285717
2026-03-05 21:22:30,257.14285714285717
2026-03-05 21:23:00,257.14285714285717
2026-03-05 21:23:30,257.14285714285717
2026-03-05 21:24:00,257.14285714285717
2026-03-05 21:24:30,257.14285714285717
2026-03-05 21:25:00,257.14285714285717
2026-03-05 21:25:30,257.14285714285717
2026-03-05 21:26:00,276.92307692307696
2026-03-05 21:26:30,300
2026-03-05 21:27:00,327.27272727272725
2026-03-05 21:27:30,327.27272727272725
2026-03-05 21:28:00,327.27272727272725
2026-03-05 21:28:30,327.27272727272725
2026-03-05 21:29:00,327.27272727272725
2026-03-05 21:29:30,327.27272727272725
2026-03-05 21:30:00,327.27272727272725
2026-03-05 21:30:30,360
2026-03-05 21:31:00,360
2026-03-05 21:31:30,360
2026-03-05 21:32:00,360
2026-03-05 21:32:30,360
2026-03-05 21:33:00,327.27272727272725
2026-03-05 21:33:30,300
2026-03-05 21:34:00,327.27272727272725
2026-03-05 21:34:30,327.27272727272725
2026-03-05 21:35:00,327.27272727272725
2026-03-05 21:35:30,327.27272727272725
2026-03-05 21:36:00,327.27272727272725
2026-03-05 21:36:30,327.27272727272725
2026-03-05 21:37:00,327.27272727272725
2026-03-05 21:37:30,327.27272727272725
2026-03-05 21:38:00,327.27272727272725
2026-03-05 21:38:30,327.27272727272725
2026-03-05 21:39:00,327.27272727272725
2026-03-05 21:39:30,327.27272727272725
2026-03-05 21:40:00,327.27272727272725
2026-03-05 21:40:30,300
2026-03-05 21:41:00,300
2026-03-05 21:41:30,300
2026-03-05 21:42:00,300
2026-03-05 21:42:30,300
2026-03-05 21:43:00,276.92307692307696
2026-03-05 21:43:30,276.92307692307696
2026-03-05 21:44:00,276.92307692307696
2026-03-05 21:44:30,276.92307692307696
2026-03-05 21:45:00,276.92307692307696
2026-03-05 21:45:30,276.92307692307696
2026-03-05 21:46:00,276.92307692307696
2026-03-05 21:46:30,257.14285714285717
2026-03-05 21:47:00,257.14285714285717
2026-03-05 21:47:30,276.92307692307696
2026-03-05 21:48:00,276.92307692307696
2026-03-05 21:48:30,276.92307692307696
2026-03-05 21:49:00,276.92307692307696
2026-03-05 21:49:30,276.92307692307696
2026-03-05 21:50:00,300
2026-03-05 21:50:30,300
2026-03-05 21:51:00,300
2026-03-05 21:51:30,300
2026-03-05 21:52:00,300
2026-03-05 21:52:30,300
2026-03-05 21:53:00,300
2026-03-05 21:53:30,300
2026-03-05 21:54:00,300
2026-03-05 21:54:30,327.27272727272725
2026-03-05 21:55:00,327.27272727272725
2026-03-05 21:55:30,327.27272727272725
2026-03-05 21:56:00,327.27272727272725
2026-03-05 21:56:30,327.27272727272725
2026-03-05 21:57:00,276.92307692307696
2026-03-05 21:57:30,257.14285714285717
2026-03-05 21:58:00,257.14285714285717
2026-03-05 21:58:30,257.14285714285717
2026-03-05 21:59:00,276.92307692307696
2026-03-05 21:59:30,276.92307692307696
2026-03-05 22:00:00,276.92307692307696
2026-03-05 22:00:30,257.14285714285717
2026-03-05 22:01:00,257.14285714285717
2026-03-05 22:01:30,257.14285714285717
2026-03-05 22:02:00,257.14285714285717
2026-03-05 22:02:30,257.14285714285717
2026-03-05 22:03:00,276.92307692307696
