Time,"gc=""Copy"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","gc=""Copy"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","gc=""Copy"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","gc=""Copy"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","gc=""Copy"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","gc=""Copy"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","gc=""MarkSweepCompact"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","gc=""MarkSweepCompact"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","gc=""MarkSweepCompact"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","gc=""MarkSweepCompact"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","gc=""MarkSweepCompact"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","gc=""MarkSweepCompact"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-02-11 03:00:00,0.002660881650085529,0.00045761936238370576,0.0024066980780311836,0.0009830008643627057,0.001186400461001447,0.000949152542372837,0,0,0,0,0,0
2026-02-11 03:00:30,0.0023897089978474166,0.00044066302837185596,0.0009660362009355663,0.0011525228385959195,0.0019321706411754057,0.0013219666796604062,0,0,0,0,0,0
2026-02-11 03:01:00,0.002406738868832903,0.0009660853205875824,0.0009660853205878233,0.0031524889408655284,0.00322017524532647,0.003474517381061309,0,0,0,0,0,0
2026-02-11 03:01:30,0.003169491525423929,0.0013728348191587247,0.0023389037659738822,0.001999898310255567,0.0012881137607838446,0.0021525058897306037,0,0,0,0,0,0
2026-02-11 03:02:00,0.0022372502160978762,0.0008474576271188367,0.0013728580871508764,0.0013728348191587244,0.0018473950035591106,0.0016948290764875397,0,0,0,0,0,0
2026-02-11 03:02:30,0.0007965831666722662,0.0007796478025794863,0.0012541947730587487,0.0013728580871511173,0.0018473636933714328,0.0016948578014303634,0,0,0,0,0,0
2026-02-11 03:03:00,0.0002711864406780567,0.0007796213751841816,0,0.0010677604149009895,0,0.0016440120673876886,0,0,0,0,0,0
2026-02-11 03:03:30,0.00033897156028602453,0.0007288012067593153,0.0012033694344163312,0.0010677604149009895,0.0014745512787919409,0.001644039931526727,0,0,0,0,0,0
2026-02-11 03:04:00,0.0009491364553142725,0.0013898069524246682,0.0025253809257470366,0.001186400461001447,0.0026270295922172318,0.0009999661028439288,0,0,0,0,0,0
2026-02-11 03:04:30,0.0021864036202777055,0.0006609945425579043,0.0013219666796604062,0.002135593220339064,0.001152503304972676,0.0009999830511346842,0,0,0,0,0,0
