Time,"__name__=""node_load1"",instance=""host.docker.internal:9300"",job=""node-exporter"""
2026-03-09 21:11:02,13.05
2026-03-09 21:11:32,13.02
2026-03-09 21:12:02,15.3
2026-03-09 21:12:32,14.94
2026-03-09 21:13:02,13.34
2026-03-09 21:13:32,12.11
2026-03-09 21:14:02,12
2026-03-09 21:14:32,9.87
2026-03-09 21:15:02,8.01
2026-03-09 21:15:32,8.28
2026-03-09 21:16:02,8.24
2026-03-09 21:16:32,8.21
2026-03-09 21:17:02,7.28
2026-03-09 21:17:32,6.51
2026-03-09 21:18:02,5.89
2026-03-09 21:18:32,6.5
2026-03-09 21:19:02,5.98
2026-03-09 21:19:32,5.86
2026-03-09 21:20:02,5.93
2026-03-09 21:20:32,5.58
2026-03-09 21:21:02,6.13
2026-03-09 21:21:32,6.24
2026-03-09 21:22:02,6.17
2026-03-09 21:22:32,5.92
2026-03-09 21:23:02,7.46
2026-03-09 21:23:32,7.37
2026-03-09 21:24:02,6.52
2026-03-09 21:24:32,6.18
2026-03-09 21:25:02,6.55
2026-03-09 21:25:32,6.56
2026-03-09 21:26:02,7.04
2026-03-09 21:26:32,7.34
2026-03-09 21:27:02,6.79
2026-03-09 21:27:32,6.02
2026-03-09 21:28:02,7.1
2026-03-09 21:28:32,7.07
2026-03-09 21:29:02,8.85
2026-03-09 21:29:32,9.62
2026-03-09 21:30:02,8.33
2026-03-09 21:30:32,6.79
2026-03-09 21:31:02,7.42
2026-03-09 21:31:32,7.89
2026-03-09 21:32:02,6.71
2026-03-09 21:32:32,6.74
2026-03-09 21:33:02,5.81
2026-03-09 21:33:32,5.93
2026-03-09 21:34:02,5.32
2026-03-09 21:34:32,6.12
2026-03-09 21:35:02,5.93
2026-03-09 21:35:32,5.64
2026-03-09 21:36:02,6.73
2026-03-09 21:36:32,6.61
2026-03-09 21:37:02,8.15
2026-03-09 21:37:32,11.33
2026-03-09 21:38:02,8.79
2026-03-09 21:38:32,7.34
2026-03-09 21:39:02,6.41
2026-03-09 21:39:32,6.87
2026-03-09 21:40:02,6.51
2026-03-09 21:40:32,6
2026-03-09 21:41:02,6.48
2026-03-09 21:41:32,6.81
2026-03-09 21:42:02,6.81
2026-03-09 21:42:32,6.77
2026-03-09 21:43:02,7.04
2026-03-09 21:43:32,6.29
2026-03-09 21:44:02,5.66
2026-03-09 21:44:32,5.77
2026-03-09 21:45:02,5.74
2026-03-09 21:45:32,6.43
2026-03-09 21:46:02,8.07
2026-03-09 21:46:32,6.98
2026-03-09 21:47:02,6.34
2026-03-09 21:47:32,5.74
2026-03-09 21:48:02,9.01
2026-03-09 21:48:32,7.39
2026-03-09 21:49:02,6.47
2026-03-09 21:49:32,5.97
2026-03-09 21:50:02,5.82
2026-03-09 21:50:32,5.63
2026-03-09 21:51:02,5.55
2026-03-09 21:51:32,6.33
2026-03-09 21:52:02,5.92
2026-03-09 21:52:32,6.25
2026-03-09 21:53:02,5.93
2026-03-09 21:53:32,5.64
2026-03-09 21:54:02,5.31
2026-03-09 21:54:32,5.13
2026-03-09 21:55:02,4.77
2026-03-09 21:55:32,5.21
2026-03-09 21:56:02,5.83
2026-03-09 21:56:32,6.71
2026-03-09 21:57:02,6.12
2026-03-09 21:57:32,6.64
2026-03-09 21:58:02,7.09
2026-03-09 21:58:32,6.65
2026-03-09 21:59:02,6.55
2026-03-09 21:59:32,5.83
2026-03-09 22:00:02,7.93
2026-03-09 22:00:32,6.96
2026-03-09 22:01:02,6.96
2026-03-09 22:01:32,8.36
2026-03-09 22:02:02,7.2
2026-03-09 22:02:32,6.73
2026-03-09 22:03:02,6.57
2026-03-09 22:03:32,7.52
2026-03-09 22:04:02,8.26
2026-03-09 22:04:32,7.89
2026-03-09 22:05:02,6.58
2026-03-09 22:05:32,6.55
2026-03-09 22:06:02,6.47
2026-03-09 22:06:32,6.37
2026-03-09 22:07:02,8.6
2026-03-09 22:07:32,7.34
2026-03-09 22:08:02,6.6
2026-03-09 22:08:32,8.7
2026-03-09 22:09:02,7.22
2026-03-09 22:09:32,7.63
2026-03-09 22:10:02,6.4
2026-03-09 22:10:32,5.93
2026-03-09 22:11:02,5.86
2026-03-09 22:11:32,5.21
2026-03-09 22:12:02,5.67
2026-03-09 22:12:32,7
2026-03-09 22:13:02,6.2
2026-03-09 22:13:32,6.29
2026-03-09 22:14:02,6.11
2026-03-09 22:14:32,6.1
2026-03-09 22:15:02,6.6
2026-03-09 22:15:32,6.47
2026-03-09 22:16:02,7.77
2026-03-09 22:16:32,7.76
2026-03-09 22:17:02,7.68
2026-03-09 22:17:32,6.61
2026-03-09 22:18:02,5.68
2026-03-09 22:18:32,6.53
2026-03-09 22:19:02,8.94
2026-03-09 22:19:32,6.96
2026-03-09 22:20:02,6.62
2026-03-09 22:20:32,5.74
2026-03-09 22:21:02,5.35
2026-03-09 22:21:32,6.39
2026-03-09 22:22:02,5.83
2026-03-09 22:22:32,5.61
2026-03-09 22:23:02,5.25
2026-03-09 22:23:32,5.79
2026-03-09 22:24:02,4.97
2026-03-09 22:24:32,4.82
2026-03-09 22:25:02,5.68
2026-03-09 22:25:32,5.33
2026-03-09 22:26:02,5.35
2026-03-09 22:26:32,5.12
2026-03-09 22:27:02,5.09
2026-03-09 22:27:32,4.87
2026-03-09 22:28:02,4.09
2026-03-09 22:28:32,4.45
2026-03-09 22:29:02,4.45
2026-03-09 22:29:32,4.71
2026-03-09 22:30:02,5.28
2026-03-09 22:30:32,4.98
2026-03-09 22:31:02,4.85
2026-03-09 22:31:32,4.62
2026-03-09 22:32:02,4.57
2026-03-09 22:32:32,4.81
2026-03-09 22:33:02,5.1
2026-03-09 22:33:32,5.24
2026-03-09 22:34:02,7.78
2026-03-09 22:34:32,6.67
2026-03-09 22:35:02,7.7
2026-03-09 22:35:32,10.93
2026-03-09 22:36:02,8.95
2026-03-09 22:36:32,7.17
2026-03-09 22:37:02,6.09
2026-03-09 22:37:32,5.39
2026-03-09 22:38:02,5.46
2026-03-09 22:38:32,5.53
2026-03-09 22:39:02,5.47
2026-03-09 22:39:32,6.02
2026-03-09 22:40:02,5.78
2026-03-09 22:40:32,6.34
2026-03-09 22:41:02,6.18
2026-03-09 22:41:32,5.81
2026-03-09 22:42:02,7.12
2026-03-09 22:42:32,6.68
2026-03-09 22:43:02,6.32
2026-03-09 22:43:32,6.25
2026-03-09 22:44:02,6.21
2026-03-09 22:44:32,6.58
2026-03-09 22:45:02,5.81
2026-03-09 22:45:32,5.63
2026-03-09 22:46:02,5.15
2026-03-09 22:46:32,6.59
2026-03-09 22:47:02,7.14
2026-03-09 22:47:32,8.42
2026-03-09 22:48:02,9.34
2026-03-09 22:48:32,8.91
2026-03-09 22:49:02,7.75
2026-03-09 22:49:32,6.99
2026-03-09 22:50:02,6.26
2026-03-09 22:50:32,7.44
2026-03-09 22:51:02,6.41
2026-03-09 22:51:32,7.95
2026-03-09 22:52:02,9.15
2026-03-09 22:52:32,7.84
2026-03-09 22:53:02,6.47
2026-03-09 22:53:32,8.05
2026-03-09 22:54:02,7.54
2026-03-09 22:54:32,8.38
2026-03-09 22:55:02,7.76
2026-03-09 22:55:32,8.13
2026-03-09 22:56:02,7.75
2026-03-09 22:56:32,8.4
2026-03-09 22:57:02,7.73
2026-03-09 22:57:32,7.11
2026-03-09 22:58:02,6.57
2026-03-09 22:58:32,6.27
2026-03-09 22:59:02,6.77
2026-03-09 22:59:32,6.27
2026-03-09 23:00:02,6.45
2026-03-09 23:00:32,8.48
2026-03-09 23:01:02,9.48
