Time,Series_C
2026-03-16 21:48:37,72.5040261044504
2026-03-16 21:49:07,56.660042324627554
2026-03-16 21:49:37,67.3171593189947
2026-03-16 21:50:07,44.64349200781177
2026-03-16 21:50:37,105.43329795347974
2026-03-16 21:51:07,70.42490789198203
2026-03-16 21:51:37,87.58835090717128
2026-03-16 21:52:07,80.77802569342055
2026-03-16 21:52:37,63.08512801014623
2026-03-16 21:53:07,74.98030129726196
2026-03-16 21:53:37,77.19176179377541
2026-03-16 21:54:07,67.95893836142761
2026-03-16 21:54:37,62.26510662514152
2026-03-16 21:55:07,73.16879800254138
2026-03-16 21:55:37,111.45110756904077
2026-03-16 21:56:07,112.29013120287247
2026-03-16 21:56:37,120.90092157882255
2026-03-16 21:57:07,95.84260853089552
2026-03-16 21:57:37,104.31250568849579
2026-03-16 21:58:07,117.67255035339812
2026-03-16 21:58:37,110.98431284958976
2026-03-16 21:59:07,111.1056131378612
2026-03-16 21:59:37,123.41103069604904
2026-03-16 22:00:07,96.51106786442362
2026-03-16 22:00:37,184.39095809049041
2026-03-16 22:01:07,188.07283166209334
2026-03-16 22:01:37,190.54225420821976
2026-03-16 22:02:07,174.4756337370689
2026-03-16 22:02:37,212.26735576717618
2026-03-16 22:03:07,179.17996641714987
2026-03-16 22:03:37,176.5594065099967
2026-03-16 22:04:07,191.9334516243988
2026-03-16 22:04:37,189.78799667391928
2026-03-16 22:05:07,171.4722891258125
2026-03-16 22:05:37,36.46875638225305
2026-03-16 22:06:07,37.777989187903216
2026-03-16 22:06:37,33.47979093312396
2026-03-16 22:07:07,58.996140828584096
2026-03-16 22:07:37,32.97588946955805
2026-03-16 22:08:07,31.6499343341285
2026-03-16 22:08:37,47.05627886485557
2026-03-16 22:09:07,44.51066201130789
2026-03-16 22:09:37,51.81751693157366
2026-03-16 22:10:07,49.864785505762335
2026-03-16 22:10:37,40.37250828850761
2026-03-16 22:11:07,48.724545564587515
2026-03-16 22:11:37,59.130684979782544
2026-03-16 22:12:07,33.66899558526616
2026-03-16 22:12:37,54.98551064204893
2026-03-16 22:13:07,33.59156657477023
2026-03-16 22:13:37,64.02728923597466
2026-03-16 22:14:07,60.26826164935725
2026-03-16 22:14:37,47.55715012807718
2026-03-16 22:15:07,43.06465234322925
2026-03-16 22:15:37,41.67122027796097
2026-03-16 22:16:07,53.94131837448892
2026-03-16 22:16:37,56.99704796107709
2026-03-16 22:17:07,59.583628777526584
2026-03-16 22:17:37,46.904786274306886
2026-03-16 22:18:07,50.3688668272992
2026-03-16 22:18:37,56.56657880254598
2026-03-16 22:19:07,51.52930966808892
2026-03-16 22:19:37,62.548095099306046
2026-03-16 22:20:07,81.82446731800277
2026-03-16 22:20:37,75.60920312502907
2026-03-16 22:21:07,75.06944204043651
2026-03-16 22:21:37,66.6119635739128
2026-03-16 22:22:07,72.55749479449908
2026-03-16 22:22:37,96.45155981102617
