Time,"__name__=""dockerstats_memory_usage_bytes"",id=""37e827201178"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""4cb1900f7eff"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""7adce64c5570"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""83972e8c6791"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2"""
2026-03-16 21:48:37,5387038720,5260861440,2745778176,2692829184
2026-03-16 21:49:07,5396557824,5270630400,2745815040,2692857856
2026-03-16 21:49:37,5413998592,5288050688,2750824448,2697850880
2026-03-16 21:50:07,5426307072,5300338688,2752106496,2699137024
2026-03-16 21:50:37,5455859712,5329825792,2758324224,2705350656
2026-03-16 21:51:07,5477752832,5351452672,2654347264,2601697280
2026-03-16 21:51:37,5391605760,5266198528,2656825344,2604167168
2026-03-16 21:52:07,5412089856,5286731776,2658111488,2605453312
2026-03-16 21:52:37,5431226368,5305647104,2662768640,2609958912
2026-03-16 21:53:07,5454204928,5328580608,2665283584,2612473856
2026-03-16 21:53:37,5473349632,5347713024,2667761664,2614943744
2026-03-16 21:54:07,5383909376,5365534720,2672377856,2617470976
2026-03-16 21:54:37,5400436736,5276696576,2674962432,2620059648
2026-03-16 21:55:07,5420900352,5297176576,2676256768,2621358080
2026-03-16 21:55:37,5459521536,5335773184,2678820864,2623934464
2026-03-16 21:56:07,5388976128,5342060544,2680123392,2625200128
2026-03-16 21:56:37,5431681024,5305147392,2683781120,2628829184
2026-03-16 21:57:07,5464043520,5339754496,2687492096,2632499200
2026-03-16 21:57:37,5389262848,5366501376,2687590400,2632577024
2026-03-16 21:58:07,5428092928,5303017472,2690150400,2635091968
2026-03-16 21:58:37,5459501056,5335818240,2691452928,2636320768
2026-03-16 21:59:07,5391233024,5369524224,2693926912,2638766080
2026-03-16 21:59:37,5428228096,5297926144,2696437760,2641235968
2026-03-16 22:00:07,5465624576,5335666688,2698932224,2643681280
2026-03-16 22:00:37,5428334592,5301739520,2701357056,2646106112
2026-03-16 22:01:07,5394636800,5376512000,2704998400,2649784320
2026-03-16 22:01:37,5460762624,5335232512,2707378176,2652164096
2026-03-16 22:02:07,5419462656,5291765760,2707447808,2652237824
2026-03-16 22:02:37,5493334016,5370060800,2712313856,2658914304
2026-03-16 22:03:07,5455122432,5327806464,2714640384,2661232640
2026-03-16 22:03:37,5414391808,5289447424,2717003776,2663555072
2026-03-16 22:04:07,5484158976,5361676288,2719764480,2666397696
2026-03-16 22:04:37,5449101312,5325570048,2722799616,2669342720
2026-03-16 22:05:07,5414592512,5291114496,2727518208,2673938432
2026-03-16 22:05:37,5442215936,5318578176,2728689664,2675105792
2026-03-16 22:06:07,5446004736,5321887744,2730225664,2676490240
2026-03-16 22:06:37,5447913472,5324046336,2730229760,2676490240
2026-03-16 22:07:07,5461282816,5334859776,2734325760,2680303616
2026-03-16 22:07:37,5463601152,5339545600,2735321088,2681556992
2026-03-16 22:08:07,5466861568,5342818304,2738380800,2681614336
2026-03-16 22:08:37,5474062336,5350010880,2737885184,2684096512
2026-03-16 22:09:07,5482393600,5358358528,2742853632,2686644224
2026-03-16 22:09:37,5487058944,5363097600,2743877632,2687897600
2026-03-16 22:10:07,5500424192,5376495616,2748948480,2692960256
2026-03-16 22:10:37,5398343680,5381283840,2750205952,2694213632
2026-03-16 22:11:07,5405331456,5281112064,2751508480,2695507968
2026-03-16 22:11:37,5418635264,5294653440,2756104192,2700546048
2026-03-16 22:12:07,5426057216,5301796864,2757877760,2701824000
2026-03-16 22:12:37,5432983552,5308776448,2759213056,2703147008
2026-03-16 22:13:07,5441044480,5316739072,2760503296,2704437248
2026-03-16 22:13:37,5453180928,5328535552,2764275712,2708213760
2026-03-16 22:14:07,5469683712,5345357824,2663559168,2608095232
2026-03-16 22:14:37,5478477824,5354770432,2667458560,2611712000
2026-03-16 22:15:07,5484355584,5359554560,2670006272,2614267904
2026-03-16 22:15:37,5488136192,5364301824,2670014464,2614280192
2026-03-16 22:16:07,5500088320,5376262144,2671304704,2615590912
2026-03-16 22:16:37,5400989696,5384871936,2671329280,2615619584
2026-03-16 22:17:07,5415874560,5292310528,2673889280,2619183104
2026-03-16 22:17:37,5427036160,5303410688,2675585024,2620452864
2026-03-16 22:18:07,5439320064,5315653632,2676436992,2621747200
2026-03-16 22:18:37,5452959744,5329309696,2678939648,2624258048
2026-03-16 22:19:07,5465387008,5341605888,2680217600,2625531904
2026-03-16 22:19:37,5476573184,5352800256,2681483264,2626813952
2026-03-16 22:20:07,5496426496,5372608512,2686599168,2632445952
2026-03-16 22:20:37,5409845248,5286604800,2692849664,2638708736
2026-03-16 22:21:07,5432770560,5309521920,2695376896,2641264640
2026-03-16 22:21:37,5449977856,5326708736,2695380992,2641289216
2026-03-16 22:22:07,5471019008,5347672064,2696658944,2642894848
2026-03-16 22:22:37,5499863040,5378764800,2703101952,2649227264
2026-03-16 22:23:07,5420355584,5294628864,2706599936,2653859840
2026-03-16 22:23:37,5440040960,5314273280,2707841024,2655174656
2026-03-16 22:24:07,5458423808,5332791296,2707881984,2655223808
2026-03-16 22:24:37,5481078784,5355139072,2710392832,2657714176
2026-03-16 22:25:07,5504315392,5378576384,2712891392,2660216832
2026-03-16 22:25:37,5424615424,5298446336,2717827072,2665517056
2026-03-16 22:26:07,5467017216,5341077504,2721603584,2669256704
2026-03-16 22:26:37,5403181056,5384581120,2726539264,2674565120
2026-03-16 22:27:07,5442330624,5315948544,2729029632,2676625408
2026-03-16 22:27:37,5480427520,5354299392,2731483136,2679037952
2026-03-16 22:28:07,5414461440,5395898368,2733961216,2684895232
2026-03-16 22:28:37,5444210688,5319577600,2738835456,2688528384
2026-03-16 22:29:07,5479088128,5355061248,2741379072,2690994176
2026-03-16 22:29:37,5510262784,5386330112,2742878208,2692247552
2026-03-16 22:30:07,5435994112,5311983616,2746601472,2695929856
2026-03-16 22:30:37,5469290496,5345280000,2746646528,2695954432
2026-03-16 22:31:07,5426864128,5301956608,2752610304,2701893632
2026-03-16 22:31:37,5475241984,5353627648,2754179072,2703110144
2026-03-16 22:32:07,5432786944,5311078400,2754252800,2703183872
2026-03-16 22:32:37,5498728448,5376020480,2754301952,2703224832
2026-03-16 22:33:07,5457772544,5331226624,2757775360,2706710528
