Time,"__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-10 15:56:17,144978944,287559800,119067112,168568528,198756568,134449472,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 15:56:47,1490301952,483681752,1113579536,361409480,399510280,145667656,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 15:57:17,1920218112,160293072,1925245952,596650616,148830136,237515832,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 15:57:47,500817408,537748544,951639040,751249752,142199376,192463360,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 15:58:17,1570811136,466367624,840450048,531638808,207691904,385094144,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 15:58:47,1341717504,347083872,171688960,342911688,893985144,373559800,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 15:59:17,940582432,811458152,1786944000,476167808,803710208,654578176,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 15:59:47,1372913152,337033096,670460928,443123088,601891312,632044160,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:00:17,1789954048,592675096,208760832,1000177584,,433618592,3221225472,3113877504,3221225472,3113877504,,3221225472
2026-03-10 16:00:47,704448512,231074976,1751776768,304561712,899729096,306798080,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:01:17,968841216,1065560824,510863536,607777976,311252312,340352512,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:01:47,1504090624,944195832,1243716096,665052512,915186056,490643456,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:02:17,1389824000,281893000,1512270848,634983568,625849872,257151488,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:02:47,1240037376,459403968,1397266432,471130032,851807840,626923112,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:03:17,577787904,600543240,1285700096,682148792,420672488,295477248,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:03:47,1287904256,802163992,346999296,458186056,470369872,510566416,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:04:17,535161344,757300576,1739302912,1162943768,878669168,729906664,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:04:47,1949391872,837445552,1920443904,729127800,526442384,1388412392,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:05:17,1532636160,826563576,2286561792,641482416,452606944,538321920,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:05:47,745717240,1179547720,1628271104,651716488,712464000,373695488,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:06:17,1634184704,1041633152,1339825664,813783008,1097239312,1014851720,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:06:47,973483008,773260504,1281260544,686792680,1025407944,660581888,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:07:17,651422208,525371488,1437593864,1064755192,461593712,1461693952,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:07:47,2328401408,637040320,1565272576,908289344,955010696,1996467712,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:08:17,2144829440,828304120,1702032896,1051719672,567206456,2535435776,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:08:47,1729077248,976913096,1523354624,591262480,696735320,986680312,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
2026-03-10 16:09:17,1060938464,1270408552,1213524992,602460888,989833472,496667136,3221225472,3113877504,3221225472,3113877504,3113877504,3221225472
