"Time","rskj-miner4"
2026-01-29 15:32:00,36.8%
2026-01-29 15:36:00,29.4%
2026-01-29 15:40:00,16.6%
2026-01-29 15:44:00,14.7%
2026-01-29 15:48:00,15.5%
2026-01-29 15:52:00,15.6%
2026-01-29 15:56:00,29.5%
2026-01-29 16:00:00,73.2%
2026-01-29 16:04:00,12.6%
2026-01-29 16:08:00,23.7%
2026-01-29 16:12:00,22.6%
2026-01-29 16:16:00,26.8%
2026-01-29 16:20:00,8.78%
2026-01-29 16:24:00,20.1%
2026-01-29 16:28:00,13.1%
2026-01-29 16:32:00,15.3%
2026-01-29 16:36:00,9.97%
2026-01-29 16:40:00,23.0%
2026-01-29 16:44:00,17.3%
2026-01-29 16:48:00,33.3%
2026-01-29 16:52:00,11.7%
2026-01-29 16:56:00,17.9%
2026-01-29 17:00:00,14.4%
2026-01-29 17:04:00,14.5%
2026-01-29 17:08:00,23.4%
2026-01-29 17:12:00,11.8%
2026-01-29 17:16:00,7.85%
2026-01-29 17:20:00,18.8%
2026-01-29 17:24:00,22.5%
2026-01-29 17:28:00,10.3%
2026-01-29 17:32:00,14.0%
2026-01-29 17:36:00,21.5%
2026-01-29 17:40:00,11.5%
2026-01-29 17:44:00,13.4%
2026-01-29 17:48:00,18.2%
2026-01-29 17:52:00,13.0%
2026-01-29 17:56:00,9.16%
2026-01-29 18:00:00,14.7%
2026-01-29 18:04:00,10.7%
2026-01-29 18:08:00,19.0%
2026-01-29 18:12:00,10.1%
2026-01-29 18:16:00,13.9%
2026-01-29 18:20:00,29.1%
2026-01-29 18:24:00,20.1%
2026-01-29 18:28:00,21.2%
2026-01-29 18:32:00,14.9%
2026-01-29 18:36:00,18.0%
2026-01-29 18:40:00,12.9%
2026-01-29 18:44:00,31.4%
2026-01-29 18:48:00,16.0%
2026-01-29 18:52:00,13.9%
2026-01-29 18:56:00,21.4%
2026-01-29 19:00:00,16.4%
2026-01-29 19:04:00,32.7%
2026-01-29 19:08:00,14.8%
2026-01-29 19:12:00,21.9%
2026-01-29 19:16:00,28.4%
2026-01-29 19:20:00,40.7%
2026-01-29 19:24:00,20.3%
2026-01-29 19:28:00,16.7%
2026-01-29 19:32:00,30.9%
2026-01-29 19:36:00,34.9%
2026-01-29 19:40:00,24.1%
2026-01-29 19:44:00,19.5%
2026-01-29 19:48:00,19.7%
2026-01-29 19:52:00,42.9%
2026-01-29 19:56:00,41.4%
2026-01-29 20:00:00,15.9%
2026-01-29 20:04:00,9.93%
2026-01-29 20:08:00,20.2%
2026-01-29 20:12:00,32.7%
2026-01-29 20:16:00,11.8%
2026-01-29 20:20:00,23.3%
2026-01-29 20:24:00,24.0%
2026-01-29 20:28:00,18.8%
