Time,"__name__=""dockerstats_memory_usage_bytes"",id=""32232f040882"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""61cfe3189828"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""7250911cdd62"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""82d927fb2ac6"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2"""
2026-03-17 14:56:37,4267368448,2730176512,2641813504,4255084544
2026-03-17 14:57:07,4303695872,2629279744,2543235072,4295249920
2026-03-17 14:57:37,4345184256,2635030528,2551779328,4331180032
2026-03-17 14:58:07,4373430272,2637094912,2558955520,4359262208
2026-03-17 14:58:37,4303859712,2641391616,2560606208,4285239296
2026-03-17 14:59:07,4325842944,2642948096,2561994752,4313321472
2026-03-17 14:59:37,4376489984,2654195712,2573078528,4363755520
2026-03-17 15:00:07,4301209600,2659823616,2578575360,4291944448
2026-03-17 15:00:37,4339470336,2667966464,2584317952,4326813696
2026-03-17 15:01:07,4370714624,2671620096,2587955200,4366610432
2026-03-17 15:01:37,4310056960,2672066560,2588147712,4307714048
2026-03-17 15:02:07,4367200256,2675449856,2591977472,4362870784
2026-03-17 15:02:37,4317880320,2681184256,2597507072,4312711168
2026-03-17 15:03:07,4369416192,2683056128,2599587840,4364222464
2026-03-17 15:03:37,4312698880,2683113472,2599403520,4307181568
2026-03-17 15:04:07,4372549632,2688401408,2604896256,4366405632
2026-03-17 15:04:37,4323745792,2692046848,2610651136,4316233728
2026-03-17 15:05:07,4373446656,2692124672,2610700288,4365107200
2026-03-17 15:05:37,4336418816,2694082560,2612695040,4312264704
2026-03-17 15:06:07,4397244416,2696126464,2614652928,4283162624
2026-03-17 15:06:37,4395794432,2698305536,2616606720,4284112896
2026-03-17 15:07:07,4403503104,2703659008,2621816832,4288946176
2026-03-17 15:07:37,4405723136,2716246016,2627244032,4397780992
2026-03-17 15:08:07,4407746560,2721820672,2632671232,4396355584
2026-03-17 15:08:37,4403617792,2732572672,2641424384,4399017984
2026-03-17 15:09:07,4395483136,2734354432,2643197952,4386095104
2026-03-17 15:09:37,4383395840,2734497792,2643382272,4375568384
2026-03-17 15:10:07,4370698240,2734628864,2649878528,4363337728
2026-03-17 15:10:37,4374327296,2739847168,2655490048,4367454208
2026-03-17 15:11:07,4353548288,2743283712,2657976320,4346916864
