Time,"__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-node1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-node2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-03-11 19:23:03,0.000267,0.000263,0.000158,0.000099
2026-03-11 19:23:33,0.000267,0.000263,0.000158,0.000099
2026-03-11 19:24:03,0.000267,0.000263,0.000158,0.000099
2026-03-11 19:24:33,0.000267,0.000263,0.000158,0.000099
2026-03-11 19:25:03,0.000267,0.000263,0.000158,0.000099
2026-03-11 19:25:33,0.000267,0.000263,0.000158,0.000099
2026-03-11 19:26:03,0.000267,0.000263,0.000158,0.000099
2026-03-11 19:26:33,0.000267,0.000263,0.000158,0.000099
2026-03-11 19:44:03,,,0.001243,
2026-03-11 19:44:33,,,0.001243,
2026-03-11 19:45:03,,,0.001243,
2026-03-11 19:45:33,,,0.001243,
2026-03-11 19:46:03,,,0.001243,
2026-03-11 19:46:33,,,0.001243,
2026-03-11 19:47:03,,,0.001243,
2026-03-11 19:47:33,,,0.001243,
2026-03-11 19:48:03,,,0.001243,
2026-03-11 19:48:33,,,0.001243,
2026-03-11 20:11:03,,,0.001345,
2026-03-11 20:11:33,,,0.001345,
2026-03-11 20:12:03,,,0.001345,
2026-03-11 20:12:33,,,0.001345,
2026-03-11 20:13:03,,,0.001345,
2026-03-11 20:13:33,,,0.001345,
2026-03-11 20:14:03,,,0.001345,
2026-03-11 20:14:33,,,0.001345,
2026-03-11 20:15:03,,,0.001345,
2026-03-11 20:15:33,,,0.001345,
