Time,"__name__=""dockerstats_memory_usage_bytes"",id=""52f1073e36e0"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""5b5bd522d044"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""7cb77baf9330"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""f32caeb32b8a"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1"""
2026-03-11 19:23:03,761544704,1039060992,1211039744,1223340032
2026-03-11 19:23:33,1577590784,1129816064,3634049024,3702136832
2026-03-11 19:24:03,2011820032,1162326016,3718221824,3767853056
2026-03-11 19:24:33,2014400512,1171902464,3693490176,3742773248
2026-03-11 19:25:03,2016706560,1180119040,3776610304,3804323840
2026-03-11 19:25:33,2063945728,1197559808,3816521728,3846914048
2026-03-11 19:26:03,2102190080,1217511424,3780517888,3811819520
2026-03-11 19:26:33,2123747328,1219219456,3840569344,3870060544
2026-03-11 19:27:03,2137223168,1226149888,3880239104,3906908160
2026-03-11 19:27:33,2137780224,1231552512,3824623616,3853828096
2026-03-11 19:28:03,2142879744,1243140096,3849359360,3876511744
2026-03-11 19:28:33,2153750528,1249820672,3874508800,3901513728
2026-03-11 19:29:03,2154078208,1254395904,3920719872,3932319744
2026-03-11 19:29:33,2163662848,1260220416,3958484992,3969548288
2026-03-11 19:30:03,2175324160,1274249216,3888975872,3987972096
2026-03-11 19:30:33,2185760768,1291468800,3937280000,3944329216
2026-03-11 19:31:03,2190786560,1307074560,4003971072,4006391808
2026-03-11 19:31:33,2190921728,1307213824,3969269760,3963195392
2026-03-11 19:32:03,2210111488,1321639936,4008366080,3991949312
2026-03-11 19:32:33,2210611200,1332879360,4079304704,4050780160
2026-03-11 19:33:03,2225410048,1341906944,4040822784,4088188928
2026-03-11 19:33:33,2247938048,1350991872,4105261056,4037132288
2026-03-11 19:34:03,2256908288,1358114816,4046692352,4076556288
2026-03-11 19:34:33,2247618560,1370497024,4097077248,4105613312
2026-03-11 19:35:03,2266857472,1374613504,4085641216,4174114816
2026-03-11 19:35:33,2269679616,1384824832,4174204928,4119490560
2026-03-11 19:36:03,2273071104,1385787392,4220452864,4154601472
2026-03-11 19:36:33,2303569920,1402159104,4164169728,4183228416
2026-03-11 19:37:03,2311372800,1419534336,4196036608,4205572096
2026-03-11 19:37:33,2314678272,1432158208,4246511616,4239216640
2026-03-11 19:38:03,2317991936,1438732288,4229398528,4194877440
2026-03-11 19:38:33,2379313152,1449115648,4279418880,4219146240
2026-03-11 19:39:03,2411859968,1466540032,4325138432,4220403712
2026-03-11 19:39:33,2412027904,1473884160,4298878976,4186394624
2026-03-11 19:40:03,2413330432,1475145728,4329979904,4190347264
2026-03-11 19:40:33,2424393728,1480998912,4359790592,4210569216
2026-03-11 19:41:03,2426740736,1485168640,4381618176,4234407936
2026-03-11 19:41:33,2428997632,1498279936,4321112064,4273627136
2026-03-11 19:42:03,2432737280,1501638656,4349050880,4293120000
2026-03-11 19:42:33,2436276224,1511911424,4394971136,4312403968
2026-03-11 19:43:03,2444115968,1533091840,4352782336,4261199872
2026-03-11 19:43:33,2447179776,1538297856,4423798784,4336599040
2026-03-11 19:44:03,2449981440,1608859648,4467417088,4387180544
2026-03-11 19:44:33,2450190336,1614069760,4413149184,4354240512
2026-03-11 19:45:03,2450759680,1627553792,4424433664,4362657792
2026-03-11 19:45:33,2452922368,1630130176,4438671360,4378816512
2026-03-11 19:46:03,2517143552,1640001536,4466765824,4403765248
2026-03-11 19:46:33,2517532672,1645518848,4496269312,4438880256
2026-03-11 19:47:03,2518409216,1648418816,4437041152,4375572480
2026-03-11 19:47:33,2519232512,1653309440,4456718336,4400193536
2026-03-11 19:48:03,2538553344,1671061504,4467642368,4412338176
2026-03-11 19:48:33,2538749952,1671262208,4497285120,4442095616
2026-03-11 19:49:03,2538921984,1671421952,4533911552,4478849024
2026-03-11 19:49:33,2538967040,1671479296,4536643584,4481552384
2026-03-11 19:50:03,2539958272,1672970240,4548362240,4495769600
2026-03-11 19:50:33,2546159616,1683496960,4559437824,4503707648
2026-03-11 19:51:03,2548916224,1686237184,4498399232,4433620992
2026-03-11 19:51:33,2549129216,1686478848,4532436992,4466307072
2026-03-11 19:52:03,2553679872,1696169984,4555821056,4487602176
2026-03-11 19:52:33,2555953152,1701298176,4583256064,4506497024
2026-03-11 19:53:03,2581057536,1715228672,4618493952,4539813888
2026-03-11 19:53:33,2586763264,1734205440,4559904768,4571484160
2026-03-11 19:54:03,2617987072,1747480576,4640956416,4556554240
2026-03-11 19:54:33,2621313024,1752670208,4641452032,4551331840
2026-03-11 19:55:03,2676137984,1762299904,4673052672,4596854784
2026-03-11 19:55:33,2679816192,1767313408,4712194048,4635136000
2026-03-11 19:56:03,2683744256,1775575040,4645814272,4662956032
2026-03-11 19:56:33,2687561728,1778667520,4678926336,4604551168
2026-03-11 19:57:03,2689732608,1787191296,4712579072,4633915392
2026-03-11 19:57:33,2693287936,1796780032,4737454080,4665470976
2026-03-11 19:58:03,2698559488,1812398080,4661547008,4684394496
2026-03-11 19:58:33,2702344192,1815597056,4687130624,4712435712
2026-03-11 19:59:03,2706452480,1830039552,4726493184,4672491520
2026-03-11 19:59:33,2713255936,1821495296,4792451072,4731932672
2026-03-11 20:00:03,2717200384,1842724864,4740677632,4695457792
2026-03-11 20:00:33,2717556736,1847668736,4760096768,4714577920
2026-03-11 20:01:03,2720276480,1857454080,4781137920,4733751296
2026-03-11 20:01:33,2723655680,1864126464,4801294336,4760014848
2026-03-11 20:02:03,2730856448,1872023552,4820279296,4784410624
2026-03-11 20:02:33,2748882944,1884127232,4850155520,4812574720
2026-03-11 20:03:03,2790813696,1894809600,4818739200,4788277248
2026-03-11 20:03:33,2878824448,1909633024,4849311744,4839788544
2026-03-11 20:04:03,2880659456,1920335872,4913242112,4808286208
2026-03-11 20:04:33,2882764800,1922437120,4858036224,4898942976
2026-03-11 20:05:03,2884227072,1925922816,4889927680,4838125568
2026-03-11 20:05:33,2887499776,1942216704,4910465024,4867928064
2026-03-11 20:06:03,2889637888,1944363008,4929134592,4890525696
2026-03-11 20:06:33,2890575872,1950896128,4938559488,4917161984
2026-03-11 20:07:03,2894323712,1954222080,4957138944,4939526144
2026-03-11 20:07:33,2897743872,1973547008,4919123968,4909580288
2026-03-11 20:08:03,2901438464,1985212416,4970803200,4994076672
2026-03-11 20:08:33,2905440256,2007396352,5002137600,4941520896
2026-03-11 20:09:03,2924515328,2009591808,4980723712,5012799488
2026-03-11 20:09:33,2924683264,2014765056,5053685760,4992516096
