Time,"job=""promtail""","container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-02-13 14:58:38,6.896276,15.970039571666668
2026-02-13 14:59:08,6.896276,15.673922091666666
2026-02-13 14:59:38,6.896276,15.377804491666668
2026-02-13 15:00:08,6.896276,15.081686891666667
2026-02-13 15:00:38,6.896276,14.785569291666667
2026-02-13 15:01:08,6.896276,14.489451691666666
2026-02-13 15:01:38,6.896276,14.193334091666667
2026-02-13 15:02:08,6.896276,13.897237528333335
2026-02-13 15:02:38,6.896276,13.601003288888888
2026-02-13 15:03:08,6.877195,13.304747881666666
2026-02-13 15:03:38,6.819952,13.007541356666668
2026-02-13 15:04:08,6.819952,12.710203093333334
2026-02-13 15:04:38,0,12.401507306666666
2026-02-13 15:05:08,6.81994,12.062501008888889
2026-02-13 15:05:38,6.81994,11.765171822222221
2026-02-13 15:06:08,6.81994,11.467842288888889
2026-02-13 15:06:38,6.819952,11.170512768888889
2026-02-13 15:07:08,6.819952,10.873183435555555
2026-02-13 15:07:38,6.830512,10.575789995555555
2026-02-13 15:08:08,6.830512,10.278530455555556
2026-02-13 15:08:38,6.823912,9.981248722222222
2026-02-13 15:09:08,6.8305,9.683970628888888
2026-02-13 15:09:38,0,9.365839753333335
2026-02-13 15:10:08,6.830512,9.221004615555554
2026-02-13 15:10:38,6.830512,8.978559442222222
2026-02-13 15:11:08,6.830512,8.681300422222224
2026-02-13 15:11:38,6.830512,8.411447782222222
2026-02-13 15:12:08,6.830512,8.148230218888889
2026-02-13 15:12:38,5.099925,7.9256149194444445
2026-02-13 15:13:08,6.935886,7.712410577777778
2026-02-13 15:13:38,2.855958,7.480792231111111
2026-02-13 15:14:08,2.855958,7.284106631111111
2026-02-13 15:14:38,6.935898,7.075268097777777
2026-02-13 15:15:08,2.855958,6.889267591111111
2026-02-13 15:15:38,6.255908,6.694315757777778
2026-02-13 15:16:08,6.11991,6.466553377777777
2026-02-13 15:16:38,3.671946,6.332921917777778
2026-02-13 15:17:08,6.935706,6.263721534444445
2026-02-13 15:17:38,2.855958,6.267547441666666
2026-02-13 15:18:08,6.834646,6.255127480555556
2026-02-13 15:18:38,6.834646,6.253759430555556
2026-02-13 15:19:08,6.916729,6.253257872222222
2026-02-13 15:19:38,6.916717,6.260943019999999
2026-02-13 15:20:08,6.916717,6.26094282
2026-02-13 15:20:38,6.916729,6.260942780000001
