Time,"__name__=""dockerstats_memory_usage_bytes"",id=""09ccb173d5f3"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""2377b37fadf6"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""8e9c4fd18e38"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""9b149065170d"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""da69da647513"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""eec730c45b61"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2"""
2026-02-13 14:58:38,1242697728,1250136064,1256517632,1231704064,1260576768,1225322496
2026-02-13 14:59:08,1243013120,1256034304,1265319936,1238392832,1269202944,1233858560
2026-02-13 14:59:38,1249660928,1261604864,1265545216,1244827648,1269252096,1233911808
2026-02-13 15:00:08,1249554432,1267224576,1270280192,1245073408,1277722624,1233973248
2026-02-13 15:00:38,1256030208,1268654080,1270239232,1247416320,1277808640,1242484736
2026-02-13 15:01:08,1256136704,1272233984,1272602624,1247645696,1282097152,1242529792
2026-02-13 15:01:38,1258401792,1279860736,1277063168,1249902592,1282150400,1246822400
2026-02-13 15:02:08,1332490240,1339330560,1277370368,1334108160,1344991232,1247039488
2026-02-13 15:02:38,1332617216,1343614976,1279991808,1334689792,1345351680,1251414016
2026-02-13 15:03:08,1350270976,1350844416,1284775936,1352167424,1364537344,1256062976
2026-02-13 15:03:38,1350660096,1368035328,1285169152,1354256384,1385697280,1255960576
2026-02-13 15:04:08,1352912896,1374904320,1287553024,1371279360,1385803776,1262624768
2026-02-13 15:04:38,1359589376,1379880960,1292079104,1377828864,1392345088,1262878720
2026-02-13 15:05:08,1359958016,1385775104,1292406784,1378250752,1392582656,1267302400
2026-02-13 15:05:38,1360084992,1390866432,1294528512,1378271232,1394778112,1267298304
2026-02-13 15:06:08,1360166912,1395458048,1294626816,1378394112,1394827264,1267310592
2026-02-13 15:06:38,1364856832,1397764096,1296924672,1382887424,1397211136,1271762944
2026-02-13 15:07:08,1364893696,1400840192,1297219584,1383280640,1397424128,1273974784
2026-02-13 15:07:38,1369341952,1412567040,1297477632,1387876352,1401901056,1274122240
2026-02-13 15:08:08,1379581952,1422016512,1302142976,1388326912,1406291968,1278464000
2026-02-13 15:08:38,1379807232,1426669568,1306611712,1388933120,1406410752,1278550016
2026-02-13 15:09:08,1380278272,1433817088,1309663232,1395449856,1406693376,1280806912
2026-02-13 15:09:38,1386786816,1443168256,1309548544,1395662848,1406771200,1283002368
2026-02-13 15:10:08,1389334528,1449598976,1311854592,1397997568,1413439488,1283194880
2026-02-13 15:10:38,1389481984,1454366720,1318318080,1404493824,1417756672,1287434240
2026-02-13 15:11:08,1393868800,1461518336,1320656896,1406836736,1417871360,1291771904
2026-02-13 15:11:38,1393930240,1468067840,1320763392,1406894080,1417895936,1291829248
2026-02-13 15:12:08,1394339840,1472737280,1323843584,1409425408,1418199040,1296232448
2026-02-13 15:12:38,1398800384,1484763136,1325711360,1409650688,1418305536,1296441344
2026-02-13 15:13:08,1418018816,1393111040,1328115712,1424609280,1425117184,1300770816
2026-02-13 15:13:38,1418149888,1404518400,1330356224,1431003136,1427075072,1300836352
2026-02-13 15:14:08,1420435456,1415151616,1334845440,1435340800,1444102144,1303085056
2026-02-13 15:14:38,1420570624,1424433152,1335013376,1435430912,1444282368,1303142400
2026-02-13 15:15:08,1425256448,1435926528,1339338752,1437630464,1444392960,1307521024
2026-02-13 15:15:38,1429565440,1444679680,1341550592,1439801344,1448669184,1311768576
2026-02-13 15:16:08,1429811200,1455779840,1342619648,1439997952,1448820736,1311838208
2026-02-13 15:16:38,1432141824,1467707392,1343397888,1440149504,1453305856,1316556800
2026-02-13 15:17:08,1432145920,1477865472,1345691648,1442435072,1455661056,1318858752
