Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-miner3""","name=""rskj-miner4""","name=""rskj-node1""","name=""rskj-node2"""
2026-02-19 00:27:10,,,,1.019197667,1.096551959,
2026-02-19 06:43:10,1.062803584,,1.58817325,,1.330316751,
2026-02-19 06:44:10,1.062803584,,1.58817325,,1.330316751,
2026-02-19 07:29:10,1.052628668,,1.471880376,,,
2026-02-19 08:11:10,,5.303190169,,,,5.08035621
2026-02-19 10:27:10,,3.48471171,,,,3.924067294
2026-02-19 14:33:10,1.320982084,,1.542070709,,1.368709917,
2026-02-19 18:40:10,,6.213447168,,,,
2026-02-19 19:24:10,1.209881,,,,1.238408875,
2026-02-19 19:47:10,1.561747791,,,1.665395124,1.406107666,
