Time,"name=""rskj-miner1""","name=""rskj-node1""","name=""rskj-node2"""
2026-03-08 15:03:01,,4.15534096,
2026-03-08 15:54:01,,,13.00023584
2026-03-08 16:31:01,,3.80620571,
2026-03-08 16:35:01,2.654812335,,
2026-03-08 17:11:01,,4.097582752,
2026-03-08 17:12:01,,4.097582752,
2026-03-08 17:53:01,,3.812116793,
2026-03-08 18:33:01,,4.662189127,
2026-03-08 19:12:01,,3.048509126,
2026-03-08 21:45:01,,3.467693043,
2026-03-08 22:26:01,,3.439115752,
2026-03-08 22:27:01,,3.439115752,
2026-03-09 00:19:01,,9.556459963,
2026-03-09 00:20:01,,9.556459963,
2026-03-09 01:02:01,,5.138420002,9.525233755
2026-03-09 01:44:01,,4.134953502,
2026-03-09 02:30:01,,4.114687668,
2026-03-09 03:57:01,,3.527507418,
2026-03-09 05:59:01,,2.665269209,
2026-03-09 06:00:01,,2.665269209,
2026-03-09 06:50:01,2.120705376,,2.837874251
2026-03-09 08:03:01,,6.247452628,11.567665339
2026-03-09 09:29:01,,2.835591001,
2026-03-09 12:17:01,1.171934543,1.538335542,1.561997084
2026-03-09 12:18:01,1.171934543,1.538335542,1.561997084
2026-03-09 12:19:01,,,1.021810626
2026-03-09 12:33:01,,2.540100334,1.108337208
2026-03-09 12:35:01,,1.067459625,1.325938292
2026-03-09 12:36:01,1.103185792,1.400568626,1.538872918
2026-03-09 12:39:01,2.153100543,,1.917094876
