Time,"__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner3"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-miner4"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_datasource_flush_seconds"",container_id=""rskj-node1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-03-09 18:55:38,0.0012,0.001736,0.001629
2026-03-09 18:56:08,0.0012,0.001736,0.001629
2026-03-09 18:56:38,0.0012,0.001736,0.001629
2026-03-09 18:57:08,0.0012,0.001736,0.001629
2026-03-09 18:57:38,0.0012,0.001736,0.001629
2026-03-09 18:58:08,0.0012,0.001736,0.001629
2026-03-09 18:58:38,0.0012,0.001736,0.001629
2026-03-09 18:59:08,0.0012,0.001736,0.001629
2026-03-09 18:59:38,0.0012,0.001736,0.001629
2026-03-09 19:00:08,0.0012,0.001736,0.001629
2026-03-09 19:17:08,0.000878,0.001972,0.643857
2026-03-09 19:17:38,0.000878,0.000394,0.00472
2026-03-09 19:18:08,0.000878,0.000394,0.00472
2026-03-09 19:18:38,0.000878,0.000394,0.00472
2026-03-09 19:19:08,0.000878,0.000394,0.00472
2026-03-09 19:19:38,0.000878,0.000394,0.00472
2026-03-09 19:20:08,0.000878,0.000394,0.00472
2026-03-09 19:20:38,0.000878,0.000394,0.00472
2026-03-09 19:21:08,0.000878,0.000394,0.00472
2026-03-09 19:21:38,0.000878,0.000394,0.00472
2026-03-09 19:22:08,,0.000394,
