Time,"__name__=""dockerstats_memory_usage_bytes"",id=""33698e4ab53c"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""96764df96e72"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""9c63e1a44114"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""a3196c4809ad"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1"""
2026-03-17 19:21:46,3880148992,821571584,3933593600,984883200
2026-03-17 19:22:16,4380401664,1923121152,4374241280,1432526848
2026-03-17 19:22:46,4427128832,1981853696,4441296896,1614528512
2026-03-17 19:23:16,4447379456,1995673600,4490588160,1619247104
2026-03-17 19:23:46,4443394048,1996771328,4488331264,1816326144
2026-03-17 19:24:16,4490113024,2002571264,4563587072,1821474816
2026-03-17 19:24:46,4529426432,2348507136,4504662016,1823481856
2026-03-17 19:25:16,4571443200,2773102592,4538101760,1948164096
2026-03-17 19:25:46,4505862144,2781995008,4586217472,2781097984
2026-03-17 19:26:16,4533669888,2782527488,4618821632,2783809536
2026-03-17 19:26:46,4555390976,2785959936,4563271680,2787409920
2026-03-17 19:27:16,4583464960,2791497728,4602195968,2792935424
2026-03-17 19:27:46,4529618944,2792431616,4641599488,2793869312
2026-03-17 19:28:16,4561850368,2794303488,4574425088,2795614208
2026-03-17 19:28:46,4571574272,2795360256,4593963008,2796711936
2026-03-17 19:29:16,4600926208,2801610752,4619542528,2800951296
2026-03-17 19:29:46,4622364672,2802450432,4640137216,2801782784
2026-03-17 19:30:16,4646633472,2804666368,4672995328,2803888128
2026-03-17 19:30:46,4664807424,2805936128,4691451904,2805305344
2026-03-17 19:31:16,4681416704,2806640640,4711608320,2805567488
2026-03-17 19:31:46,4599300096,2807427072,4637089792,2806587392
2026-03-17 19:32:16,4623265792,2813046784,4666687488,2812674048
2026-03-17 19:32:46,4685172736,2820079616,4735823872,2916827136
2026-03-17 19:33:16,4655407104,2822131712,4695330816,2918584320
2026-03-17 19:33:46,4702838784,2823536640,4742623232,2919981056
2026-03-17 19:34:16,4720009216,2825322496,4759982080,2921259008
2026-03-17 19:34:46,4744196096,2826899456,4783628288,2922815488
2026-03-17 19:35:16,4772212736,2836250624,4806897664,2923683840
2026-03-17 19:35:46,4696592384,2838683648,4735729664,2926051328
2026-03-17 19:36:16,4704051200,2841202688,4749148160,2928791552
2026-03-17 19:36:46,4716142592,2846900224,4768153600,2934497280
2026-03-17 19:37:16,4727369728,2871496704,4789661696,2938159104
2026-03-17 19:37:46,4759904256,2873098240,4875923456,2939695104
2026-03-17 19:38:16,4781969408,3033411584,4837392384,2942562304
