Time,"__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_used"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","__name__=""jvm_memory_bytes_max"",area=""heap"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-17 19:21:16,114249248,100725656,39468544,43257856,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:21:46,3223502368,2344184896,558228384,798432256,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:22:16,225436840,3260160000,249337856,191507456,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:22:46,2214449664,2679288416,167548928,988425216,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:23:16,3215278944,932522192,109877248,174046728,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:23:46,1498508240,750103040,533501952,1157611016,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:24:16,442248264,1585249608,555522048,1217145872,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:24:46,1764556800,2391933952,582785024,1967926288,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:25:16,989350240,1339654656,116462592,1194035432,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:25:46,2946134296,2820823040,967906304,544721408,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:26:16,675136512,1868237824,1603343360,329763328,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:26:46,2268519424,2038573568,546378752,1078446592,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:27:16,1157115904,1236814848,1731269632,1348979192,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:27:46,1483420160,2468114432,199300096,235754592,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:28:16,986204160,2301480960,618730496,562910304,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:28:46,655582208,2288571048,1105269760,273426944,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:29:16,1538518928,1232185856,565253120,810297856,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:29:46,959559680,619918848,976294912,285419192,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:30:16,422604008,1962217472,357635072,1113794232,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:30:46,1369118208,1967701176,1062278144,386673152,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:31:16,1697016296,1773361544,1789989888,1059858944,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:31:46,1747874616,680117760,392238080,1456220672,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:32:16,1117050656,3296085304,1480659968,1040984576,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:32:46,2690963000,2964655616,1013969408,1068247552,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:33:16,1872356352,3227063296,744485376,276572672,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:33:46,720062464,2458177024,1069543936,607922688,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:34:16,854439936,2978472960,639627776,1090267648,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:34:46,2406693376,1848855488,1226830336,401207296,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:35:16,2789129448,2654053264,696250880,963244032,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:35:46,1236084560,3263520768,1283453440,1651109888,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:36:16,2512997888,313738240,848294400,761917440,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:36:46,1198881552,427667968,247460352,392849920,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:37:16,2052203344,3197566816,1044378112,1196059136,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:37:46,3407078912,2684519424,1769992704,1919576576,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:38:16,669296640,796931288,407299184,560954368,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:38:46,2556384600,838571520,395657216,358579200,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:39:16,3214250136,2250746880,943013888,1046445056,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:39:46,911090872,2319554048,1620393984,883828720,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:40:16,521649648,2273662976,759644176,471187576,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:40:46,442850000,2602232832,1281835024,1033224312,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:41:16,2770688720,1937810432,1749499920,354384896,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:41:46,913427856,3380651008,388317184,769620992,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:42:16,3002665416,1168426496,681918464,1316977664,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:42:46,1814860488,1817379328,981811200,437222400,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:43:16,2108970496,1271896064,1348812800,797932544,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:43:46,2236294144,288552000,1885683712,1282374656,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:44:16,3139773952,3262313536,742735872,1779399680,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:44:46,816912248,2771591368,1403338752,667909120,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:45:16,1171154968,1923430968,381642328,1376746496,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:45:46,1170421936,1467326976,1117742680,2066709504,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:46:16,1661488392,1691961344,1604281944,777362992,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:46:46,2882717072,1556216840,1935631960,1297456688,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:47:16,2501468992,1673867264,384122880,1811258928,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:47:46,3394889216,3188253744,605635584,541162512,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:48:16,2757547008,1568319248,1213809664,1138850832,5368709120,5368709120,4294967296,4294967296
2026-03-17 19:48:46,2673949280,3025268864,1985561600,1918991376,5368709120,5368709120,4294967296,4294967296
