Time,"__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-miner2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-node1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-node2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-03-17 19:21:16,0.022703,0.045116,0.066819,0.070799
2026-03-17 19:21:46,0.367326,0.199917,0.468635,0.363556
2026-03-17 19:22:16,0.253631,0.247756,0.211245,0.215568
2026-03-17 19:22:46,0.22721,0.220885,0.092233,0.143265
2026-03-17 19:23:16,0.199748,0.086751,0.193563,0.163852
2026-03-17 19:23:46,0.09122,0.066339,0.084736,0.108785
2026-03-17 19:24:16,0.04214,0.033278,0.055282,0.045957
2026-03-17 19:24:46,0.124563,0.134235,0.092807,0.104744
2026-03-17 19:25:16,0.042792,0.106345,0.109984,0.074572
2026-03-17 19:25:46,0.074334,0.085421,0.041651,0.036271
2026-03-17 19:26:16,0.113898,0.113668,0.07712,0.078595
2026-03-17 19:26:46,0.080206,0.046013,0.066374,0.064159
2026-03-17 19:27:16,0.125833,0.173366,0.074769,0.08104
2026-03-17 19:27:46,0.305173,0.129593,0.363976,0.211442
2026-03-17 19:28:16,0.245532,0.099039,0.210965,0.183175
2026-03-17 19:28:46,0.063415,0.077955,0.02547,0.080845
2026-03-17 19:29:16,0.076796,0.10622,0.05612,0.058416
2026-03-17 19:29:46,0.102233,0.140554,0.08121,0.067414
2026-03-17 19:30:16,0.098861,0.112467,0.084205,0.063101
2026-03-17 19:30:46,0.109915,0.184598,0.069658,0.077056
2026-03-17 19:31:16,0.112446,0.103049,0.071734,0.064198
2026-03-17 19:31:46,0.080825,0.109263,0.081335,0.069387
2026-03-17 19:32:16,0.124446,0.188876,0.158819,0.163974
2026-03-17 19:32:46,0.092178,0.126581,0.072071,0.068953
2026-03-17 19:33:16,0.083222,0.079367,0.065308,0.063846
2026-03-17 19:33:46,0.147645,0.093729,0.064421,0.059657
2026-03-17 19:34:16,0.109087,0.086126,0.092748,0.084243
