Time,"container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-03-18 16:25:54,1.8576911244062728
2026-03-18 16:26:24,1.8576874200977966
2026-03-18 16:26:54,1.8576801611338702
2026-03-18 16:27:24,1.857676035788276
2026-03-18 16:27:54,1.857669617781642
2026-03-18 16:28:24,1.8576633215299303
2026-03-18 16:28:54,1.8576606342171686
2026-03-18 16:29:24,1.8576539624490578
2026-03-18 16:29:54,1.8576485558223095
2026-03-18 16:30:24,1.8576443796429416
2026-03-18 16:30:54,1.8576391577124132
2026-03-18 16:31:24,1.9709993250603368
2026-03-18 16:31:54,2.2031874641875335
2026-03-18 16:32:24,2.336550561047506
2026-03-18 16:32:54,2.541691320122343
2026-03-18 16:33:24,2.5416862255069312
2026-03-18 16:33:54,2.6250347829428846
2026-03-18 16:34:24,2.6519803640922976
2026-03-18 16:34:54,2.6519745880553853
2026-03-18 16:35:24,2.6519718692885155
2026-03-18 16:35:54,2.651962589759378
2026-03-18 16:36:24,2.6519578307367326
2026-03-18 16:36:54,2.6519517054627846
2026-03-18 16:37:24,2.65194639558518
2026-03-18 16:37:54,2.651941171053383
2026-03-18 16:38:24,2.651937439271606
2026-03-18 16:38:54,2.651929571633356
2026-03-18 16:39:24,2.6519246021227585
2026-03-18 16:39:54,2.795467622908312
2026-03-18 16:40:24,2.889912541144294
2026-03-18 16:40:54,3.1003227291371447
2026-03-18 16:41:24,3.100322173314035
2026-03-18 16:41:54,3.3327708540664793
2026-03-18 16:42:24,3.38953617388724
2026-03-18 16:42:54,3.389531510632228
2026-03-18 16:43:24,3.3895260820185875
2026-03-18 16:43:54,3.3895199048796023
2026-03-18 16:44:24,3.3895154617914622
2026-03-18 16:44:54,3.3895078183412455
2026-03-18 16:45:24,3.389501905101348
2026-03-18 16:45:54,3.389497685100571
2026-03-18 16:46:24,3.389494323595176
2026-03-18 16:46:54,3.3894862500108345
2026-03-18 16:47:24,3.389484590460882
2026-03-18 16:47:54,3.389477478296552
2026-03-18 16:48:24,3.499771785256492
2026-03-18 16:48:54,3.499773393749762
2026-03-18 16:49:24,3.4997599467593172
2026-03-18 16:49:54,3.499757683750447
2026-03-18 16:50:24,3.49975310907048
2026-03-18 16:50:54,3.4997485952105443
2026-03-18 16:51:24,3.4997441409657513
2026-03-18 16:51:54,3.4997397451628314
