Time,"container_id=""rskj-miner1""","container_id=""rskj-miner2""","container_id=""rskj-node1""","container_id=""rskj-node2"""
2026-03-18 16:25:54,0.48090765198799956,0,0.0017859926204351893,0.006563364253939791
2026-03-18 16:26:24,0.11586626663907858,0.009684460997310159,0.04407152217394304,0.02218487481895303
2026-03-18 16:26:54,0.041541580471659074,0,0.026621190180664733,0.03861574265618536
2026-03-18 16:27:24,0,0.039049417201186286,0.011554279605490034,0.003959514449272367
2026-03-18 16:27:54,0.05242884257022569,0.03345106632617849,0.08444350886879701,0.05864224584167299
2026-03-18 16:28:24,0.15405137753870554,0.0086251853384366,0.043638391779593805,0.02598093169201061
2026-03-18 16:28:54,0,0.02444397696313411,0.3917821498775735,0.14258019795151222
2026-03-18 16:29:24,0.1662843498948385,0.11117912144031077,0.08346529669344552,0.08181453642726615
2026-03-18 16:29:54,0,0.03485159644162472,0.04291469553823875,0.06831535756154748
2026-03-18 16:30:24,0.1392309655172414,0.3009508965517241,0,0.013384310344827587
2026-03-18 16:30:54,0.05744555547893249,0.110059926901593,0.017208675263774915,0.01619729673815599
2026-03-18 16:31:24,0.12243325631918339,0.034402082830442424,0.05263012517673023,0.027615848822373182
2026-03-18 16:31:54,0.05410786206896552,0.04538379310344828,0.13535468965517242,0.06132065517241379
2026-03-18 16:32:24,0.04053812200420704,0.04466985068450635,0.03895103279423427,0.05927880271733507
2026-03-18 16:32:54,0.25458077307679045,0.044037067687321116,0.00018602806799765655,0.020276059446225993
2026-03-18 16:33:24,0.05539306896551724,0.03797465517241379,0,0
2026-03-18 16:33:54,0.09743984690183097,0.04598517292507154,0.0802174407779042,0.05853198165580497
2026-03-18 16:34:24,0.06948220689655173,0.18776024137931036,0.014179310344827587,0.010509724137931038
2026-03-18 16:34:54,0.0002840936519430401,0.0046396675976690446,0.018934140202061994,0.023652943001965448
2026-03-18 16:35:24,0,0.13596047867020725,0.058048901610511426,0.05215636100286236
2026-03-18 16:35:54,0.1271256033650531,0,0.074591090884016,0.05488887739622121
2026-03-18 16:36:24,0.03867623021483499,0.04601413841856615,0.018811338322011102,0.004453843235973653
2026-03-18 16:36:54,0.01408144546739768,0.35897734560877215,0.0170459639322782,0.007770801006861834
2026-03-18 16:37:24,0.07700248275862069,0.07904203448275861,0.046800965517241375,0.06254196551724137
2026-03-18 16:37:54,0.016190413793103445,0.05096593103448276,0.1198666551724138,0.14256093103448275
2026-03-18 16:38:24,0,0,0.03159822752508707,0.03258867547156798
2026-03-18 16:38:54,0.10542188739095958,0.06521566734475744,0,0
2026-03-18 16:39:24,0.18987552153374018,0.06346015654632599,0.03944301920623427,0.04672638874521568
2026-03-18 16:39:54,0.13419457372358395,0,0.07273661529975523,0.09169883131657876
2026-03-18 16:40:24,0.038983737036143745,0.07452623781139098,0.0381068807497502,0.03575729593770458
