Time,"__name__=""dockerstats_memory_usage_bytes"",id=""052d0e9eb190"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""1b7a500df824"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""387335d10e81"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""98a9a9f5b0bc"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2"""
2026-03-18 16:25:54,6273687552,6138765312,3588120576,3929636864
2026-03-18 16:26:24,6267985920,6127923200,3604193280,3947343872
2026-03-18 16:26:54,6255316992,6202585088,3611860992,3956588544
2026-03-18 16:27:24,6344081408,6180327424,3624226816,3980947456
2026-03-18 16:27:54,6331658240,6164082688,3644559360,3999932416
2026-03-18 16:28:24,6338281472,6165745664,3654660096,3908440064
2026-03-18 16:28:54,6471434240,6272479232,3638378496,3987132416
2026-03-18 16:29:24,6472794112,6248693760,3660324864,4009660416
2026-03-18 16:29:54,6452858880,6327115776,3671072768,4022030336
2026-03-18 16:30:24,6525898752,6289952768,3679580160,4033171456
2026-03-18 16:30:54,6552899584,6303952896,3684429824,4038004736
2026-03-18 16:31:24,6541008896,6372433920,3690819584,4048777216
2026-03-18 16:31:54,6616842240,6350053376,3697782784,4056440832
2026-03-18 16:32:24,6613872640,6338297856,3705810944,4064333824
2026-03-18 16:32:54,6622171136,6431551488,3714572288,4075540480
2026-03-18 16:33:24,6634524672,6437236736,3724992512,4094046208
2026-03-18 16:33:54,6678310912,6474981376,3733340160,4099375104
2026-03-18 16:34:24,6689107968,6478413824,3758026752,4114427904
2026-03-18 16:34:54,6714535936,6496624640,3762569216,4118831104
2026-03-18 16:35:24,6738530304,6529126400,3779428352,4123840512
2026-03-18 16:35:54,6831362048,6528884736,3784503296,4130533376
2026-03-18 16:36:24,6810664960,6611357696,3790442496,4143558656
2026-03-18 16:36:54,6800666624,6615859200,3809853440,4150431744
2026-03-18 16:37:24,6801534976,6626574336,3815014400,4162945024
2026-03-18 16:37:54,6889734144,6617894912,3822817280,4172640256
2026-03-18 16:38:24,6909739008,6664941568,3911647232,4258930688
2026-03-18 16:38:54,6912274432,6780243968,3915776000,4262887424
2026-03-18 16:39:24,6938255360,6710472704,3923845120,4273000448
