Time,"__name__=""node_load1"",instance=""host.docker.internal:9300"",job=""node-exporter"""
2026-03-18 16:25:54,21.44
2026-03-18 16:26:24,22.97
2026-03-18 16:26:54,22.02
2026-03-18 16:27:24,23.55
2026-03-18 16:27:54,23.08
2026-03-18 16:28:24,23.6
2026-03-18 16:28:54,24.11
2026-03-18 16:29:24,22.28
2026-03-18 16:29:54,20.78
2026-03-18 16:30:24,20.28
2026-03-18 16:30:54,18.13
2026-03-18 16:31:24,20.05
2026-03-18 16:31:54,21.22
2026-03-18 16:32:24,22.25
2026-03-18 16:32:54,20.55
2026-03-18 16:33:24,18.41
2026-03-18 16:33:54,18.35
2026-03-18 16:34:24,21.21
2026-03-18 16:34:54,19.42
2026-03-18 16:35:24,20.41
2026-03-18 16:35:54,19.91
2026-03-18 16:36:24,20.3
2026-03-18 16:36:54,20.62
2026-03-18 16:37:24,20.53
2026-03-18 16:37:54,22.22
2026-03-18 16:38:24,20.2
2026-03-18 16:38:54,21.32
2026-03-18 16:39:24,20.53
2026-03-18 16:39:54,21.19
2026-03-18 16:40:24,21.48
2026-03-18 16:40:54,19.71
2026-03-18 16:41:24,18.92
2026-03-18 16:41:54,20.74
2026-03-18 16:42:24,20.69
2026-03-18 16:42:54,22.68
2026-03-18 16:43:24,23.79
2026-03-18 16:43:54,23.67
2026-03-18 16:44:24,21.61
2026-03-18 16:44:54,19.95
2026-03-18 16:45:24,20.9
2026-03-18 16:45:54,20.3
2026-03-18 16:46:24,19.02
2026-03-18 16:46:54,20.18
2026-03-18 16:47:24,18.79
2026-03-18 16:47:54,16.21
2026-03-18 16:48:24,17.61
2026-03-18 16:48:54,18.64
2026-03-18 16:49:24,18.32
2026-03-18 16:49:54,17.62
2026-03-18 16:50:24,17.79
2026-03-18 16:50:54,19.48
2026-03-18 16:51:24,18.99
2026-03-18 16:51:54,19.78
2026-03-18 16:52:24,19.42
2026-03-18 16:52:54,18.18
2026-03-18 16:53:24,18.18
2026-03-18 16:53:54,16.74
2026-03-18 16:54:24,17.7
2026-03-18 16:54:54,18.7
2026-03-18 16:55:24,18.75
2026-03-18 16:55:54,18.76
2026-03-18 16:56:24,15.07
2026-03-18 16:56:54,17.75
2026-03-18 16:57:24,16.73
2026-03-18 16:57:54,18.82
2026-03-18 16:58:24,18.35
2026-03-18 16:58:54,18.38
2026-03-18 16:59:24,17.39
2026-03-18 16:59:54,16.62
2026-03-18 17:00:24,15.79
2026-03-18 17:00:54,14.97
2026-03-18 17:01:24,15.06
2026-03-18 17:01:54,17.41
2026-03-18 17:02:24,18.65
2026-03-18 17:02:54,19.24
2026-03-18 17:03:24,19.95
2026-03-18 17:03:54,19.19
2026-03-18 17:04:24,18.47
2026-03-18 17:04:54,20.25
2026-03-18 17:05:24,21.87
2026-03-18 17:05:54,22.28
2026-03-18 17:06:24,23.02
2026-03-18 17:06:54,22.46
2026-03-18 17:07:24,24.23
2026-03-18 17:07:54,23.04
2026-03-18 17:08:24,23.32
2026-03-18 17:08:54,23.85
2026-03-18 17:09:24,23.85
2026-03-18 17:09:54,23.83
2026-03-18 17:10:24,22.38
2026-03-18 17:10:54,20.51
2026-03-18 17:11:24,22.33
2026-03-18 17:11:54,20.28
2026-03-18 17:12:24,21.93
2026-03-18 17:12:54,21.22
2026-03-18 17:13:24,20.81
2026-03-18 17:13:54,18.85
2026-03-18 17:14:24,19.12
2026-03-18 17:14:54,16.99
2026-03-18 17:15:24,17.61
2026-03-18 17:15:54,16.86
2026-03-18 17:16:24,17.4
2026-03-18 17:16:54,20.1
2026-03-18 17:17:24,19.99
2026-03-18 17:17:54,17.19
2026-03-18 17:18:24,17.07
2026-03-18 17:18:54,16.99
2026-03-18 17:19:24,20.22
2026-03-18 17:19:54,20.43
2026-03-18 17:20:24,19.61
2026-03-18 17:20:54,23.19
2026-03-18 17:21:24,24.67
2026-03-18 17:21:54,22.42
2026-03-18 17:22:24,20.88
2026-03-18 17:22:54,18.73
2026-03-18 17:23:24,18.36
2026-03-18 17:23:54,19.33
2026-03-18 17:24:24,20.2
2026-03-18 17:24:54,22.43
2026-03-18 17:25:24,22.24
2026-03-18 17:25:54,23.34
2026-03-18 17:26:24,22.08
2026-03-18 17:26:54,21.56
2026-03-18 17:27:24,21.75
2026-03-18 17:27:54,21.93
2026-03-18 17:28:24,22.61
2026-03-18 17:28:54,21.13
2026-03-18 17:29:24,22.27
2026-03-18 17:29:54,22.29
2026-03-18 17:30:24,23.27
2026-03-18 17:30:54,22.39
2026-03-18 17:31:24,21.14
2026-03-18 17:31:54,20.54
