Time,"job=""promtail"""
2026-03-18 16:25:54,24.99
2026-03-18 16:26:24,24.99
2026-03-18 16:26:54,24.99
2026-03-18 16:27:24,24.99
2026-03-18 16:27:54,24.99
2026-03-18 16:28:24,24.99
2026-03-18 16:28:54,12.054
2026-03-18 16:29:24,21.8295
2026-03-18 16:29:54,22.5225
2026-03-18 16:30:24,17.2095
2026-03-18 16:30:54,15.1725
2026-03-18 16:31:24,11.187750000000001
2026-03-18 16:31:54,21.17325
2026-03-18 16:32:24,24.99
2026-03-18 16:32:54,24.99
2026-03-18 16:33:24,24.99
2026-03-18 16:33:54,23.462249999999997
2026-03-18 16:34:24,24.99
2026-03-18 16:34:54,24.99
2026-03-18 16:35:24,24.99
2026-03-18 16:35:54,16.264499999999998
2026-03-18 16:36:24,24.99
2026-03-18 16:36:54,24.171
2026-03-18 16:37:24,24.09225
2026-03-18 16:37:54,21.09975
2026-03-18 16:38:24,21.09975
2026-03-18 16:38:54,24.99
2026-03-18 16:39:24,24.99
2026-03-18 16:39:54,21.441
2026-03-18 16:40:24,24.09225
2026-03-18 16:40:54,10.94625
2026-03-18 16:41:24,12.60525
2026-03-18 16:41:54,21.771749999999997
2026-03-18 16:42:24,24.99
2026-03-18 16:42:54,21.819
2026-03-18 16:43:24,24.99
2026-03-18 16:43:54,24.99
2026-03-18 16:44:24,24.99
2026-03-18 16:44:54,13.31925
2026-03-18 16:45:24,24.99
2026-03-18 16:45:54,24.99
2026-03-18 16:46:24,24.99
2026-03-18 16:46:54,24.99
2026-03-18 16:47:24,24.99
2026-03-18 16:47:54,24.99
2026-03-18 16:48:24,24.99
2026-03-18 16:48:54,24.99
2026-03-18 16:49:24,24.99
2026-03-18 16:49:54,24.99
2026-03-18 16:50:24,24.99
2026-03-18 16:50:54,15.03075
2026-03-18 16:51:24,14.069999999999999
2026-03-18 16:51:54,18.26475
2026-03-18 16:52:24,24.99
2026-03-18 16:52:54,23.4045
2026-03-18 16:53:24,24.99
2026-03-18 16:53:54,24.99
2026-03-18 16:54:24,20.742749999999997
2026-03-18 16:54:54,24.286499999999997
2026-03-18 16:55:24,24.99
2026-03-18 16:55:54,24.99
2026-03-18 16:56:24,23.9715
2026-03-18 16:56:54,24.99
2026-03-18 16:57:24,24.99
2026-03-18 16:57:54,24.99
2026-03-18 16:58:24,24.286499999999997
2026-03-18 16:58:54,24.99
2026-03-18 16:59:24,24.99
2026-03-18 16:59:54,24.99
2026-03-18 17:00:24,24.99
2026-03-18 17:00:54,24.99
2026-03-18 17:01:24,15.014999999999999
2026-03-18 17:01:54,24.99
2026-03-18 17:02:24,24.99
2026-03-18 17:02:54,24.99
2026-03-18 17:03:24,22.805999999999997
2026-03-18 17:03:54,18.7425
2026-03-18 17:04:24,20.63775
