"Time","rskj-miner1"
2026-01-30 01:20:00,4.43 kB/s
2026-01-30 01:24:00,4.26 kB/s
2026-01-30 01:28:00,4.14 kB/s
2026-01-30 01:32:00,4.12 kB/s
2026-01-30 01:36:00,3.97 kB/s
2026-01-30 01:40:00,4.00 kB/s
2026-01-30 01:44:00,63.6 kB/s
2026-01-30 01:48:00,63.5 kB/s
2026-01-30 01:52:00,63.4 kB/s
2026-01-30 01:56:00,63.5 kB/s
2026-01-30 02:00:00,63.5 kB/s
2026-01-30 02:04:00,63.6 kB/s
2026-01-30 02:08:00,67.7 kB/s
2026-01-30 02:12:00,67.8 kB/s
2026-01-30 02:16:00,8.31 kB/s
2026-01-30 02:20:00,8.31 kB/s
2026-01-30 02:24:00,8.32 kB/s
2026-01-30 02:28:00,8.22 kB/s
2026-01-30 02:32:00,8.24 kB/s
2026-01-30 02:36:00,3.98 kB/s
2026-01-30 02:40:00,4.01 kB/s
2026-01-30 02:44:00,3.84 kB/s
2026-01-30 02:48:00,3.78 kB/s
2026-01-30 02:52:00,3.85 kB/s
2026-01-30 02:56:00,3.81 kB/s
2026-01-30 03:00:00,3.82 kB/s
2026-01-30 03:04:00,3.94 kB/s
2026-01-30 03:08:00,3.98 kB/s
2026-01-30 03:12:00,3.97 kB/s
2026-01-30 03:16:00,4.04 kB/s
2026-01-30 03:20:00,4.14 kB/s
2026-01-30 03:24:00,4.03 kB/s
2026-01-30 03:28:00,3.91 kB/s
2026-01-30 03:32:00,112 kB/s
2026-01-30 03:36:00,112 kB/s
2026-01-30 03:40:00,112 kB/s
2026-01-30 03:44:00,112 kB/s
2026-01-30 03:48:00,112 kB/s
2026-01-30 03:52:00,1.43 MB/s
2026-01-30 03:56:00,1.43 MB/s
2026-01-30 04:00:00,1.37 MB/s
2026-01-30 04:04:00,1.32 MB/s
2026-01-30 04:08:00,1.32 MB/s
2026-01-30 04:12:00,1.32 MB/s
2026-01-30 04:16:00,1.32 MB/s
2026-01-30 04:20:00,1.32 MB/s
2026-01-30 04:24:00,4.13 kB/s
2026-01-30 04:28:00,4.08 kB/s
2026-01-30 04:32:00,4.07 kB/s
2026-01-30 04:36:00,3.71 kB/s
2026-01-30 04:40:00,3.65 kB/s
2026-01-30 04:44:00,3.75 kB/s
2026-01-30 04:48:00,3.85 kB/s
2026-01-30 04:52:00,3.73 kB/s
2026-01-30 04:56:00,3.75 kB/s
2026-01-30 05:00:00,3.66 kB/s
2026-01-30 05:04:00,3.80 kB/s
2026-01-30 05:08:00,3.75 kB/s
2026-01-30 05:12:00,4.00 kB/s
2026-01-30 05:16:00,3.78 kB/s
2026-01-30 05:20:00,3.64 kB/s
2026-01-30 05:24:00,3.68 kB/s
2026-01-30 05:28:00,3.88 kB/s
2026-01-30 05:32:00,3.92 kB/s
2026-01-30 05:36:00,3.96 kB/s
2026-01-30 05:40:00,3.89 kB/s
2026-01-30 05:44:00,3.54 kB/s
2026-01-30 05:48:00,3.74 kB/s
2026-01-30 05:52:00,3.84 kB/s
2026-01-30 05:56:00,3.80 kB/s
2026-01-30 06:00:00,64.3 kB/s
2026-01-30 06:04:00,64.3 kB/s
2026-01-30 06:08:00,64.4 kB/s
2026-01-30 06:12:00,64.6 kB/s
2026-01-30 06:16:00,64.7 kB/s
2026-01-30 06:20:00,64.6 kB/s
2026-01-30 06:24:00,64.5 kB/s
2026-01-30 06:28:00,3.88 kB/s
2026-01-30 06:32:00,3.92 kB/s
2026-01-30 06:36:00,3.85 kB/s
2026-01-30 06:40:00,3.70 kB/s
2026-01-30 06:44:00,3.74 kB/s
2026-01-30 06:48:00,3.73 kB/s
2026-01-30 06:52:00,3.69 kB/s
2026-01-30 06:56:00,3.55 kB/s
2026-01-30 07:00:00,3.48 kB/s
2026-01-30 07:04:00,3.49 kB/s
2026-01-30 07:08:00,3.64 kB/s
2026-01-30 07:12:00,3.46 kB/s
2026-01-30 07:16:00,3.40 kB/s
2026-01-30 07:20:00,3.55 kB/s
2026-01-30 07:24:00,3.64 kB/s
2026-01-30 07:28:00,3.81 kB/s
2026-01-30 07:32:00,8.67 kB/s
2026-01-30 07:36:00,8.69 kB/s
2026-01-30 07:40:00,8.69 kB/s
2026-01-30 07:44:00,8.86 kB/s
2026-01-30 07:48:00,8.83 kB/s
2026-01-30 07:52:00,8.71 kB/s
2026-01-30 07:56:00,8.84 kB/s
2026-01-30 08:00:00,172 kB/s
2026-01-30 08:04:00,172 kB/s
2026-01-30 08:08:00,172 kB/s
2026-01-30 08:12:00,172 kB/s
2026-01-30 08:16:00,172 kB/s
2026-01-30 08:20:00,172 kB/s
2026-01-30 08:24:00,172 kB/s
2026-01-30 08:28:00,63.2 kB/s
2026-01-30 08:32:00,3.65 kB/s
2026-01-30 08:36:00,3.77 kB/s
2026-01-30 08:40:00,3.64 kB/s
2026-01-30 08:44:00,3.57 kB/s
2026-01-30 08:48:00,3.47 kB/s
2026-01-30 08:52:00,3.58 kB/s
2026-01-30 08:56:00,3.65 kB/s
2026-01-30 09:00:00,3.66 kB/s
2026-01-30 09:04:00,3.54 kB/s
2026-01-30 09:08:00,3.65 kB/s
2026-01-30 09:12:00,3.85 kB/s
2026-01-30 09:16:00,3.96 kB/s
2026-01-30 09:20:00,3.99 kB/s
2026-01-30 09:24:00,4.11 kB/s
2026-01-30 09:28:00,4.24 kB/s
2026-01-30 09:32:00,4.09 kB/s
2026-01-30 09:36:00,4.13 kB/s
2026-01-30 09:40:00,4.11 kB/s
2026-01-30 09:44:00,4.15 kB/s
2026-01-30 09:48:00,4.26 kB/s
2026-01-30 09:52:00,56.6 kB/s
2026-01-30 09:56:00,56.5 kB/s
2026-01-30 10:00:00,56.5 kB/s
2026-01-30 10:04:00,56.4 kB/s
2026-01-30 10:08:00,56.2 kB/s
2026-01-30 10:12:00,56.2 kB/s
2026-01-30 10:16:00,56.0 kB/s
2026-01-30 10:20:00,56.0 kB/s
2026-01-30 10:24:00,3.56 kB/s
2026-01-30 10:28:00,3.64 kB/s
2026-01-30 10:32:00,3.76 kB/s
2026-01-30 10:36:00,3.66 kB/s
2026-01-30 10:40:00,3.77 kB/s
2026-01-30 10:44:00,3.74 kB/s
2026-01-30 10:48:00,3.86 kB/s
2026-01-30 10:52:00,3.90 kB/s
2026-01-30 10:56:00,3.75 kB/s
2026-01-30 11:00:00,3.79 kB/s
2026-01-30 11:04:00,3.87 kB/s
2026-01-30 11:08:00,4.02 kB/s
2026-01-30 11:12:00,3.79 kB/s
2026-01-30 11:16:00,3.98 kB/s
2026-01-30 11:20:00,3.86 kB/s
2026-01-30 11:24:00,3.80 kB/s
2026-01-30 11:28:00,3.82 kB/s
2026-01-30 11:32:00,3.72 kB/s
2026-01-30 11:36:00,3.58 kB/s
2026-01-30 11:40:00,3.54 kB/s
2026-01-30 11:44:00,3.67 kB/s
2026-01-30 11:48:00,3.43 kB/s
2026-01-30 11:52:00,3.50 kB/s
2026-01-30 11:56:00,205 kB/s
2026-01-30 12:00:00,1.53 MB/s
2026-01-30 12:04:00,1.59 MB/s
2026-01-30 12:08:00,1.60 MB/s
2026-01-30 12:12:00,1.60 MB/s
2026-01-30 12:16:00,1.60 MB/s
2026-01-30 12:20:00,1.60 MB/s
2026-01-30 12:24:00,1.60 MB/s
2026-01-30 12:28:00,66.6 kB/s
2026-01-30 12:32:00,66.5 kB/s
2026-01-30 12:36:00,3.44 kB/s
2026-01-30 12:40:00,3.58 kB/s
2026-01-30 12:44:00,3.59 kB/s
2026-01-30 12:48:00,3.70 kB/s
2026-01-30 12:52:00,3.72 kB/s
2026-01-30 12:56:00,3.69 kB/s
2026-01-30 13:00:00,3.76 kB/s
2026-01-30 13:04:00,3.86 kB/s
2026-01-30 13:08:00,3.99 kB/s
2026-01-30 13:12:00,4.03 kB/s
2026-01-30 13:16:00,4.06 kB/s
2026-01-30 13:20:00,4.03 kB/s
2026-01-30 13:24:00,4.13 kB/s
2026-01-30 13:28:00,4.00 kB/s
2026-01-30 13:32:00,4.02 kB/s
2026-01-30 13:36:00,3.94 kB/s
2026-01-30 13:40:00,3.80 kB/s
2026-01-30 13:44:00,3.75 kB/s
2026-01-30 13:48:00,3.76 kB/s
2026-01-30 13:52:00,3.81 kB/s
2026-01-30 13:56:00,4.03 kB/s
2026-01-30 14:00:00,3.77 kB/s
2026-01-30 14:04:00,61.0 kB/s
2026-01-30 14:08:00,61.1 kB/s
2026-01-30 14:12:00,61.1 kB/s
2026-01-30 14:16:00,61.0 kB/s
2026-01-30 14:20:00,61.1 kB/s
2026-01-30 14:24:00,60.9 kB/s
2026-01-30 14:28:00,60.9 kB/s
2026-01-30 14:32:00,3.66 kB/s
2026-01-30 14:36:00,3.52 kB/s
2026-01-30 14:40:00,3.50 kB/s
2026-01-30 14:44:00,3.26 kB/s
2026-01-30 14:48:00,3.29 kB/s
2026-01-30 14:52:00,3.48 kB/s
2026-01-30 14:56:00,3.59 kB/s
2026-01-30 15:00:00,3.74 kB/s
2026-01-30 15:04:00,4.01 kB/s
2026-01-30 15:08:00,4.10 kB/s
2026-01-30 15:12:00,4.09 kB/s
2026-01-30 15:16:00,3.95 kB/s
2026-01-30 15:20:00,3.90 kB/s
2026-01-30 15:24:00,3.83 kB/s
2026-01-30 15:28:00,3.44 kB/s
2026-01-30 15:32:00,3.34 kB/s
2026-01-30 15:36:00,3.35 kB/s
