Time,"job=""promtail""","container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-02-23 18:39:53,0,0
2026-02-23 18:40:23,0,0
2026-02-23 18:40:53,0.167239,0.0049187941176470585
2026-02-23 18:41:23,1.522669,0.30715697959183674
2026-02-23 18:41:53,1.522669,0.592042609375
2026-02-23 18:42:23,1.522669,0.7687438227848101
2026-02-23 18:42:53,1.522669,0.8890510319148937
2026-02-23 18:43:23,1.522669,0.9762461651376148
2026-02-23 18:43:53,0,0.8581518709677419
2026-02-23 18:44:23,1.522669,0.8531811798561152
2026-02-23 18:44:53,1.522669,0.8738974577922078
2026-02-23 18:45:23,0,0.8639066627218935
2026-02-23 18:45:53,0,0.8514071141304348
2026-02-23 18:46:23,4.568007,1.0512110025125627
2026-02-23 18:46:53,4.568007,1.2977153948598132
2026-02-23 18:47:23,4.568007,1.511926635371179
2026-02-23 18:47:53,4.707372833333333,1.7011712397540986
2026-02-23 18:48:23,1.522669,1.802534859073359
2026-02-23 18:48:53,1.522669,1.78721373540146
2026-02-23 18:49:23,1.522669,1.7734830397923875
2026-02-23 18:49:53,1.522669,1.7611073470394738
2026-02-23 18:50:23,0,1.7475088840125392
2026-02-23 18:50:53,0,1.6941018368263472
2026-02-23 18:51:23,1.522669,1.6300153338108883
2026-02-23 18:51:53,0,1.5649359505494504
2026-02-23 18:52:23,1.522669,1.551210327176781
2026-02-23 18:52:53,0,1.5037480228426396
2026-02-23 18:53:23,0.2537781666666667,1.4485983398533007
2026-02-23 18:53:53,0.2537781666666667,1.3973507570754717
2026-02-23 18:54:23,0,1.3496052870159454
2026-02-23 18:54:53,0,1.3050148039647576
2026-02-23 18:55:23,0,1.2632765906183367
2026-02-23 18:55:53,0,1.2241254566115702
2026-02-23 18:56:23,0,1.187328098196393
2026-02-23 18:56:53,0,1.1526784455252919
2026-02-23 18:57:23,0,1.1199938015122872
2026-02-23 18:57:53,7,1.1101039255514706
2026-02-23 18:58:23,7,1.2681512262969588
2026-02-23 18:58:53,7,1.4179382151567945
2026-02-23 18:59:23,7,1.5600959855687606
2026-02-23 18:59:53,0,1.6488353236754967
2026-02-23 19:00:23,0,1.6088797019386107
2026-02-23 19:00:53,0,1.570814724763407
2026-02-23 19:01:23,0,1.5345092996918335
2026-02-23 19:01:53,7,1.5420128546686747
2026-02-23 19:02:23,7,1.6625869447717232
2026-02-23 19:02:53,7,1.7779488984149856
2026-02-23 19:03:23,7,1.8884295282087447
2026-02-23 19:03:53,7,1.9943322313535912
2026-02-23 19:04:23,7,2.0959357719891747
2026-02-23 19:04:53,0,2.1053004449602124
2026-02-23 19:05:23,0,2.064234766579974
2026-02-23 19:05:53,0,2.0247404789540817
2026-02-23 19:06:23,0,1.9867290807259073
2026-02-23 19:06:53,0,1.950118593980344
2026-02-23 19:07:23,0,1.9148329740651386
2026-02-23 19:07:53,7,1.9554461321090049
2026-02-23 19:08:23,7,2.0435349656577415
2026-02-23 19:08:53,7,2.128600155034325
2026-02-23 19:09:23,7,2.210794753093363
2026-02-23 19:09:53,7,2.3004405950000004
2026-02-23 19:10:23,7,2.4171072616666667
2026-02-23 19:10:53,7,2.533588107222222
2026-02-23 19:11:23,7,2.633717603888889
2026-02-23 19:11:53,7,2.7250064538888887
