Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-miner3""","name=""rskj-miner4""","name=""rskj-node1""","name=""rskj-node2"""
2026-02-23 18:39:53,-0,-0,-0,-0,-0,-0
2026-02-23 18:40:23,-9566.51724137931,-9579.793103448275,-9379.172413793103,-9191.034482758621,-9084,-9272.068965517241
2026-02-23 18:40:53,-9705.51724137931,-10311.344827586207,-10011.034482758621,-9843.172413793103,-9599.206896551725,-9777.206896551725
2026-02-23 18:41:23,-17687.678885478806,-12824.649125831924,-12207.420945549844,-12477.223352529396,-12339.666885065,-12311.321080037242
2026-02-23 18:41:53,-17192.027861108236,-13163.925381883382,-11643.046791489947,-12318.747629392088,-12150.236198751765,-11622.185441881313
2026-02-23 18:42:23,-14809.68309252043,-10414.048760302077,-9862.85733990827,-10265.905720886925,-10283.664953963927,-9706.196765405703
2026-02-23 18:42:53,-16321,-11032.965517241379,-10343.689655172413,-10728,-10714.275862068966,-10195.034482758621
2026-02-23 18:43:23,-16386.310344827587,-9969.724137931034,-9916.344827586207,-10479.379310344828,-10297.310344827587,-9746.379310344828
2026-02-23 18:43:53,-18649.64309114107,-10663.229766543673,-10043.346322286974,-10651.5397082658,-10566.91610055519,-10076.140556570916
2026-02-23 18:44:23,-15956.620689655172,-10237,-9785.58620689655,-10236.241379310344,-10191.689655172413,-9670.896551724138
2026-02-23 18:44:53,-16582.439562713385,-10840.155878194295,-10238.059109563057,-10814.049729282338,-10683.79487533193,-10084.11214953271
2026-02-23 18:45:23,-16810.57314297538,-10764.018208152289,-10067.280502103595,-10368.956479757226,-10309.986895647977,-9791.158010897305
2026-02-23 18:45:53,-17804.73087134926,-10257.163546084617,-10344.677769732078,-10624.185372918175,-10586.393572635425,-10027.99903451605
2026-02-23 18:46:23,-20966.344827586207,-14485.689655172413,-13459.48275862069,-14063.137931034482,-13846.379310344828,-13377.275862068966
2026-02-23 18:46:53,-18633.275862068964,-10387.51724137931,-9830.206896551725,-10398.379310344828,-10322.206896551725,-9502.689655172413
2026-02-23 18:47:23,-18505.206896551725,-11202.896551724138,-10705.068965517241,-10990.172413793103,-10823.448275862069,-10573.51724137931
2026-02-23 18:47:53,-12312.310344827585,-10469.413793103447,-10637.275862068966,-11175.655172413793,-10780.172413793103,-10194.827586206897
2026-02-23 18:48:23,-17001.20693817028,-13232.249387909926,-11921.549018931686,-12515.052243180797,-12377.668195455013,-11861.546949894822
2026-02-23 18:48:53,-17287.906479533776,-12642.81526949205,-11840.132418359251,-11827.959584813269,-12092.589399634468,-11471.188661677987
2026-02-23 18:49:23,-15419.738611676263,-10862.133177006102,-10493.430807958894,-11111.52108693403,-10680.851063829785,-10097.727507845097
2026-02-23 18:49:53,-17110.03448275862,-10701.137931034482,-10748.965517241379,-10957.827586206897,-10932.413793103447,-10402.931034482759
2026-02-23 18:50:23,-18306.275862068964,-10943.344827586207,-10246.310344827587,-10681.034482758621,-10457.103448275862,-9874.551724137931
2026-02-23 18:50:53,-17102.489826884612,-10304.296848058486,-10551.072487757776,-10823.574039588937,-10678.357128077798,-10108.041933926477
2026-02-23 18:51:23,-13705.492914037446,-10251.301679252438,-9708.113513327125,-10535.084997069065,-10219.544153649873,-9681.424778455914
2026-02-23 18:51:53,-10437.325425014655,-11067.967860960722,-10135.108107176107,-10735.6805407083,-10535.535708127865,-9702.127659574468
2026-02-23 18:52:23,-21674.206896551725,-10245.206896551725,-9697.413793103447,-10209.931034482759,-10179.068965517241,-9686.344827586207
2026-02-23 18:52:53,-13203.931034482759,-10590.655172413793,-9917.724137931034,-10599.48275862069,-10435.758620689656,-10181.931034482759
2026-02-23 18:53:23,-12632.895236124046,-10167.304839766808,-9606.540411880367,-10190.175583842147,-9774.259201766186,-9611.128359032737
2026-02-23 18:53:53,-13920.834770610552,-11205.243187305965,-10388.961710934804,-10919.31700586409,-10950.948602966539,-10096.65401862711
2026-02-23 18:54:23,-13507.690185530038,-10334.50582798814,-10076.625974205119,-10433.340230360716,-10256.810814538936,-9653.182978136425
2026-02-23 18:54:53,-13556.15710886582,-10819.235146039517,-10130.142418704092,-10566.881616607468,-10191.55832959757,-9962.171109348597
2026-02-23 18:55:23,-13310.344827586207,-10168,-9870.655172413793,-10497.310344827587,-10621.172413793103,-9721.58620689655
2026-02-23 18:55:53,-13700.496585971448,-11296.02041520105,-10070.59107524657,-10867.19773777502,-10562.24567211532,-10002.8622663632
2026-02-23 18:56:23,-13187.903031139003,-10405.600193110105,-9773.5094313597,-10551.501775923307,-9925.169833442531,-9720.300700024138
2026-02-23 18:56:53,-13560.758620689656,-10667.413793103447,-10158.862068965516,-10571.51724137931,-10846.448275862069,-9969.965517241379
2026-02-23 18:57:23,-13414.66947136108,-9941.791096244697,-9771.44039449636,-10317.045415359149,-10296.906789889304,-9703.748405117416
2026-02-23 18:57:53,-15175.223252766957,-11434.506775161191,-10803.91683618936,-10989.552804882254,-10946.453815122575,-10409.474881908769
2026-02-23 18:58:23,-14931.411427980272,-10987.240939342735,-10166.350563812544,-10753.85358115797,-10669.264457395082,-9754.405324321528
2026-02-23 18:58:53,-14673.931034482759,-10713.137931034482,-9794.827586206897,-10777.206896551725,-10723.758620689656,-10418.103448275862
2026-02-23 18:59:23,-14452.896551724138,-10803.51724137931,-10580.689655172413,-10511.310344827587,-10459.827586206897,-9820.758620689656
2026-02-23 18:59:53,-14026.414703955306,-10788.027173350803,-10014.79361357288,-10616.193661850408,-10600.986240904856,-9994.41360046898
2026-02-23 19:00:23,-15326.401820815228,-10548.210221394578,-9972.687771570452,-10888.164701013862,-10340.954548589558,-9792.606386647354
2026-02-23 19:00:53,-14548.241379310344,-10676.620689655172,-9972.655172413793,-10711.58620689655,-10490.689655172413,-9913.862068965516
2026-02-23 19:01:23,-14589.971722187736,-10591.902889854473,-9868.784054072694,-10334.229946892889,-10262.397406717704,-9684.254086488723
2026-02-23 19:01:53,-15816.413793103447,-11292.724137931034,-9802.344827586207,-10861.48275862069,-10611.241379310344,-10052.241379310344
2026-02-23 19:02:23,-14037.346115383287,-10204.66222973206,-9967.24024966378,-10270.423118038552,-10222.524914652227,-9611.641780751059
2026-02-23 19:02:53,-16125.581876487016,-11364.539153822281,-10803.524016413226,-11390.331367883864,-11367.50456880797,-10752.560256542876
2026-02-23 19:03:23,-16595,-11383.172413793103,-10943.689655172413,-11235.068965517241,-11146.137931034482,-10552.827586206897
2026-02-23 19:03:53,-16526.827586206895,-11341.793103448275,-10376.206896551725,-10982.103448275862,-10953.758620689656,-10364.379310344828
2026-02-23 19:04:23,-15876.512983206316,-10738.473740473808,-10008.034759819302,-10611.021069692057,-10589.606538156486,-9971.826614710852
2026-02-23 19:04:53,-15347.965517241379,-10608.206896551725,-10120.275862068966,-10789.620689655172,-10578.51724137931,-9977.413793103447
2026-02-23 19:05:23,-14994.76649221641,-9971.732391079704,-9673.955798526618,-10145.304843494785,-9998.233274442482,-9426.114203806794
2026-02-23 19:05:53,-15105.310344827585,-10864.103448275862,-9958.827586206897,-10528.241379310344,-10517.965517241379,-9966.931034482759
2026-02-23 19:06:23,-15078.724137931034,-10408.275862068966,-9666.551724137931,-10429.931034482759,-10271.206896551725,-9649.068965517241
2026-02-23 19:06:53,-15170.862068965516,-10452.241379310344,-9887.931034482759,-10478.172413793103,-10461.655172413793,-9865.965517241379
2026-02-23 19:07:23,-15892.451984414329,-10478.67314920175,-10019.585531533394,-10239.474500879278,-10290.231371332022,-9717.044239853796
2026-02-23 19:07:53,-19868.236835752956,-12333.080451050035,-11347.356805407082,-12471.223145625709,-12284.458084761542,-11677.23024931894
2026-02-23 19:08:23,-18440.639977931798,-11156.132547153547,-11347.36733216096,-11202.613702975761,-11149.684493638151,-10551.980966173582
