Time,"__name__=""dockerstats_memory_usage_bytes"",id=""17ef20308244"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""5908e1cf1196"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""65ccd0dfcf1e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""a05a8b036732"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""b12444cde5cc"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""da1eba265bff"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4"""
2026-03-09 18:47:08,3823202304,5085589504,3986014208,4293656576,4246016000,4231380992
2026-03-09 18:47:38,3823636480,5092782080,3990691840,4294217728,4250365952,4235333632
2026-03-09 18:48:08,3824652288,5121392640,4011192320,4294258688,4263563264,4247965696
2026-03-09 18:48:38,3825123328,5138104320,4025925632,4293627904,4270313472,4254191616
2026-03-09 18:49:08,3827908608,5148475392,4031672320,4294066176,4273827840,4257456128
2026-03-09 18:49:38,3836907520,5087920128,4005945344,4205666304,4187762688,4066820096
2026-03-09 18:50:08,3837145088,5106573312,4013256704,4206440448,4192477184,4070985728
2026-03-09 18:50:38,3838472192,5117599744,4018692096,4208422912,4197904384,4075827200
2026-03-09 18:51:08,3844796416,5123063808,4019097600,4209917952,4200443904,4078448640
2026-03-09 18:51:38,3849461760,5134516224,4028153856,4212248576,4210335744,4086853632
2026-03-09 18:52:08,3855806464,5144748032,4039229440,4214128640,4216909824,4092878848
2026-03-09 18:52:38,3859472384,5162049536,4049485824,4218736640,4222849024,4097269760
2026-03-09 18:53:08,3862720512,5182214144,4052611072,4221145088,4227735552,4101349376
2026-03-09 18:53:38,3863011328,5105647616,4060012544,4221382656,4230975488,4104552448
