Time,"__name__=""dockerstats_memory_usage_bytes"",id=""5e51ee779f04"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""78bb6fdbffd9"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""9114ecda00bc"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""a359a3890308"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""b19bddbe4e90"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""fb3e23526bb9"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4"""
2026-02-23 17:10:15,1310519296,1211633664,2515382272,2434473984,1267634176,1243217920
2026-02-23 17:10:45,1311698944,1211686912,2515451904,2434588672,1267699712,1243275264
2026-02-23 17:11:15,1312772096,1211719680,2515496960,2436706304,1267736576,1243566080
2026-02-23 17:11:45,1314918400,1211744256,2515656704,2436767744,1267924992,1243471872
2026-02-23 17:12:15,1317253120,1211764736,2515902464,2436808704,1268428800,1245794304
2026-02-23 17:12:45,1319526400,1211777024,2515972096,2437074944,1268264960,1245880320
2026-02-23 17:13:15,1321897984,1211817984,2516267008,2436853760,1268490240,1246093312
2026-02-23 17:13:45,1324490752,1211887616,2516463616,2436919296,1268785152,1246334976
2026-02-23 17:14:15,1326600192,1211957248,2516598784,2436968448,1268912128,1246470144
2026-02-23 17:14:45,1330724864,1211985920,2516660224,2436997120,1268969472,1246515200
2026-02-23 17:15:15,1333329920,1212006400,2516738048,2437009408,1268985856,1246539776
2026-02-23 17:15:45,1335300096,1212088320,2516815872,2437095424,1269022720,1246572544
2026-02-23 17:16:15,1337397248,1212174336,2516848640,2437111808,1269043200,1246584832
2026-02-23 17:16:45,1342144512,1212186624,2517000192,2437115904,1271234560,1246683136
2026-02-23 17:17:15,1346985984,1214324736,2519273472,2437160960,1271451648,1246887936
2026-02-23 17:17:45,1350561792,1214337024,2519535616,2437181440,1271513088,1246932992
2026-02-23 17:18:15,1357602816,1214455808,2519523328,2437468160,1271918592,1247387648
2026-02-23 17:18:45,1362739200,1214676992,2519715840,2437255168,1271803904,1249476608
2026-02-23 17:19:15,1365811200,1214734336,2519887872,2437283840,1271922688,1249570816
2026-02-23 17:19:45,1370710016,1214820352,2520084480,2437337088,1272037376,1249771520
2026-02-23 17:20:15,1377480704,1215746048,2520920064,2437378048,1274245120,1250566144
2026-02-23 17:20:45,1382014976,1215791104,2520961024,2437419008,1274363904,1250607104
2026-02-23 17:21:15,1386369024,1215799296,2521231360,2437685248,1274494976,1250684928
2026-02-23 17:21:45,1394376704,1215844352,2521190400,2437533696,1274880000,1251168256
2026-02-23 17:22:15,1406091264,1215942656,2523693056,2437632000,1277054976,1253277696
2026-02-23 17:22:45,1413480448,1215967232,2523824128,2439770112,1277153280,1253388288
2026-02-23 17:23:15,1422028800,1216249856,2524172288,2439827456,1277693952,1253601280
2026-02-23 17:23:45,1327366144,1216299008,2524307456,2439876608,1279705088,1253789696
2026-02-23 17:24:15,1335222272,1216323584,2524381184,2440159232,1279778816,1253838848
2026-02-23 17:24:45,1343094784,1216339968,2524405760,2439925760,1279823872,1253871616
2026-02-23 17:25:15,1351716864,1216380928,2524467200,2439958528,1279889408,1253924864
2026-02-23 17:25:45,1362038784,1218519040,2524614656,2439995392,1279959040,1253998592
2026-02-23 17:26:15,1372987392,1218543616,2524725248,2440015872,1279991808,1254064128
2026-02-23 17:26:45,1388269568,1218576384,2524880896,2440048640,1280118784,1256312832
2026-02-23 17:27:15,1404854272,1218613248,2525032448,2440085504,1280204800,1256427520
2026-02-23 17:27:45,1419755520,1218678784,2527285248,2440159232,1282748416,1256632320
