Time,Series_A
2026-02-12 14:38:49,0.14883340243200732
2026-02-12 14:39:19,0.1488414225582819
2026-02-12 14:39:49,0.14885285679372623
2026-02-12 14:40:19,0.14887924038293174
2026-02-12 14:40:49,0.1489362600464329
2026-02-12 14:41:19,0.14898260304309247
2026-02-12 14:41:49,0.14903731969804124
2026-02-12 14:42:19,0.14908446066696238
2026-02-12 14:42:49,0.1489928251687724
2026-02-12 14:43:19,0.14904322873314277
2026-02-12 14:43:49,0.14909314745360738
2026-02-12 14:44:19,0.14913996519325803
2026-02-12 14:44:49,0.1491891667487787
2026-02-12 14:45:19,0.14924226725737488
2026-02-12 14:45:49,0.14925842872090048
2026-02-12 14:46:19,0.14929990307667296
2026-02-12 14:46:49,0.1493565793090742
2026-02-12 14:47:19,0.1494032960395778
2026-02-12 14:47:49,0.149356518703586
2026-02-12 14:48:19,0.14941182121158755
2026-02-12 14:48:49,0.14946192174851683
2026-02-12 14:49:19,0.1495236181355257
2026-02-12 14:49:49,0.14957014294864993
2026-02-12 14:50:19,0.1504507103897554
2026-02-12 14:50:49,0.1503334690727921
2026-02-12 14:51:19,0.1503529739390845
2026-02-12 14:51:49,0.1503627617254322
2026-02-12 14:52:19,0.15037739795083754
2026-02-12 14:52:49,0.15025935866161264
2026-02-12 14:53:19,0.15026608587080517
2026-02-12 14:53:49,0.1502748938684266
2026-02-12 14:54:19,0.15029592397283925
2026-02-12 14:54:49,0.1503042067228961
2026-02-12 14:55:19,0.1503114591796532
2026-02-12 14:55:49,0.15031688337084897
2026-02-12 14:56:19,0.1503216004980155
2026-02-12 14:56:49,0.15035890317601547
2026-02-12 14:57:19,0.15044119532810474
2026-02-12 14:57:49,0.15016370299937065
2026-02-12 14:58:19,0.15020227839262326
2026-02-12 14:58:49,0.15027206561230963
2026-02-12 14:59:19,0.15033885286032905
2026-02-12 14:59:49,0.15038926652561413
2026-02-12 15:00:19,0.14960815269067915
2026-02-12 15:00:49,0.14965743505351742
2026-02-12 15:01:19,0.14971078808498123
2026-02-12 15:01:49,0.14973384847324928
2026-02-12 15:02:19,0.14978017126807944
2026-02-12 15:02:49,0.14975750481548483
2026-02-12 15:03:19,0.1497992114922955
2026-02-12 15:03:49,0.1498575240728787
2026-02-12 15:04:19,0.14991109932446597
2026-02-12 15:04:49,0.14996564426386477
2026-02-12 15:05:19,0.1500086640595869
2026-02-12 15:05:49,0.1500590979267014
2026-02-12 15:06:19,0.1501141681136648
2026-02-12 15:06:49,0.15017387462047707
2026-02-12 15:07:19,0.15019972286120328
2026-02-12 15:07:49,0.15010070359436503
2026-02-12 15:08:19,0.15015853133104248
2026-02-12 15:08:49,0.15021695502168741
2026-02-12 15:09:19,0.15027456053824137
2026-02-12 15:09:49,0.1503488628668002
2026-02-12 15:10:19,0.15040235731106985
2026-02-12 15:10:49,0.15046124564379115
2026-02-12 15:11:19,0.150259823303689
2026-02-12 15:11:49,0.1503163177196256
2026-02-12 15:12:19,0.15037912520725183
2026-02-12 15:12:49,0.15030267138386116
2026-02-12 15:13:19,0.15048532622444424
2026-02-12 15:13:49,0.15100834148687586
2026-02-12 15:14:19,0.15107889637607969
2026-02-12 15:14:49,0.1511282595462356
2026-02-12 15:15:19,0.1511816832841023
2026-02-12 15:15:49,0.15124217766226147
2026-02-12 15:16:19,0.15180805110577997
2026-02-12 15:16:49,0.15185915163326488
2026-02-12 15:17:19,0.15192696917458406
2026-02-12 15:17:49,0.15185158604815197
2026-02-12 15:18:19,0.15191211072905522
2026-02-12 15:18:49,0.15193024187094797
2026-02-12 15:19:19,0.15198839283689594
2026-02-12 15:19:49,0.15205804874469114
2026-02-12 15:20:19,0.15211793706796808
2026-02-12 15:20:49,0.15215928011184945
2026-02-12 15:21:19,0.15221645128907116
2026-02-12 15:21:49,0.1522675821193002
2026-02-12 15:22:19,0.1523151675284683
2026-02-12 15:22:49,0.15222076437964954
2026-02-12 15:23:19,0.15227184470530505
2026-02-12 15:23:49,0.15231653115195326
2026-02-12 15:24:19,0.15232833912124163
2026-02-12 15:24:49,0.15233964204479483
2026-02-12 15:25:19,0.1521478357754904
2026-02-12 15:25:49,0.1522012595133571
2026-02-12 15:26:19,0.15224889542709874
2026-02-12 15:26:49,0.15229096573683876
2026-02-12 15:27:19,0.1523421975762148
2026-02-12 15:27:49,0.152266157890327
2026-02-12 15:28:19,0.15232020788490533
2026-02-12 15:28:49,0.15237534877827164
2026-02-12 15:29:19,0.15243918655919764
2026-02-12 15:29:49,0.15248213564851684
2026-02-12 15:30:19,0.1524932668565201
2026-02-12 15:30:49,0.15250767076088725
2026-02-12 15:31:19,0.15251514543776784
2026-02-12 15:31:49,0.15255584202310818
2026-02-12 15:32:19,0.15260558902802282
2026-02-12 15:32:49,0.15254309466875238
2026-02-12 15:33:19,0.15260107391915037
2026-02-12 15:33:49,0.15264577046671327
2026-02-12 15:34:19,0.15269587100364254
2026-02-12 15:34:49,0.1527462442652688
2026-02-12 15:35:19,0.15280109223210872
2026-02-12 15:35:49,0.15285597050169272
2026-02-12 15:36:19,0.1529138083392849
2026-02-12 15:36:49,0.152935707122362
2026-02-12 15:37:19,0.15297058558083315
