"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-10 13:44:00,43.9 KiB/s,11.4 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 13:45:00,40.2 KiB/s,10.9 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 13:46:00,40.5 KiB/s,11.4 KiB/s,11.2 KiB/s,11.3 KiB/s
2026-02-10 13:47:00,39.8 KiB/s,10.7 KiB/s,9.99 KiB/s,10.6 KiB/s
2026-02-10 13:48:00,40.6 KiB/s,10.7 KiB/s,10.7 KiB/s,10.4 KiB/s
2026-02-10 13:49:00,40.5 KiB/s,10.7 KiB/s,10.7 KiB/s,10.4 KiB/s
2026-02-10 13:50:00,45.5 KiB/s,10.7 KiB/s,10.8 KiB/s,10.4 KiB/s
2026-02-10 13:51:00,39.3 KiB/s,10.3 KiB/s,10.5 KiB/s,9.95 KiB/s
2026-02-10 13:52:00,39.8 KiB/s,10.9 KiB/s,11.6 KiB/s,10.5 KiB/s
2026-02-10 13:53:00,39.7 KiB/s,11.6 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 13:54:00,39.7 KiB/s,11.5 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 13:55:00,39.7 KiB/s,11.5 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 13:56:00,45.2 KiB/s,11.4 KiB/s,11.4 KiB/s,11.2 KiB/s
2026-02-10 13:57:00,38.6 KiB/s,11.0 KiB/s,11.0 KiB/s,10.8 KiB/s
2026-02-10 13:58:00,38.4 KiB/s,10.8 KiB/s,10.8 KiB/s,10.6 KiB/s
2026-02-10 13:59:00,38.5 KiB/s,10.8 KiB/s,10.9 KiB/s,10.8 KiB/s
2026-02-10 14:00:00,39.1 KiB/s,11.4 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 14:01:00,39.5 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 14:02:00,45.1 KiB/s,11.3 KiB/s,11.3 KiB/s,11.2 KiB/s
2026-02-10 14:03:00,38.0 KiB/s,10.9 KiB/s,10.9 KiB/s,10.7 KiB/s
2026-02-10 14:04:00,33.3 KiB/s,11.5 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 14:05:00,32.8 KiB/s,11.0 KiB/s,11.0 KiB/s,10.9 KiB/s
2026-02-10 14:06:00,32.6 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 14:07:00,33.8 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 14:08:00,40.5 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 14:09:00,43.7 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 14:10:00,41.3 KiB/s,10.7 KiB/s,10.8 KiB/s,10.6 KiB/s
2026-02-10 14:11:00,42.0 KiB/s,11.3 KiB/s,11.3 KiB/s,11.1 KiB/s
2026-02-10 14:12:00,41.3 KiB/s,10.6 KiB/s,10.6 KiB/s,10.5 KiB/s
2026-02-10 14:13:00,42.0 KiB/s,11.3 KiB/s,11.2 KiB/s,11.2 KiB/s
2026-02-10 14:14:00,43.6 KiB/s,11.6 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 14:15:00,44.4 KiB/s,12.1 KiB/s,12.0 KiB/s,11.9 KiB/s
2026-02-10 14:16:00,43.8 KiB/s,11.6 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 14:17:00,43.8 KiB/s,11.7 KiB/s,11.7 KiB/s,11.5 KiB/s
2026-02-10 14:18:00,43.5 KiB/s,11.4 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 14:19:00,43.3 KiB/s,11.1 KiB/s,11.2 KiB/s,11.1 KiB/s
2026-02-10 14:20:00,42.7 KiB/s,10.7 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 14:21:00,41.6 KiB/s,11.2 KiB/s,11.4 KiB/s,11.2 KiB/s
2026-02-10 14:22:00,41.6 KiB/s,11.2 KiB/s,11.4 KiB/s,11.2 KiB/s
2026-02-10 14:23:00,41.3 KiB/s,11.0 KiB/s,11.0 KiB/s,10.9 KiB/s
2026-02-10 14:24:00,41.8 KiB/s,11.6 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 14:25:00,44.3 KiB/s,11.7 KiB/s,11.7 KiB/s,11.5 KiB/s
2026-02-10 14:26:00,40.4 KiB/s,11.2 KiB/s,11.1 KiB/s,11.0 KiB/s
2026-02-10 14:27:00,35.7 KiB/s,11.9 KiB/s,11.8 KiB/s,11.7 KiB/s
2026-02-10 14:28:00,35.7 KiB/s,11.8 KiB/s,11.8 KiB/s,11.6 KiB/s
2026-02-10 14:29:00,35.1 KiB/s,11.1 KiB/s,11.2 KiB/s,11.0 KiB/s
2026-02-10 14:30:00,35.5 KiB/s,11.6 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 14:31:00,40.5 KiB/s,11.6 KiB/s,11.7 KiB/s,11.5 KiB/s
2026-02-10 14:32:00,43.8 KiB/s,10.8 KiB/s,10.9 KiB/s,10.7 KiB/s
2026-02-10 14:33:00,43.7 KiB/s,11.3 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 14:34:00,43.8 KiB/s,11.4 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 14:35:00,43.1 KiB/s,10.8 KiB/s,10.8 KiB/s,10.8 KiB/s
2026-02-10 14:36:00,43.7 KiB/s,11.4 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 14:37:00,45.1 KiB/s,11.4 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 14:38:00,42.8 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 14:39:00,42.7 KiB/s,11.4 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 14:40:00,43.3 KiB/s,11.9 KiB/s,12.0 KiB/s,11.8 KiB/s
2026-02-10 14:41:00,42.8 KiB/s,11.5 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 14:42:00,42.8 KiB/s,11.6 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 14:43:00,43.9 KiB/s,11.6 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 14:44:00,44.6 KiB/s,12.3 KiB/s,12.3 KiB/s,12.1 KiB/s
2026-02-10 14:45:00,44.2 KiB/s,11.8 KiB/s,11.9 KiB/s,11.7 KiB/s
2026-02-10 14:46:00,44.7 KiB/s,12.3 KiB/s,12.4 KiB/s,12.2 KiB/s
2026-02-10 14:47:00,44.8 KiB/s,12.4 KiB/s,12.5 KiB/s,12.3 KiB/s
2026-02-10 14:48:00,45.6 KiB/s,12.4 KiB/s,12.5 KiB/s,12.3 KiB/s
2026-02-10 14:49:00,38.1 KiB/s,11.6 KiB/s,11.7 KiB/s,11.6 KiB/s
2026-02-10 14:50:00,31.2 KiB/s,11.5 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 14:51:00,23.8 KiB/s,10.7 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 14:52:00,16.9 KiB/s,10.7 KiB/s,10.7 KiB/s,10.6 KiB/s
2026-02-10 14:53:00,13.3 KiB/s,10.8 KiB/s,10.7 KiB/s,10.7 KiB/s
2026-02-10 14:54:00,20.0 KiB/s,10.8 KiB/s,10.7 KiB/s,10.7 KiB/s
2026-02-10 14:55:00,26.9 KiB/s,10.9 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 14:56:00,34.3 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 14:57:00,41.7 KiB/s,12.2 KiB/s,12.2 KiB/s,12.1 KiB/s
2026-02-10 14:58:00,44.0 KiB/s,11.5 KiB/s,11.4 KiB/s,11.4 KiB/s
2026-02-10 14:59:00,40.5 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 15:00:00,41.1 KiB/s,12.2 KiB/s,12.2 KiB/s,12.1 KiB/s
2026-02-10 15:01:00,40.4 KiB/s,11.5 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 15:02:00,39.7 KiB/s,10.9 KiB/s,10.9 KiB/s,10.7 KiB/s
2026-02-10 15:03:00,42.3 KiB/s,11.6 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 15:04:00,44.3 KiB/s,11.6 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 15:05:00,44.2 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 15:06:00,45.0 KiB/s,12.5 KiB/s,12.4 KiB/s,12.3 KiB/s
2026-02-10 15:07:00,45.1 KiB/s,12.5 KiB/s,12.4 KiB/s,12.2 KiB/s
2026-02-10 15:08:00,44.4 KiB/s,11.7 KiB/s,11.7 KiB/s,11.5 KiB/s
2026-02-10 15:09:00,45.0 KiB/s,12.3 KiB/s,12.2 KiB/s,12.1 KiB/s
2026-02-10 15:10:00,41.5 KiB/s,11.8 KiB/s,11.8 KiB/s,11.7 KiB/s
2026-02-10 15:11:00,40.6 KiB/s,10.9 KiB/s,10.9 KiB/s,10.8 KiB/s
2026-02-10 15:12:00,40.6 KiB/s,10.9 KiB/s,10.9 KiB/s,10.8 KiB/s
2026-02-10 15:13:00,41.2 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 15:14:00,42.1 KiB/s,10.9 KiB/s,10.9 KiB/s,10.8 KiB/s
2026-02-10 15:15:00,42.6 KiB/s,11.0 KiB/s,10.9 KiB/s,10.8 KiB/s
2026-02-10 15:16:00,43.1 KiB/s,11.5 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 15:17:00,43.7 KiB/s,12.1 KiB/s,12.0 KiB/s,11.9 KiB/s
2026-02-10 15:18:00,43.2 KiB/s,11.7 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 15:19:00,43.7 KiB/s,11.9 KiB/s,11.9 KiB/s,11.8 KiB/s
2026-02-10 15:20:00,45.2 KiB/s,11.8 KiB/s,11.9 KiB/s,11.8 KiB/s
2026-02-10 15:21:00,41.1 KiB/s,11.3 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 15:22:00,40.6 KiB/s,10.7 KiB/s,10.8 KiB/s,10.8 KiB/s
2026-02-10 15:23:00,40.4 KiB/s,10.6 KiB/s,10.7 KiB/s,10.7 KiB/s
2026-02-10 15:24:00,40.6 KiB/s,11.0 KiB/s,11.1 KiB/s,10.9 KiB/s
2026-02-10 15:25:00,41.6 KiB/s,10.9 KiB/s,11.0 KiB/s,10.8 KiB/s
2026-02-10 15:26:00,42.6 KiB/s,11.4 KiB/s,11.4 KiB/s,11.2 KiB/s
2026-02-10 15:27:00,37.9 KiB/s,11.4 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 15:28:00,37.8 KiB/s,11.3 KiB/s,11.3 KiB/s,11.2 KiB/s
2026-02-10 15:29:00,37.7 KiB/s,11.2 KiB/s,11.1 KiB/s,11.0 KiB/s
2026-02-10 15:30:00,37.7 KiB/s,11.2 KiB/s,11.2 KiB/s,11.1 KiB/s
2026-02-10 15:31:00,40.4 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 15:32:00,43.5 KiB/s,11.3 KiB/s,11.3 KiB/s,11.2 KiB/s
2026-02-10 15:33:00,36.8 KiB/s,11.3 KiB/s,11.3 KiB/s,11.2 KiB/s
2026-02-10 15:34:00,29.6 KiB/s,10.8 KiB/s,10.9 KiB/s,10.8 KiB/s
2026-02-10 15:35:00,22.8 KiB/s,10.7 KiB/s,10.7 KiB/s,10.6 KiB/s
2026-02-10 15:36:00,18.5 KiB/s,11.2 KiB/s,11.2 KiB/s,11.1 KiB/s
2026-02-10 15:37:00,20.2 KiB/s,10.7 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 15:38:00,26.9 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 15:39:00,33.7 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 15:40:00,41.1 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 15:41:00,43.2 KiB/s,10.9 KiB/s,10.9 KiB/s,10.9 KiB/s
2026-02-10 15:42:00,40.4 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 15:43:00,41.1 KiB/s,11.4 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 15:44:00,41.1 KiB/s,11.5 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 15:45:00,41.0 KiB/s,11.3 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 15:46:00,43.0 KiB/s,11.3 KiB/s,11.4 KiB/s,11.2 KiB/s
2026-02-10 15:47:00,44.1 KiB/s,12.0 KiB/s,12.1 KiB/s,11.9 KiB/s
2026-02-10 15:48:00,43.5 KiB/s,11.4 KiB/s,11.4 KiB/s,11.2 KiB/s
2026-02-10 15:49:00,43.4 KiB/s,11.3 KiB/s,11.2 KiB/s,11.2 KiB/s
2026-02-10 15:50:00,43.5 KiB/s,11.4 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 15:51:00,43.5 KiB/s,11.4 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 15:52:00,43.2 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 15:53:00,42.4 KiB/s,10.8 KiB/s,10.9 KiB/s,10.7 KiB/s
2026-02-10 15:54:00,43.1 KiB/s,11.5 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 15:55:00,43.0 KiB/s,11.4 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 15:56:00,43.1 KiB/s,11.5 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 15:57:00,45.4 KiB/s,11.9 KiB/s,11.9 KiB/s,11.7 KiB/s
2026-02-10 15:58:00,42.5 KiB/s,12.3 KiB/s,12.3 KiB/s,12.1 KiB/s
2026-02-10 15:59:00,41.8 KiB/s,11.7 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 16:00:00,41.7 KiB/s,11.6 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 16:01:00,41.6 KiB/s,11.5 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 16:02:00,41.7 KiB/s,11.8 KiB/s,11.7 KiB/s,11.6 KiB/s
2026-02-10 16:03:00,43.9 KiB/s,11.3 KiB/s,11.3 KiB/s,11.2 KiB/s
2026-02-10 16:04:00,40.7 KiB/s,11.4 KiB/s,11.3 KiB/s,11.2 KiB/s
2026-02-10 16:05:00,40.2 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 16:06:00,40.4 KiB/s,11.1 KiB/s,11.1 KiB/s,11.0 KiB/s
2026-02-10 16:07:00,40.2 KiB/s,10.7 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 16:08:00,42.1 KiB/s,11.1 KiB/s,11.2 KiB/s,11.0 KiB/s
2026-02-10 16:09:00,41.7 KiB/s,11.1 KiB/s,11.2 KiB/s,11.0 KiB/s
2026-02-10 16:10:00,40.2 KiB/s,11.6 KiB/s,11.7 KiB/s,11.5 KiB/s
2026-02-10 16:11:00,40.1 KiB/s,11.4 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 16:12:00,39.7 KiB/s,11.2 KiB/s,11.2 KiB/s,11.1 KiB/s
2026-02-10 16:13:00,39.8 KiB/s,11.1 KiB/s,11.1 KiB/s,11.1 KiB/s
2026-02-10 16:14:00,43.5 KiB/s,11.3 KiB/s,11.3 KiB/s,11.2 KiB/s
2026-02-10 16:15:00,40.4 KiB/s,10.9 KiB/s,10.9 KiB/s,10.9 KiB/s
2026-02-10 16:16:00,40.2 KiB/s,10.9 KiB/s,10.9 KiB/s,10.8 KiB/s
2026-02-10 16:17:00,40.1 KiB/s,10.7 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 16:18:00,40.0 KiB/s,10.7 KiB/s,10.8 KiB/s,10.6 KiB/s
2026-02-10 16:19:00,40.1 KiB/s,10.9 KiB/s,11.0 KiB/s,10.8 KiB/s
2026-02-10 16:20:00,44.7 KiB/s,10.9 KiB/s,11.0 KiB/s,10.8 KiB/s
2026-02-10 16:21:00,42.4 KiB/s,10.8 KiB/s,10.9 KiB/s,10.8 KiB/s
