"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)"
2026-02-10 12:45:45,6.24 ms,2.07 ms,1.51 ms,1.12 ms,0 s,0 s,0 s,0 s
2026-02-10 12:46:00,7.90 ms,2.07 ms,1.51 ms,1.12 ms,0 s,0 s,0 s,0 s
2026-02-10 12:46:15,6.41 ms,2.07 ms,1.51 ms,0 s,0 s,0 s,0 s,0 s
2026-02-10 12:46:30,4.92 ms,780 µs,1.51 ms,1.63 ms,0 s,0 s,0 s,0 s
2026-02-10 12:46:45,2.78 ms,780 µs,0 s,1.63 ms,0 s,0 s,0 s,0 s
2026-02-10 12:47:00,1.32 ms,780 µs,1.86 ms,1.63 ms,0 s,0 s,0 s,0 s
2026-02-10 12:47:15,1.17 ms,780 µs,1.86 ms,1.63 ms,0 s,0 s,0 s,0 s
2026-02-10 12:47:30,780 µs,610 µs,1.86 ms,0 s,0 s,0 s,0 s,0 s
2026-02-10 12:47:45,576 µs,610 µs,1.86 ms,1.44 ms,0 s,0 s,0 s,0 s
2026-02-10 12:48:00,220 µs,610 µs,1.90 ms,1.44 ms,0 s,0 s,0 s,0 s
2026-02-10 12:48:15,458 µs,610 µs,1.90 ms,1.44 ms,0 s,0 s,0 s,0 s
2026-02-10 12:48:30,458 µs,932 µs,1.90 ms,1.44 ms,0 s,0 s,0 s,0 s
2026-02-10 12:48:45,458 µs,932 µs,1.90 ms,2.27 ms,0 s,0 s,0 s,0 s
2026-02-10 12:49:00,458 µs,932 µs,0 s,2.27 ms,0 s,0 s,0 s,0 s
2026-02-10 12:49:15,339 µs,932 µs,1.24 ms,2.27 ms,0 s,0 s,0 s,0 s
2026-02-10 12:49:30,339 µs,593 µs,1.24 ms,2.27 ms,0 s,0 s,0 s,0 s
2026-02-10 12:49:45,339 µs,593 µs,1.24 ms,0 s,0 s,0 s,0 s,0 s
2026-02-10 12:50:00,339 µs,593 µs,1.24 ms,2.36 ms,0 s,0 s,0 s,0 s
2026-02-10 12:50:15,339 µs,593 µs,0 s,2.36 ms,0 s,0 s,0 s,0 s
2026-02-10 12:50:30,339 µs,898 µs,1.49 ms,2.36 ms,0 s,0 s,0 s,0 s
2026-02-10 12:50:45,1.59 ms,2.54 ms,1.49 ms,4.73 ms,0 s,0 s,0 s,0 s
2026-02-10 12:51:00,2.66 ms,2.54 ms,13.2 ms,2.37 ms,0 s,0 s,0 s,0 s
2026-02-10 12:51:15,3.24 ms,2.54 ms,13.2 ms,2.37 ms,0 s,0 s,0 s,0 s
2026-02-10 12:51:30,3.66 ms,1.64 ms,11.7 ms,2.37 ms,0 s,0 s,0 s,0 s
2026-02-10 12:51:45,2.78 ms,1.10 ms,11.7 ms,2.24 ms,0 s,0 s,0 s,0 s
2026-02-10 12:52:00,1.92 ms,1.10 ms,1.73 ms,2.24 ms,0 s,0 s,0 s,0 s
2026-02-10 12:52:15,2.46 ms,1.10 ms,1.73 ms,2.24 ms,0 s,0 s,0 s,0 s
2026-02-10 12:52:30,2.93 ms,1.78 ms,7.39 ms,5.12 ms,0 s,0 s,0 s,0 s
2026-02-10 12:52:45,3.98 ms,678 µs,7.39 ms,2.88 ms,0 s,0 s,0 s,0 s
2026-02-10 12:53:00,4.66 ms,1.42 ms,5.66 ms,2.88 ms,0 s,0 s,0 s,0 s
2026-02-10 12:53:15,3.93 ms,1.42 ms,7.17 ms,2.88 ms,0 s,0 s,0 s,0 s
2026-02-10 12:53:30,5.46 ms,746 µs,1.51 ms,1.69 ms,0 s,0 s,0 s,0 s
2026-02-10 12:53:45,5.33 ms,2.37 ms,1.51 ms,1.69 ms,0 s,0 s,0 s,0 s
2026-02-10 12:54:00,4.18 ms,1.63 ms,1.51 ms,1.69 ms,0 s,0 s,0 s,0 s
2026-02-10 12:54:15,1.46 ms,1.63 ms,2.03 ms,1.70 ms,429 ms,0 s,0 s,0 s
2026-02-10 12:54:30,1.56 ms,1.63 ms,2.03 ms,2.73 ms,429 ms,0 s,0 s,0 s
2026-02-10 12:54:45,1.20 ms,2.88 ms,2.03 ms,2.73 ms,0 s,0 s,0 s,0 s
2026-02-10 12:55:00,1.78 ms,2.88 ms,2.03 ms,2.73 ms,0 s,0 s,0 s,0 s
2026-02-10 12:55:15,1.78 ms,2.88 ms,1.95 ms,2.73 ms,0 s,0 s,0 s,0 s
2026-02-10 12:55:30,1.66 ms,3.66 ms,1.95 ms,1.54 ms,0 s,0 s,0 s,0 s
2026-02-10 12:55:45,1.34 ms,780 µs,3.78 ms,1.54 ms,0 s,0 s,0 s,0 s
2026-02-10 12:56:00,814 µs,780 µs,3.78 ms,1.54 ms,0 s,0 s,0 s,0 s
2026-02-10 12:56:15,458 µs,1.68 ms,1.83 ms,1.54 ms,0 s,0 s,0 s,0 s
2026-02-10 12:56:30,271 µs,898 µs,1.83 ms,2.51 ms,0 s,0 s,0 s,0 s
2026-02-10 12:56:45,119 µs,898 µs,2.37 ms,2.51 ms,0 s,0 s,0 s,0 s
2026-02-10 12:57:00,119 µs,898 µs,2.37 ms,2.51 ms,0 s,0 s,0 s,0 s
2026-02-10 12:57:15,119 µs,0 s,2.37 ms,0 s,0 s,0 s,0 s,0 s
2026-02-10 12:57:30,203 µs,797 µs,2.37 ms,0 s,0 s,0 s,0 s,0 s
2026-02-10 12:57:45,203 µs,797 µs,0 s,3.64 ms,0 s,0 s,0 s,0 s
2026-02-10 12:58:00,203 µs,797 µs,1.68 ms,3.64 ms,0 s,0 s,0 s,0 s
2026-02-10 12:58:15,407 µs,1.61 ms,1.68 ms,3.64 ms,0 s,0 s,0 s,0 s
2026-02-10 12:58:30,203 µs,814 µs,1.68 ms,3.64 ms,0 s,0 s,0 s,0 s
2026-02-10 12:58:45,203 µs,814 µs,1.68 ms,1.69 ms,0 s,0 s,0 s,0 s
2026-02-10 12:59:00,424 µs,1.88 ms,322 µs,1.69 ms,0 s,0 s,0 s,0 s
2026-02-10 12:59:15,661 µs,1.07 ms,322 µs,3.46 ms,0 s,0 s,0 s,0 s
2026-02-10 12:59:30,1.12 ms,1.07 ms,814 µs,3.46 ms,0 s,0 s,0 s,0 s
2026-02-10 12:59:45,1.81 ms,1.90 ms,813 µs,1.76 ms,0 s,0 s,0 s,0 s
2026-02-10 13:00:00,3.08 ms,830 µs,492 µs,1.76 ms,0 s,0 s,0 s,0 s
2026-02-10 13:00:15,3.22 ms,830 µs,492 µs,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:00:30,3.08 ms,932 µs,0 s,4.29 ms,0 s,0 s,0 s,0 s
2026-02-10 13:00:45,2.71 ms,932 µs,542 µs,4.29 ms,0 s,0 s,0 s,0 s
2026-02-10 13:01:00,1.58 ms,932 µs,542 µs,4.29 ms,0 s,0 s,0 s,0 s
2026-02-10 13:01:15,1.56 ms,1.88 ms,1.41 ms,3.98 ms,0 s,0 s,0 s,0 s
2026-02-10 13:01:30,1.59 ms,949 µs,1.41 ms,3.98 ms,0 s,0 s,0 s,0 s
2026-02-10 13:01:45,1.66 ms,2.76 ms,865 µs,3.98 ms,0 s,0 s,0 s,0 s
2026-02-10 13:02:00,1.66 ms,2.76 ms,2.00 ms,4.95 ms,0 s,0 s,0 s,0 s
2026-02-10 13:02:15,1.39 ms,1.81 ms,1.14 ms,966 µs,0 s,0 s,0 s,0 s
2026-02-10 13:02:30,1.44 ms,1.81 ms,1.14 ms,966 µs,0 s,0 s,0 s,0 s
2026-02-10 13:02:45,1.32 ms,1.34 ms,1.14 ms,966 µs,0 s,0 s,0 s,0 s
2026-02-10 13:03:00,1.64 ms,1.34 ms,864 µs,0 s,0 s,0 s,0 s,0 s
2026-02-10 13:03:15,1.86 ms,1.34 ms,864 µs,830 µs,0 s,0 s,0 s,0 s
2026-02-10 13:03:30,2.10 ms,1.34 ms,864 µs,830 µs,0 s,0 s,0 s,0 s
2026-02-10 13:03:45,2.22 ms,966 µs,864 µs,830 µs,0 s,0 s,0 s,0 s
