"Time","rskj-node1","rskj-miner2","rskj-miner4","rskj-miner1"
2026-02-10 13:38:00,3.88 GiB,3.82 GiB,3.79 GiB,3.87 GiB
2026-02-10 13:39:00,3.88 GiB,3.82 GiB,3.79 GiB,3.87 GiB
2026-02-10 13:40:00,3.88 GiB,3.82 GiB,3.79 GiB,3.87 GiB
2026-02-10 13:41:00,3.88 GiB,3.82 GiB,3.79 GiB,3.88 GiB
2026-02-10 13:42:00,3.88 GiB,3.83 GiB,3.80 GiB,3.89 GiB
2026-02-10 13:43:00,3.88 GiB,3.83 GiB,3.80 GiB,3.90 GiB
2026-02-10 13:44:00,3.88 GiB,3.83 GiB,3.80 GiB,3.91 GiB
2026-02-10 13:45:00,3.88 GiB,3.83 GiB,3.80 GiB,3.91 GiB
2026-02-10 13:46:00,3.89 GiB,3.83 GiB,3.80 GiB,3.92 GiB
2026-02-10 13:47:00,3.89 GiB,3.83 GiB,3.81 GiB,3.92 GiB
2026-02-10 13:48:00,3.89 GiB,3.85 GiB,3.81 GiB,3.93 GiB
2026-02-10 13:49:00,3.89 GiB,3.85 GiB,3.81 GiB,3.94 GiB
2026-02-10 13:50:00,3.89 GiB,3.85 GiB,3.81 GiB,3.95 GiB
2026-02-10 13:51:00,3.89 GiB,3.85 GiB,3.81 GiB,3.95 GiB
2026-02-10 13:52:00,3.89 GiB,3.85 GiB,3.81 GiB,3.86 GiB
2026-02-10 13:53:00,3.90 GiB,3.85 GiB,3.81 GiB,3.87 GiB
2026-02-10 13:54:00,3.89 GiB,3.85 GiB,3.81 GiB,3.88 GiB
2026-02-10 13:55:00,3.89 GiB,3.85 GiB,3.81 GiB,3.89 GiB
2026-02-10 13:56:00,3.89 GiB,3.85 GiB,3.81 GiB,3.89 GiB
2026-02-10 13:57:00,3.89 GiB,3.85 GiB,3.81 GiB,3.89 GiB
2026-02-10 13:58:00,3.90 GiB,3.85 GiB,3.81 GiB,3.90 GiB
2026-02-10 13:59:00,3.90 GiB,3.86 GiB,3.81 GiB,3.91 GiB
2026-02-10 14:00:00,3.90 GiB,3.86 GiB,3.83 GiB,3.92 GiB
2026-02-10 14:01:00,3.89 GiB,3.86 GiB,3.83 GiB,3.96 GiB
2026-02-10 14:02:00,3.89 GiB,3.86 GiB,3.83 GiB,3.97 GiB
2026-02-10 14:03:00,3.89 GiB,3.86 GiB,3.83 GiB,3.97 GiB
2026-02-10 14:04:00,3.89 GiB,3.86 GiB,3.83 GiB,3.97 GiB
2026-02-10 14:05:00,3.89 GiB,3.86 GiB,3.84 GiB,3.98 GiB
2026-02-10 14:06:00,3.89 GiB,3.86 GiB,3.84 GiB,3.99 GiB
2026-02-10 14:07:00,3.89 GiB,3.86 GiB,3.84 GiB,3.90 GiB
2026-02-10 14:08:00,3.89 GiB,3.86 GiB,3.84 GiB,3.91 GiB
2026-02-10 14:09:00,3.89 GiB,3.86 GiB,3.84 GiB,3.91 GiB
2026-02-10 14:10:00,3.89 GiB,3.86 GiB,3.84 GiB,3.92 GiB
2026-02-10 14:11:00,3.89 GiB,3.86 GiB,3.84 GiB,3.93 GiB
2026-02-10 14:12:00,3.89 GiB,3.86 GiB,3.84 GiB,3.93 GiB
2026-02-10 14:13:00,3.89 GiB,3.86 GiB,3.84 GiB,3.94 GiB
2026-02-10 14:14:00,3.89 GiB,3.86 GiB,3.84 GiB,3.95 GiB
2026-02-10 14:15:00,3.89 GiB,3.86 GiB,3.84 GiB,3.96 GiB
2026-02-10 14:16:00,3.89 GiB,3.86 GiB,3.84 GiB,3.97 GiB
2026-02-10 14:17:00,3.89 GiB,3.86 GiB,3.84 GiB,3.97 GiB
2026-02-10 14:18:00,3.89 GiB,3.87 GiB,3.84 GiB,3.98 GiB
2026-02-10 14:19:00,3.89 GiB,3.87 GiB,3.84 GiB,3.99 GiB
2026-02-10 14:20:00,3.89 GiB,3.87 GiB,3.84 GiB,4.00 GiB
2026-02-10 14:21:00,3.89 GiB,3.87 GiB,3.84 GiB,3.90 GiB
2026-02-10 14:22:00,3.89 GiB,3.87 GiB,3.84 GiB,3.91 GiB
2026-02-10 14:23:00,3.89 GiB,3.87 GiB,3.84 GiB,3.92 GiB
2026-02-10 14:24:00,3.89 GiB,3.87 GiB,3.84 GiB,3.89 GiB
2026-02-10 14:25:00,3.94 GiB,3.87 GiB,3.84 GiB,3.90 GiB
2026-02-10 14:26:00,3.94 GiB,3.87 GiB,3.84 GiB,3.90 GiB
2026-02-10 14:27:00,3.94 GiB,3.87 GiB,3.84 GiB,3.90 GiB
2026-02-10 14:28:00,3.94 GiB,3.87 GiB,3.84 GiB,3.91 GiB
2026-02-10 14:29:00,3.94 GiB,3.87 GiB,3.84 GiB,3.92 GiB
2026-02-10 14:30:00,3.94 GiB,3.87 GiB,3.84 GiB,3.93 GiB
2026-02-10 14:31:00,3.94 GiB,3.87 GiB,3.84 GiB,3.94 GiB
2026-02-10 14:32:00,3.94 GiB,3.87 GiB,3.84 GiB,3.94 GiB
2026-02-10 14:33:00,3.94 GiB,3.87 GiB,3.84 GiB,3.95 GiB
2026-02-10 14:34:00,3.94 GiB,3.87 GiB,3.84 GiB,3.96 GiB
2026-02-10 14:35:00,3.94 GiB,3.87 GiB,3.84 GiB,3.87 GiB
2026-02-10 14:36:00,3.94 GiB,3.88 GiB,3.84 GiB,3.88 GiB
2026-02-10 14:37:00,3.94 GiB,3.88 GiB,3.85 GiB,3.88 GiB
2026-02-10 14:38:00,3.94 GiB,3.88 GiB,3.85 GiB,3.89 GiB
2026-02-10 14:39:00,3.94 GiB,3.88 GiB,3.85 GiB,3.90 GiB
2026-02-10 14:40:00,3.94 GiB,3.88 GiB,3.85 GiB,3.91 GiB
2026-02-10 14:41:00,3.94 GiB,3.88 GiB,3.85 GiB,3.91 GiB
2026-02-10 14:42:00,3.94 GiB,3.88 GiB,3.85 GiB,3.92 GiB
2026-02-10 14:43:00,3.94 GiB,3.88 GiB,3.85 GiB,3.93 GiB
2026-02-10 14:44:00,3.78 GiB,3.88 GiB,3.78 GiB,3.78 GiB
2026-02-10 14:45:00,3.78 GiB,3.88 GiB,3.78 GiB,3.79 GiB
