"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max"
2026-02-10 12:56:30,485 MiB,2.14 GiB,2.43 GiB,2.08 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:56:45,828 MiB,2.45 GiB,1.95 GiB,2.39 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:57:00,1003 MiB,2.62 GiB,2.08 GiB,2.50 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:57:15,1.12 GiB,2.72 GiB,2.19 GiB,2.61 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:57:30,535 MiB,2.12 GiB,2.33 GiB,2.73 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:57:45,944 MiB,2.53 GiB,2.71 GiB,2.28 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:58:00,1.07 GiB,2.73 GiB,2.07 GiB,2.41 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:58:15,486 MiB,2.04 GiB,2.18 GiB,2.51 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:58:30,675 MiB,2.26 GiB,2.35 GiB,2.65 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:58:45,1.06 GiB,2.63 GiB,2.70 GiB,2.19 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:59:00,384 MiB,1.99 GiB,2.04 GiB,2.30 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:59:15,419 MiB,2.58 GiB,2.61 GiB,2.05 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:59:30,861 MiB,2.74 GiB,1.99 GiB,2.19 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:59:45,622 MiB,2.28 GiB,2.29 GiB,2.50 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:00:00,1.06 GiB,2.47 GiB,2.48 GiB,2.64 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:00:15,722 MiB,2.62 GiB,2.59 GiB,2.74 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:00:30,1.12 GiB,1.97 GiB,2.73 GiB,2.07 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:00:45,1007 MiB,2.39 GiB,2.31 GiB,2.42 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:01:00,698 MiB,2.58 GiB,2.50 GiB,2.56 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:01:15,1.06 GiB,2.33 GiB,2.23 GiB,2.27 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:01:30,662 MiB,2.44 GiB,2.33 GiB,2.38 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:01:45,519 MiB,2.06 GiB,2.70 GiB,2.71 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:02:00,1.01 GiB,2.27 GiB,2.11 GiB,2.06 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:02:15,639 MiB,2.39 GiB,2.22 GiB,2.17 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:02:30,1.09 GiB,2.57 GiB,2.37 GiB,2.30 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:02:45,943 MiB,2.09 GiB,2.68 GiB,2.61 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:03:00,648 MiB,2.32 GiB,2.08 GiB,2.74 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:03:15,1.08 GiB,2.47 GiB,2.23 GiB,2.08 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:03:30,717 MiB,2.68 GiB,2.40 GiB,2.21 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:03:45,620 MiB,2.21 GiB,2.75 GiB,2.54 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:04:00,1.03 GiB,1.98 GiB,2.45 GiB,2.21 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:04:15,859 MiB,2.12 GiB,2.60 GiB,2.34 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:04:30,1005 MiB,2.33 GiB,1.99 GiB,2.49 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:04:45,888 MiB,2.73 GiB,2.38 GiB,2.03 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:05:00,458 MiB,2.10 GiB,2.54 GiB,2.16 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:05:15,966 MiB,2.33 GiB,2.72 GiB,2.33 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:05:30,530 MiB,2.44 GiB,2.04 GiB,2.44 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
