"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2","{container_id=""rskj-miner1"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner2"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner3"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner4"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-node1"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-node2"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner1"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner2"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner3"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-miner4"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-node1"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}","{container_id=""rskj-node2"", exported_job=""docker-json-logs"", instance=""host.docker.internal:9080"", job=""promtail""}"
2026-02-03 22:30:00,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 22:30:30,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 22:31:00,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 22:31:30,4.16,4.16,4.16,4.16,4.16,4.16,7,7,7,7,7,7,,,,,,
2026-02-03 22:32:00,4.08,4.08,4.08,4.08,4.08,4.08,7,7,7,7,7,7,,,,,,
2026-02-03 22:32:30,6.22,6.22,6.22,6.22,6.22,6.22,7,7,7,7,7,7,,,,,,
2026-02-03 22:33:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 22:33:30,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 22:34:00,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 22:34:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 22:35:00,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 22:35:30,2.08,2.08,2.08,2.08,2.08,2.08,7,7,7,7,7,7,,,,,,
2026-02-03 22:36:00,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 22:36:30,6.18,6.18,6.18,6.18,6.18,6.18,7,7,7,7,7,7,,,,,,
2026-02-03 22:37:00,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 22:37:30,6.15,6.15,6.15,6.15,6.15,6.15,7,7,7,7,7,7,,,,,,
2026-02-03 22:38:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 22:38:30,4.08,4.08,4.08,4.08,4.08,4.08,7,7,7,7,7,7,,,,,,
2026-02-03 22:39:00,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 22:39:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 22:40:00,2.08,2.08,2.08,2.08,2.08,2.08,7,7,7,7,7,7,,,,,,
2026-02-03 22:40:30,2.05,2.05,2.05,2.05,2.05,2.05,7,7,7,7,7,7,,,,,,
2026-02-03 22:41:00,6.22,6.22,6.22,6.22,6.22,6.22,7,7,7,7,7,7,,,,,,
2026-02-03 22:41:30,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 22:42:00,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 22:42:30,6.19,6.19,6.19,6.19,6.19,6.19,7,7,7,7,7,7,,,,,,
2026-02-03 22:43:00,2.15,2.15,2.15,2.15,2.15,2.15,7,7,7,7,7,7,,,,,,
2026-02-03 22:43:30,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 22:44:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 22:44:30,6.38,6.38,6.38,6.38,6.38,6.38,7,7,7,7,7,7,,,,,,
2026-02-03 22:45:00,6.38,6.38,6.38,6.38,6.38,6.38,7,7,7,7,7,7,,,,,,
2026-02-03 22:45:30,6.17,6.17,6.17,6.17,6.17,6.17,7,7,7,7,7,7,,,,,,
2026-02-03 22:46:00,6.22,6.22,6.22,6.22,6.22,6.22,7,7,7,7,7,7,,,,,,
2026-02-03 22:46:30,2.05,2.05,2.05,2.05,2.05,2.05,7,7,7,7,7,7,,,,,,
2026-02-03 22:47:00,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 22:47:30,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 22:48:00,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 22:48:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 22:49:00,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 22:49:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 22:50:00,0,0,0,0,0,0,7,7,7,7,7,7,,,,,,
2026-02-03 22:50:30,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 22:51:00,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 22:51:30,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 22:52:00,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 22:52:30,6.07,6.19,6.19,6.19,6.19,6.19,7,7,7,7,7,7,,,,,,
2026-02-03 22:53:00,0,0,0,0,0,0,7,7,7,7,7,7,,,,,,
2026-02-03 22:53:30,6.17,6.17,6.17,6.17,6.17,6.17,7,7,7,7,7,7,,,,,,
2026-02-03 22:54:00,6.22,6.22,6.22,6.22,6.22,6.22,7,7,7,7,7,7,,,,,,
2026-02-03 22:54:30,6.19,6.19,6.19,6.19,6.19,6.19,7,7,7,7,7,7,,,,,,
2026-02-03 22:55:00,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 22:55:30,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 22:56:00,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 22:56:30,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 22:57:00,6.17,6.17,6.17,6.17,6.17,6.17,7,7,7,7,7,7,,,,,,
2026-02-03 22:57:30,6.18,6.18,6.18,6.18,6.18,6.18,7,7,7,7,7,7,,,,,,
2026-02-03 22:58:00,6.18,6.18,6.18,6.18,6.18,6.18,7,7,7,7,7,7,,,,,,
2026-02-03 22:58:30,6.16,6.16,6.16,6.16,6.16,6.16,7,7,7,7,7,7,,,,,,
2026-02-03 22:59:00,6.16,6.16,6.16,6.16,6.16,6.16,7,7,7,7,7,7,,,,,,
2026-02-03 22:59:30,6.16,6.16,6.16,6.16,6.16,6.16,7,7,7,7,7,7,,,,,,
2026-02-03 23:00:00,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 23:00:30,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:01:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:01:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:02:00,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:02:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:03:00,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:03:30,4.30,4.30,4.30,4.30,4.30,4.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:04:00,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:04:30,4.28,4.28,4.28,4.28,4.28,4.28,7,7,7,7,7,7,,,,,,
2026-02-03 23:05:00,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:05:30,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:06:00,6.12,6.12,6.12,6.12,6.12,6.12,7,7,7,7,7,7,,,,,,
2026-02-03 23:06:30,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 23:07:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:07:30,4.10,4.10,4.10,4.10,4.10,4.10,7,7,7,7,7,7,,,,,,
2026-02-03 23:08:00,4.08,4.08,4.08,4.08,4.08,4.08,7,7,7,7,7,7,,,,,,
2026-02-03 23:08:30,6.16,6.16,6.16,6.16,6.16,6.16,7,7,7,7,7,7,,,,,,
2026-02-03 23:09:00,5.88,5.88,5.88,5.88,5.88,5.88,7,7,7,7,7,7,,,,,,
2026-02-03 23:09:30,6.19,6.19,6.19,6.19,6.19,6.19,7,7,7,7,7,7,,,,,,
2026-02-03 23:10:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:10:30,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:11:00,2.18,2.18,2.18,2.18,2.18,2.18,7,7,7,7,7,7,,,,,,
2026-02-03 23:11:30,4.10,4.14,4.10,4.10,4.10,4.10,7,7,7,7,7,7,,,,,,
2026-02-03 23:12:00,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:12:30,6.30,6.30,6.30,6.30,6.30,6.30,7,7,7,7,7,7,,,,,,
2026-02-03 23:13:00,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:13:30,6.10,6.10,6.10,6.10,6.10,6.10,7,7,7,7,7,7,,,,,,
2026-02-03 23:14:00,6.23,6.23,6.23,6.23,6.23,6.23,7,7,7,7,7,7,,,,,,
2026-02-03 23:14:30,4.14,4.14,4.14,4.14,4.14,4.14,7,7,7,7,7,7,,,,,,
2026-02-03 23:15:00,6.12,6.12,6.12,6.12,6.12,6.12,7,7,7,7,7,7,,,,,,
2026-02-03 23:15:30,6.19,6.19,6.19,6.19,6.19,6.19,7,7,7,7,7,7,,,,,,
2026-02-03 23:16:00,6.07,4.14,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:16:30,6.07,6.07,6.07,6.07,6.07,6.07,7,7,7,7,7,7,,,,,,
2026-02-03 23:17:00,6.18,6.18,6.18,6.18,6.18,6.18,7,7,7,7,7,7,,,,,,
