"Time","_15m","_5m","_15m"
2026-02-03 21:58:00,4.29,4.54,4.49
2026-02-03 21:59:00,4.02,4.39,4.44
2026-02-03 22:00:00,4.45,4.43,4.45
2026-02-03 22:01:00,4.59,4.46,4.46
2026-02-03 22:02:00,4.04,4.33,4.42
2026-02-03 22:03:00,4.92,4.58,4.50
2026-02-03 22:04:00,4.30,4.51,4.48
2026-02-03 22:05:00,4.01,4.41,4.45
2026-02-03 22:06:00,4.16,4.37,4.43
2026-02-03 22:07:00,4.22,4.33,4.42
2026-02-03 22:08:00,4.02,4.24,4.38
2026-02-03 22:09:00,4.08,4.24,4.37
2026-02-03 22:10:00,4.21,4.24,4.36
2026-02-03 22:11:00,4.25,4.23,4.35
2026-02-03 22:12:00,4.34,4.26,4.36
2026-02-03 22:13:00,4.38,4.29,4.36
2026-02-03 22:14:00,3.78,4.14,4.31
2026-02-03 22:15:00,4.50,4.27,4.34
2026-02-03 22:16:00,4.44,4.30,4.35
2026-02-03 22:17:00,5.93,4.72,4.49
2026-02-03 22:18:00,6.94,5.19,4.66
2026-02-03 22:19:00,8.89,6.08,5.01
2026-02-03 22:20:00,8.51,6.50,5.21
2026-02-03 22:21:00,7.64,6.64,5.35
2026-02-03 22:22:00,8.68,7.13,5.60
2026-02-03 22:23:00,8.29,7.33,5.76
2026-02-03 22:24:00,8.70,7.78,6.03
2026-02-03 22:25:00,8.54,7.88,6.17
2026-02-03 22:26:00,9.66,8.38,6.45
2026-02-03 22:27:00,9.83,8.64,6.66
2026-02-03 22:28:00,9.96,8.89,6.87
2026-02-03 22:29:00,8.55,8.79,6.97
2026-02-03 22:30:00,8.23,8.72,7.06
2026-02-03 22:31:00,7.57,8.49,7.09
2026-02-03 22:32:00,7.16,8.21,7.08
2026-02-03 22:33:00,6.84,7.91,7.05
2026-02-03 22:34:00,6.66,7.67,7.02
2026-02-03 22:35:00,6.39,7.45,6.98
2026-02-03 22:36:00,7,7.39,6.99
2026-02-03 22:37:00,6.72,7.22,6.95
2026-02-03 22:38:00,6.26,6.98,6.89
2026-02-03 22:39:00,6.92,7.12,6.94
2026-02-03 22:40:00,6.03,6.82,6.85
2026-02-03 22:41:00,5.37,6.48,6.73
2026-02-03 22:42:00,5.13,6.23,6.63
2026-02-03 22:43:00,5.41,6.06,6.54
2026-02-03 22:44:00,5.34,5.91,6.46
2026-02-03 22:45:00,6,6.05,6.48
2026-02-03 22:46:00,5.28,5.85,6.38
2026-02-03 22:47:00,6.42,6.02,6.40
2026-02-03 22:48:00,5.46,5.80,6.30
2026-02-03 22:49:00,4.58,5.48,6.15
2026-02-03 22:50:00,4.51,5.27,6.04
2026-02-03 22:51:00,4.64,5.15,5.95
2026-02-03 22:52:00,4.30,4.97,5.83
2026-02-03 22:53:00,4.56,4.91,5.76
2026-02-03 22:54:00,4.97,4.97,5.72
2026-02-03 22:55:00,4.73,4.89,5.65
2026-02-03 22:56:00,4.32,4.74,5.54
2026-02-03 22:57:00,4.10,4.61,5.45
2026-02-03 22:58:00,4.20,4.55,5.37
2026-02-03 22:59:00,4.54,4.59,5.33
2026-02-03 23:00:00,4.42,4.56,5.27
2026-02-03 23:01:00,4.33,4.49,5.20
2026-02-03 23:02:00,4.28,4.46,5.15
2026-02-03 23:03:00,4.54,4.48,5.11
2026-02-03 23:04:00,4.91,4.59,5.10
2026-02-03 23:05:00,4.23,4.49,5.04
2026-02-03 23:06:00,4.54,4.50,5
2026-02-03 23:07:00,4.41,4.50,4.97
2026-02-03 23:08:00,4.43,4.51,4.94
2026-02-03 23:09:00,4.18,4.45,4.90
2026-02-03 23:10:00,4.47,4.50,4.89
2026-02-03 23:11:00,4.75,4.59,4.90
2026-02-03 23:12:00,4.98,4.70,4.91
2026-02-03 23:13:00,4.92,4.73,4.91
2026-02-03 23:14:00,5.10,4.84,4.94
2026-02-03 23:15:00,4.64,4.77,4.91
2026-02-03 23:16:00,4.84,4.80,4.91
2026-02-03 23:17:00,5.79,5.08,5
2026-02-03 23:18:00,5.78,5.25,5.07
2026-02-03 23:19:00,4.87,5.10,5.03
2026-02-03 23:20:00,5.31,5.19,5.06
2026-02-03 23:21:00,4.82,5.09,5.03
2026-02-03 23:22:00,4.39,4.92,4.98
2026-02-03 23:23:00,4.58,4.88,4.96
