"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-10 13:44:00,39.2 KiB/s,3.05 KiB/s,3.04 KiB/s,3.03 KiB/s
2026-02-10 13:45:00,35.6 KiB/s,2.38 KiB/s,2.39 KiB/s,2.38 KiB/s
2026-02-10 13:46:00,35.3 KiB/s,3.01 KiB/s,3.01 KiB/s,3.01 KiB/s
2026-02-10 13:47:00,35.1 KiB/s,2.23 KiB/s,2.22 KiB/s,2.24 KiB/s
2026-02-10 13:48:00,35.4 KiB/s,2.87 KiB/s,2.90 KiB/s,2.90 KiB/s
2026-02-10 13:49:00,35.5 KiB/s,3.08 KiB/s,3.10 KiB/s,3.10 KiB/s
2026-02-10 13:50:00,41.2 KiB/s,3.09 KiB/s,3.10 KiB/s,3.12 KiB/s
2026-02-10 13:51:00,34.6 KiB/s,2.59 KiB/s,2.60 KiB/s,2.61 KiB/s
2026-02-10 13:52:00,34.8 KiB/s,3.22 KiB/s,3.26 KiB/s,3.27 KiB/s
2026-02-10 13:53:00,34.7 KiB/s,3.33 KiB/s,3.33 KiB/s,3.37 KiB/s
2026-02-10 13:54:00,34.6 KiB/s,3.11 KiB/s,3.13 KiB/s,3.16 KiB/s
2026-02-10 13:55:00,34.5 KiB/s,3.09 KiB/s,3.10 KiB/s,3.12 KiB/s
2026-02-10 13:56:00,41.1 KiB/s,2.94 KiB/s,2.96 KiB/s,2.97 KiB/s
2026-02-10 13:57:00,33.6 KiB/s,2.53 KiB/s,2.55 KiB/s,2.55 KiB/s
2026-02-10 13:58:00,33.6 KiB/s,2.31 KiB/s,2.31 KiB/s,2.32 KiB/s
2026-02-10 13:59:00,33.6 KiB/s,2.40 KiB/s,2.41 KiB/s,2.42 KiB/s
2026-02-10 14:00:00,33.7 KiB/s,3.04 KiB/s,3.05 KiB/s,3.06 KiB/s
2026-02-10 14:01:00,34.0 KiB/s,3.16 KiB/s,3.16 KiB/s,3.18 KiB/s
2026-02-10 14:02:00,40.8 KiB/s,2.93 KiB/s,2.91 KiB/s,2.94 KiB/s
2026-02-10 14:03:00,32.9 KiB/s,2.43 KiB/s,2.40 KiB/s,2.42 KiB/s
2026-02-10 14:04:00,26.7 KiB/s,3.18 KiB/s,3.17 KiB/s,3.19 KiB/s
2026-02-10 14:05:00,26.6 KiB/s,2.60 KiB/s,2.58 KiB/s,2.60 KiB/s
2026-02-10 14:06:00,26.6 KiB/s,2.36 KiB/s,2.34 KiB/s,2.35 KiB/s
2026-02-10 14:07:00,27.3 KiB/s,3.15 KiB/s,3.14 KiB/s,3.17 KiB/s
2026-02-10 14:08:00,35.2 KiB/s,3.18 KiB/s,3.18 KiB/s,3.19 KiB/s
2026-02-10 14:09:00,39.7 KiB/s,2.33 KiB/s,2.31 KiB/s,2.33 KiB/s
2026-02-10 14:10:00,36.9 KiB/s,2.27 KiB/s,2.25 KiB/s,2.27 KiB/s
2026-02-10 14:11:00,37.1 KiB/s,2.88 KiB/s,2.88 KiB/s,2.88 KiB/s
2026-02-10 14:12:00,37.0 KiB/s,2.17 KiB/s,2.15 KiB/s,2.14 KiB/s
2026-02-10 14:13:00,37.1 KiB/s,2.89 KiB/s,2.89 KiB/s,2.87 KiB/s
2026-02-10 14:14:00,38.8 KiB/s,3.14 KiB/s,3.15 KiB/s,3.13 KiB/s
2026-02-10 14:15:00,39.2 KiB/s,3.71 KiB/s,3.72 KiB/s,3.70 KiB/s
2026-02-10 14:16:00,39.0 KiB/s,3.23 KiB/s,3.23 KiB/s,3.23 KiB/s
2026-02-10 14:17:00,39.0 KiB/s,3.25 KiB/s,3.27 KiB/s,3.26 KiB/s
2026-02-10 14:18:00,38.9 KiB/s,2.96 KiB/s,2.96 KiB/s,2.95 KiB/s
2026-02-10 14:19:00,38.8 KiB/s,2.73 KiB/s,2.73 KiB/s,2.71 KiB/s
2026-02-10 14:20:00,38.6 KiB/s,2.32 KiB/s,2.31 KiB/s,2.29 KiB/s
2026-02-10 14:21:00,36.8 KiB/s,2.94 KiB/s,2.92 KiB/s,2.91 KiB/s
2026-02-10 14:22:00,36.8 KiB/s,2.92 KiB/s,2.90 KiB/s,2.89 KiB/s
2026-02-10 14:23:00,36.7 KiB/s,2.57 KiB/s,2.55 KiB/s,2.55 KiB/s
2026-02-10 14:24:00,36.8 KiB/s,3.27 KiB/s,3.26 KiB/s,3.26 KiB/s
2026-02-10 14:25:00,39.5 KiB/s,3.31 KiB/s,3.28 KiB/s,3.29 KiB/s
2026-02-10 14:26:00,35.4 KiB/s,2.72 KiB/s,2.69 KiB/s,2.70 KiB/s
2026-02-10 14:27:00,29.2 KiB/s,3.51 KiB/s,3.49 KiB/s,3.52 KiB/s
2026-02-10 14:28:00,29.2 KiB/s,3.45 KiB/s,3.41 KiB/s,3.45 KiB/s
2026-02-10 14:29:00,29.2 KiB/s,2.73 KiB/s,2.68 KiB/s,2.72 KiB/s
2026-02-10 14:30:00,29.2 KiB/s,3.24 KiB/s,3.24 KiB/s,3.28 KiB/s
2026-02-10 14:31:00,35.2 KiB/s,3.25 KiB/s,3.24 KiB/s,3.29 KiB/s
2026-02-10 14:32:00,39.9 KiB/s,2.36 KiB/s,2.34 KiB/s,2.37 KiB/s
2026-02-10 14:33:00,39.2 KiB/s,3.00 KiB/s,2.99 KiB/s,3.00 KiB/s
2026-02-10 14:34:00,39.2 KiB/s,3.11 KiB/s,3.09 KiB/s,3.10 KiB/s
2026-02-10 14:35:00,39.1 KiB/s,2.41 KiB/s,2.37 KiB/s,2.37 KiB/s
2026-02-10 14:36:00,39.2 KiB/s,3.05 KiB/s,3.02 KiB/s,3.01 KiB/s
2026-02-10 14:37:00,40.7 KiB/s,3.07 KiB/s,3.04 KiB/s,3.03 KiB/s
2026-02-10 14:38:00,38.0 KiB/s,3.15 KiB/s,3.10 KiB/s,3.08 KiB/s
2026-02-10 14:39:00,38.0 KiB/s,3.08 KiB/s,3.04 KiB/s,3.02 KiB/s
2026-02-10 14:40:00,38.1 KiB/s,3.66 KiB/s,3.61 KiB/s,3.58 KiB/s
2026-02-10 14:41:00,38.0 KiB/s,3.21 KiB/s,3.15 KiB/s,3.13 KiB/s
2026-02-10 14:42:00,38.0 KiB/s,3.20 KiB/s,3.15 KiB/s,3.13 KiB/s
2026-02-10 14:43:00,39.3 KiB/s,3.23 KiB/s,3.19 KiB/s,3.17 KiB/s
2026-02-10 14:44:00,39.5 KiB/s,4.00 KiB/s,3.95 KiB/s,3.92 KiB/s
2026-02-10 14:45:00,39.4 KiB/s,3.54 KiB/s,3.50 KiB/s,3.48 KiB/s
2026-02-10 14:46:00,39.5 KiB/s,4.09 KiB/s,4.05 KiB/s,4.02 KiB/s
2026-02-10 14:47:00,39.5 KiB/s,4.19 KiB/s,4.14 KiB/s,4.11 KiB/s
2026-02-10 14:48:00,40.4 KiB/s,4.17 KiB/s,4.13 KiB/s,4.10 KiB/s
2026-02-10 14:49:00,32.4 KiB/s,3.32 KiB/s,3.28 KiB/s,3.26 KiB/s
2026-02-10 14:50:00,24.4 KiB/s,3.16 KiB/s,3.13 KiB/s,3.11 KiB/s
2026-02-10 14:51:00,16.4 KiB/s,2.27 KiB/s,2.25 KiB/s,2.24 KiB/s
2026-02-10 14:52:00,8.52 KiB/s,2.14 KiB/s,2.13 KiB/s,2.13 KiB/s
2026-02-10 14:53:00,4.04 KiB/s,2.26 KiB/s,2.25 KiB/s,2.26 KiB/s
2026-02-10 14:54:00,11.9 KiB/s,2.29 KiB/s,2.28 KiB/s,2.29 KiB/s
2026-02-10 14:55:00,19.9 KiB/s,2.39 KiB/s,2.37 KiB/s,2.39 KiB/s
2026-02-10 14:56:00,27.9 KiB/s,3.18 KiB/s,3.15 KiB/s,3.16 KiB/s
