Time,"gc=""Copy"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","gc=""Copy"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","gc=""Copy"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","gc=""G1 Old Generation"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","gc=""G1 Old Generation"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","gc=""G1 Old Generation"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","gc=""G1 Young Generation"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","gc=""G1 Young Generation"",instance=""rskj-miner3:8080"",job=""rskj-jvm"",name=""rskj-miner3""","gc=""G1 Young Generation"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","gc=""MarkSweepCompact"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","gc=""MarkSweepCompact"",instance=""rskj-miner4:8080"",job=""rskj-jvm"",name=""rskj-miner4""","gc=""MarkSweepCompact"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1"""
2026-03-09 18:34:08,0.03084745762711877,0.019729482355334102,0.00915223212772447,0,0,0,0.017915861554629004,0.03507017424910168,0.04215325683486152,0,0,0
2026-03-09 18:34:38,0.04339645030597892,0.02124052821616857,0.0102893563643144,0,0,0,0.020003051312912135,0.030343097369134906,0.04049907609893375,0,0,0
2026-03-09 18:35:08,0.03174845325875058,0.014628110380364764,0.007373506229341388,0,0,0,0.013662174760572887,0.014407512246385432,0.006949505907080084,0,0,0
2026-03-09 18:35:38,0.01571159810850651,0.01083014135114057,0.0059319017677067504,0,0,0,0.008016541531786502,0.005609979322734874,0.008745466255381144,0,0,0
2026-03-09 18:36:08,0.011406972999542396,0.007491906368120536,0.0048476219532865746,0,0,0,0.007169613044288918,0.0051527170412555496,0.010695821679803378,0,0,0
2026-03-09 18:36:38,0.0065597667638484045,0.005949656750572067,0.002034174125305083,0,0,0,0.005831101467945914,0.0040512594501135235,0.0029493524984744645,0,0,0
2026-03-09 18:37:08,0.0128650609353018,0.007424106310490404,0.005407054595996451,0,0,0,0.00862755733342374,0.012237910402223863,0.0168144142922521,0,0,0
2026-03-09 18:37:38,0.011915658157903707,0.005152629705588024,0.007576271186440724,0,0,0,0.01081337604447379,0.01294915254237281,0.021101694915254193,0,0,0
2026-03-09 18:38:08,0.008914498771290505,0.005660537242606373,0.010355054656385004,0,0,0,0.007457121551081244,0.0026099040775514944,0.008897852651560066,0,0,0
2026-03-09 18:38:38,0.012252575921908874,0.008270065075921899,0.01157450558389398,0,0,0,0.006456751626898051,0.003491111224092109,0.006541375044484667,0,0,0
