Time,"__name__=""dockerstats_memory_usage_bytes"",id=""17ef20308244"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""5908e1cf1196"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""65ccd0dfcf1e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""a05a8b036732"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""b12444cde5cc"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3""","__name__=""dockerstats_memory_usage_bytes"",id=""da1eba265bff"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4"""
2026-03-09 18:34:08,3776856064,5050097664,3844820992,4273029120,4258746368,4225302528
2026-03-09 18:34:38,3776860160,5078528000,3874111488,4273176576,4283113472,4244398080
2026-03-09 18:35:08,3777839104,5034483712,3915100160,4274221056,4294660096,4274044928
2026-03-09 18:35:38,3778285568,5063831552,3848196096,4274810880,4193910784,4294438912
2026-03-09 18:36:08,3780050944,5090955264,3867738112,4277067776,4210470912,4201418752
2026-03-09 18:36:38,3780374528,5021396992,3886166016,4277358592,4225396736,4216627200
2026-03-09 18:37:08,3780571136,5043707904,3907522560,4277784576,4242022400,4232601600
2026-03-09 18:37:38,3781410816,5059186688,3922763776,4278996992,4256428032,4245602304
2026-03-09 18:38:08,3782393856,5064658944,3929522176,4280434688,4260790272,4249542656
2026-03-09 18:38:38,3782762496,5080289280,3952881664,4281307136,4275322880,4263780352
2026-03-09 18:39:08,3783380992,5090721792,3965915136,4282019840,4285960192,4273278976
2026-03-09 18:39:38,3784208384,5102895104,3975913472,4282802176,4294688768,4282671104
2026-03-09 18:40:08,3787341824,5113421824,3896741888,4282904576,4294225920,4281450496
2026-03-09 18:40:38,3788525568,5125554176,3912708096,4286447616,4192149504,4289683456
2026-03-09 18:41:08,3788673024,5047222272,3922079744,4286533632,4197871616,4190900224
2026-03-09 18:41:38,3792965632,5062823936,3929325568,4286595072,4203413504,4196671488
2026-03-09 18:42:08,3793088512,5078593536,3939364864,4286668800,4207742976,4200607744
