Time,"__name__=""promtail_custom_block_uncle_count"",container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-03-05 19:28:32,0
2026-03-05 19:29:02,0
2026-03-05 19:29:32,0
2026-03-05 19:30:02,0
2026-03-05 19:30:32,1
2026-03-05 19:31:02,0
2026-03-05 19:31:32,0
2026-03-05 19:32:02,0
2026-03-05 19:32:32,0
2026-03-05 19:33:02,0
2026-03-05 19:33:32,0
2026-03-05 19:34:02,0
2026-03-05 19:34:32,0
2026-03-05 19:35:02,0
2026-03-05 19:35:32,0
2026-03-05 19:36:02,0
2026-03-05 19:36:32,0
2026-03-05 19:37:02,0
2026-03-05 19:37:32,0
2026-03-05 19:38:02,0
2026-03-05 19:38:32,0
2026-03-05 19:39:02,0
2026-03-05 19:39:32,0
2026-03-05 19:40:02,0
2026-03-05 19:40:32,0
2026-03-05 19:41:02,0
2026-03-05 19:41:32,0
2026-03-05 19:42:02,0
2026-03-05 19:42:32,0
2026-03-05 19:43:02,0
2026-03-05 19:43:32,0
2026-03-05 19:44:02,0
2026-03-05 19:44:32,0
2026-03-05 19:45:02,0
2026-03-05 19:45:32,0
2026-03-05 19:46:02,0
2026-03-05 19:46:32,0
2026-03-05 19:47:02,0
2026-03-05 19:47:32,0
2026-03-05 19:48:02,0
2026-03-05 19:48:32,1
2026-03-05 19:49:02,0
2026-03-05 19:49:32,0
2026-03-05 19:50:02,0
2026-03-05 19:50:32,0
2026-03-05 19:51:02,0
2026-03-05 19:51:32,0
2026-03-05 19:52:02,1
2026-03-05 19:52:32,0
2026-03-05 19:53:02,0
2026-03-05 19:53:32,0
2026-03-05 19:54:02,0
2026-03-05 19:54:32,0
2026-03-05 19:55:02,0
2026-03-05 19:55:32,0
2026-03-05 19:56:02,0
2026-03-05 19:56:32,0
2026-03-05 19:57:02,0
2026-03-05 19:57:32,0
2026-03-05 19:58:02,0
2026-03-05 19:58:32,0
2026-03-05 19:59:02,0
2026-03-05 19:59:32,0
2026-03-05 20:00:02,0
2026-03-05 20:00:32,0
2026-03-05 20:01:02,0
2026-03-05 20:01:32,0
2026-03-05 20:02:02,0
2026-03-05 20:02:32,0
2026-03-05 20:03:02,0
2026-03-05 20:03:32,0
2026-03-05 20:04:02,0
2026-03-05 20:04:32,0
2026-03-05 20:05:02,0
2026-03-05 20:05:32,0
2026-03-05 20:06:02,0
2026-03-05 20:06:32,0
2026-03-05 20:07:02,0
2026-03-05 20:07:32,0
2026-03-05 20:08:02,0
2026-03-05 20:08:32,0
2026-03-05 20:09:02,0
2026-03-05 20:09:32,0
2026-03-05 20:10:02,0
2026-03-05 20:10:32,1
2026-03-05 20:11:02,0
2026-03-05 20:11:32,0
2026-03-05 20:12:02,0
2026-03-05 20:12:32,0
2026-03-05 20:13:02,0
2026-03-05 20:13:32,0
2026-03-05 20:14:02,0
2026-03-05 20:14:32,0
2026-03-05 20:15:02,0
2026-03-05 20:15:32,0
2026-03-05 20:16:02,0
2026-03-05 20:16:32,0
2026-03-05 20:17:02,0
2026-03-05 20:17:32,0
2026-03-05 20:18:02,0
2026-03-05 20:18:32,0
2026-03-05 20:19:02,0
2026-03-05 20:19:32,0
2026-03-05 20:20:02,0
2026-03-05 20:20:32,0
2026-03-05 20:21:02,0
2026-03-05 20:21:32,0
2026-03-05 20:22:02,0
2026-03-05 20:22:32,0
