Time,"__name__=""dockerstats_memory_usage_bytes"",id=""19c98afb5d8e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner4""","__name__=""dockerstats_memory_usage_bytes"",id=""22ec4669ab6e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""3bd64936d549"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""4c36ab46243a"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""8550f126da22"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""a86735e5c58a"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner3"""
2026-03-05 19:28:32,3897372672,3863465984,4395266048,3639255040,4015140864,4190519296
2026-03-05 19:29:02,3898335232,3864449024,4396445696,3640168448,4016422912,4192264192
2026-03-05 19:29:32,3901157376,3884007424,4398714880,3642703872,4043665408,4197244928
2026-03-05 19:30:02,3916718080,3885772800,4400381952,3644354560,4060827648,4200263680
2026-03-05 19:30:32,3920183296,3901476864,4403703808,3647705088,4072022016,4203790336
2026-03-05 19:31:02,3934961664,3908169728,4406185984,3679186944,4096761856,4209577984
2026-03-05 19:31:32,3966779392,3909103616,4407070720,3680067584,4114968576,4210491392
2026-03-05 19:32:02,3967623168,3947216896,4407889920,3705475072,4124356608,4211331072
2026-03-05 19:32:32,3968524288,3948126208,4408754176,3706351616,4125958144,4213018624
2026-03-05 19:33:02,3990552576,3951210496,4411789312,3729125376,4139094016,4218966016
2026-03-05 19:33:32,3991461888,3952123904,4412661760,3729989632,4157493248,4220653568
2026-03-05 19:34:02,4011954176,3993169920,4416237568,3751927808,4199424000,4228751360
2026-03-05 19:34:32,4045041664,4026208256,4419985408,3772555264,4206415872,4233785344
2026-03-05 19:35:02,4045090816,4026220544,4420001792,3772563456,4207697920,4233785344
2026-03-05 19:35:32,4065185792,4044046336,4421300224,3792404480,4210675712,4235096064
