Time,"exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","exported_name=""BLOCKCHAIN_FLUSH"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-18 13:33:46,0,0,0,0
2026-03-18 13:34:16,0,0,0,0
2026-03-18 13:34:46,0,0,0,0
2026-03-18 13:35:16,0,0,0,0
2026-03-18 13:35:46,0,0,0,0
2026-03-18 13:36:16,0,0,0,0
2026-03-18 13:36:46,0,0,0,0
2026-03-18 13:37:16,0,0,0,0
2026-03-18 13:37:46,0,0,0,0
2026-03-18 13:38:16,0,0,0,0
2026-03-18 13:38:46,0,0,0,0
2026-03-18 13:39:16,0,0,0,0
2026-03-18 13:39:46,0,0,0,0
2026-03-18 13:40:16,0,0,0,0
2026-03-18 13:40:46,0,0,0,0
2026-03-18 13:41:16,0,0,0,0
2026-03-18 13:41:46,0,0,0,0
2026-03-18 13:42:16,0,0,0,0
2026-03-18 13:42:46,0,0,0,0
2026-03-18 13:43:16,0,0,0,0
2026-03-18 13:43:46,0,0,0,0
2026-03-18 13:44:16,0,0,0,0
2026-03-18 13:44:46,0,0,0,0
2026-03-18 13:45:16,0,0,0,0
2026-03-18 13:45:46,0,0,0,0
2026-03-18 13:46:16,0,0,0,0
2026-03-18 13:46:46,0,0,0,0
2026-03-18 13:47:16,0,0,0,0
2026-03-18 13:47:46,0,0,0,0
2026-03-18 13:48:16,0,0,0,0
2026-03-18 13:48:46,0,0,0,0
2026-03-18 13:49:16,0,0,0,0
2026-03-18 13:49:46,0,0,0,0
2026-03-18 13:50:16,0,0,0,0
2026-03-18 13:50:46,0,0,0,0
2026-03-18 13:51:16,0,0,0,0
2026-03-18 13:51:46,0,0,0,0
2026-03-18 13:52:16,0,0,0,0
2026-03-18 13:52:46,0,0,0,0
2026-03-18 13:53:16,0,0,0,0
2026-03-18 13:53:46,0,0,0,0
2026-03-18 13:54:16,0,0,0,0
2026-03-18 13:54:46,0,0,0,0
2026-03-18 13:55:16,0,0,0,0
2026-03-18 13:55:46,0,0,0,0
2026-03-18 13:56:16,0,0,0,0
2026-03-18 13:56:46,0,0,0,0
2026-03-18 13:57:16,0,0,0,0
2026-03-18 13:57:46,0,0,0,0
2026-03-18 13:58:16,0,0,0,0
2026-03-18 13:58:46,0,0,0,0
2026-03-18 13:59:16,0,0,0,0
2026-03-18 13:59:46,0,0,0,0
2026-03-18 14:00:16,0,0,0,0
2026-03-18 14:00:46,0,0,0,0
2026-03-18 14:01:16,0,0,0,0
2026-03-18 14:01:46,0,0,0,0
2026-03-18 14:02:16,0,0,0,0
2026-03-18 14:02:46,0,0,0,0
2026-03-18 14:03:16,0,0,0,0
2026-03-18 14:03:46,0,0,0,0
2026-03-18 14:04:16,0,0,0,0
2026-03-18 14:04:46,0,0,0,0
2026-03-18 14:05:16,0,0,0,0
2026-03-18 14:05:46,0,0,0,0
2026-03-18 14:06:16,0,0,0,0
2026-03-18 14:06:46,0,0,0,0
2026-03-18 14:07:16,0,0,0,0
2026-03-18 14:07:46,0,0,0,0
2026-03-18 14:08:16,0,0,0,0
2026-03-18 14:08:46,0,0,0,0
2026-03-18 14:09:16,0,0,0,0
2026-03-18 14:09:46,0,0,0,0
2026-03-18 14:10:16,0,0,0,0
2026-03-18 14:10:46,0,0,0,0
2026-03-18 14:11:16,0,0,0,0
2026-03-18 14:11:46,0,0,0,0
2026-03-18 14:12:16,0,0,0,0
2026-03-18 14:12:46,0,0,0,0
2026-03-18 14:13:16,0,0,0,0
2026-03-18 14:13:46,0,0,0,0
2026-03-18 14:14:16,0,0,0,0
2026-03-18 14:14:46,0,0,0,0
2026-03-18 14:15:16,0,0,0,0
2026-03-18 14:15:46,0,0,0,0
2026-03-18 14:16:16,0,0,0,0
2026-03-18 14:16:46,0,0,0,0
2026-03-18 14:17:16,0,0,0,0
2026-03-18 14:17:46,0,0,0,0
2026-03-18 14:18:16,0,0,0,0
2026-03-18 14:18:46,0,0,0,0
2026-03-18 14:19:16,0,0,0,0
2026-03-18 14:19:46,0,0,0,0
2026-03-18 14:20:16,0,0,0,0
2026-03-18 14:20:46,0,0,0,0
2026-03-18 14:21:16,0,0,0,0
2026-03-18 14:21:46,0,0,0,0
2026-03-18 14:22:16,0,0,0,0
2026-03-18 14:22:46,0,0,0,0
