Time,"__name__=""dockerstats_memory_usage_bytes"",id=""09ebf7e7d250"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""134e56fd1342"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""631f11f139a9"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""d3194ca29113"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1"""
2026-03-18 13:33:46,2625564672,4451368960,4425105408,2705285120
2026-03-18 13:34:16,2635198464,4391608320,4490989568,2714759168
2026-03-18 13:34:46,2639687680,4428296192,4415184896,2719236096
2026-03-18 13:35:16,2648907776,4370092032,4467945472,2728419328
2026-03-18 13:35:46,2648973312,4403724288,4502065152,2728529920
2026-03-18 13:36:16,2657828864,4447023104,4441272320,2737311744
2026-03-18 13:36:46,2662555648,4373807104,4474032128,2741526528
2026-03-18 13:37:16,2666659840,4414341120,4428079104,2745524224
2026-03-18 13:37:46,2689445888,4455546880,4471521280,2767974400
2026-03-18 13:38:16,2694082560,4368142336,4492169216,2772758528
2026-03-18 13:38:46,2698764288,4384735232,4517154816,2776985600
2026-03-18 13:39:16,2707820544,4414373888,4433006592,2786058240
2026-03-18 13:39:46,2712305664,4431077376,4454072320,2790756352
2026-03-18 13:40:16,2624323584,4371005440,4496986112,2701275136
2026-03-18 13:40:46,2629152768,4387631104,4513677312,2706350080
2026-03-18 13:41:16,2633691136,4408123392,4425809920,2711003136
2026-03-18 13:41:46,2651635712,4453523456,4471185408,2729021440
2026-03-18 13:42:16,2660990976,4379533312,4505104384,2738368512
2026-03-18 13:42:46,2669973504,4410798080,4429070336,2749665280
2026-03-18 13:43:16,2670272512,4430131200,4448370688,2749734912
2026-03-18 13:43:46,2674774016,4454498304,4472680448,2754260992
2026-03-18 13:44:16,2688253952,4392361984,4417708032,2767884288
2026-03-18 13:44:46,2706751488,4437327872,4455919616,2786054144
2026-03-18 13:45:16,2714976256,4457873408,4476497920,2795122688
2026-03-18 13:45:46,2715222016,4365889536,4491984896,2795192320
2026-03-18 13:46:16,2629619712,4419080192,4436652032,2709360640
2026-03-18 13:46:46,2638602240,4446302208,4463882240,2718531584
2026-03-18 13:47:16,2651197440,4378054656,4503830528,2731118592
2026-03-18 13:47:46,2656620544,4407488512,4426629120,2738229248
2026-03-18 13:48:16,2667134976,4443136000,4462325760,2747379712
2026-03-18 13:48:46,2667134976,4473831424,4497502208,2747465728
2026-03-18 13:49:16,2680692736,4424581120,4446793728,2760118272
2026-03-18 13:49:46,2700779520,4378832896,4504436736,2778120192
2026-03-18 13:50:16,2714292224,4435808256,4445765632,2791641088
2026-03-18 13:50:46,2723610624,4380999680,4494278656,2800640000
2026-03-18 13:51:16,2634301440,4424658944,4434116608,2710609920
2026-03-18 13:51:46,2634346496,4460204032,4469817344,2710626304
2026-03-18 13:52:16,2648289280,4442886144,4449832960,2724151296
2026-03-18 13:52:46,2652848128,4396687360,4513075200,2728677376
2026-03-18 13:53:16,2666434560,4374794240,4492468224,2742153216
2026-03-18 13:53:46,2675449856,4438163456,4446957568,2751111168
2026-03-18 13:54:16,2680016896,4386676736,4503625728,2757750784
2026-03-18 13:54:46,2689679360,4468764672,4470870016,2767380480
2026-03-18 13:55:16,2698280960,4432580608,4444811264,2775760896
2026-03-18 13:55:46,2711719936,4410449920,4530917376,2789212160
2026-03-18 13:56:16,2716270592,4484755456,4496924672,2793725952
2026-03-18 13:56:46,2720874496,4457828352,4469006336,2798260224
2026-03-18 13:57:16,2734395392,4387676160,4507508736,2811740160
2026-03-18 13:57:46,2631794688,4417523712,4529864704,2708443136
2026-03-18 13:58:16,2647457792,4448034816,4460748800,2721968128
2026-03-18 13:58:46,2674302976,4399521792,4522270720,2748694528
2026-03-18 13:59:16,2687782912,4434014208,4448366592,2762129408
2026-03-18 13:59:46,2692595712,4454174720,4468465664,2766639104
2026-03-18 14:00:16,2702086144,4469547008,4488761344,2775818240
2026-03-18 14:00:46,2724397056,4476039168,4492013568,2798075904
2026-03-18 14:01:16,2732544000,4464164864,4479856640,2807078912
2026-03-18 14:01:46,2638172160,4475826176,4501532672,2713542656
2026-03-18 14:02:16,2642624512,4396838912,4536053760,2718007296
2026-03-18 14:02:46,2660220928,4403499008,4539916288,2735632384
2026-03-18 14:03:16,2664656896,4443975680,4470427648,2740117504
2026-03-18 14:03:46,2670477312,4484915200,4506218496,2745909248
