Time,"__name__=""node_load1"",instance=""host.docker.internal:9300"",job=""node-exporter"""
2026-03-18 13:33:46,9.44
2026-03-18 13:34:16,9.62
2026-03-18 13:34:46,11.03
2026-03-18 13:35:16,11.46
2026-03-18 13:35:46,11.34
2026-03-18 13:36:16,12.65
2026-03-18 13:36:46,12.31
2026-03-18 13:37:16,11.17
2026-03-18 13:37:46,9.13
2026-03-18 13:38:16,7.47
2026-03-18 13:38:46,6.3
2026-03-18 13:39:16,5.6
2026-03-18 13:39:46,6.62
2026-03-18 13:40:16,6.11
2026-03-18 13:40:46,5.72
2026-03-18 13:41:16,5.75
2026-03-18 13:41:46,6.44
2026-03-18 13:42:16,6.07
2026-03-18 13:42:46,6.57
2026-03-18 13:43:16,5.51
2026-03-18 13:43:46,4.94
2026-03-18 13:44:16,4.95
2026-03-18 13:44:46,4.9
2026-03-18 13:45:16,4.88
2026-03-18 13:45:46,4.85
2026-03-18 13:46:16,4.96
2026-03-18 13:46:46,4.98
2026-03-18 13:47:16,5.19
2026-03-18 13:47:46,5.44
2026-03-18 13:48:16,7.13
2026-03-18 13:48:46,6.89
2026-03-18 13:49:16,7.17
2026-03-18 13:49:46,8.17
2026-03-18 13:50:16,8.66
2026-03-18 13:50:46,8.85
2026-03-18 13:51:16,9.06
2026-03-18 13:51:46,9.14
2026-03-18 13:52:16,9.01
2026-03-18 13:52:46,8.95
2026-03-18 13:53:16,9.09
2026-03-18 13:53:46,8.15
2026-03-18 13:54:16,7.8
2026-03-18 13:54:46,8.06
2026-03-18 13:55:16,8.72
2026-03-18 13:55:46,9.48
2026-03-18 13:56:16,9.81
2026-03-18 13:56:46,9.44
2026-03-18 13:57:16,11.21
2026-03-18 13:57:46,12.86
2026-03-18 13:58:16,13.47
2026-03-18 13:58:46,12.93
2026-03-18 13:59:16,10.92
2026-03-18 13:59:46,12.94
2026-03-18 14:00:16,14.62
2026-03-18 14:00:46,13.81
2026-03-18 14:01:16,11.3
2026-03-18 14:01:46,11
2026-03-18 14:02:16,12.94
2026-03-18 14:02:46,12.23
2026-03-18 14:03:16,12.37
2026-03-18 14:03:46,15.32
2026-03-18 14:04:16,14.23
2026-03-18 14:04:46,12.86
2026-03-18 14:05:16,11.06
2026-03-18 14:05:46,10.32
2026-03-18 14:06:16,10.1
2026-03-18 14:06:46,10.69
2026-03-18 14:07:16,9.14
2026-03-18 14:07:46,7.07
