Time,"__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-miner1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-miner2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-node1"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail""","__name__=""promtail_custom_block_processed_after_seconds"",container_id=""rskj-node2"",exported_job=""docker-json-logs"",instance=""host.docker.internal:9080"",job=""promtail"",source=""promtail"""
2026-03-18 13:48:16,0.023604,0.005685,0.003492,0.004003
2026-03-18 13:48:46,,,0.833334,0.797368
2026-03-18 13:49:16,0.004026,0.831508,0.831677,0.839301
2026-03-18 13:49:46,0.82223,0.702079,0.827922,0.826712
2026-03-18 13:50:16,,,0.957713,0.963863
2026-03-18 13:50:46,0.894963,0.002259,0.00071,0.987448
2026-03-18 13:51:16,0.857137,,0.882027,0.860782
2026-03-18 13:51:46,,,0.889012,0.933265
2026-03-18 13:52:16,0.803978,0.78055,0.804102,0.801666
2026-03-18 13:52:46,,,0.86361,0.850589
2026-03-18 13:53:16,0.877485,0.968601,0.839385,0.85365
2026-03-18 13:53:46,0.982342,,,
2026-03-18 13:54:16,0.008514,0.009313,0.008586,0.005332
2026-03-18 13:54:46,,,0.830087,0.812328
2026-03-18 13:55:16,,,0.932011,0.892989
2026-03-18 13:55:46,,,0.957481,0.918116
2026-03-18 13:56:46,,,0.856808,0.883478
2026-03-18 13:57:16,,,0.856649,0.870587
2026-03-18 13:57:46,0.849228,,0.821114,0.816763
2026-03-18 13:58:46,,0.000583,,
2026-03-18 13:59:16,,0.000021,,
2026-03-18 13:59:46,,,,0.995452
2026-03-18 14:01:16,,,0.895722,0.868342
2026-03-18 14:01:46,0.940176,,0.918213,0.849446
2026-03-18 14:02:16,,,,0.947436
2026-03-18 14:02:46,0.006664,0.012134,0.005729,0.008452
2026-03-18 14:03:46,,,,0.995189
