Time,"gc=""G1 Old Generation"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","gc=""G1 Old Generation"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","gc=""G1 Old Generation"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","gc=""G1 Old Generation"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2""","gc=""G1 Young Generation"",instance=""rskj-miner1:8080"",job=""rskj-jvm"",name=""rskj-miner1""","gc=""G1 Young Generation"",instance=""rskj-miner2:8080"",job=""rskj-jvm"",name=""rskj-miner2""","gc=""G1 Young Generation"",instance=""rskj-node1:8080"",job=""rskj-jvm"",name=""rskj-node1""","gc=""G1 Young Generation"",instance=""rskj-node2:8080"",job=""rskj-jvm"",name=""rskj-node2"""
2026-03-18 13:33:46,0,0,0,0,0.0022202260901988033,0.0019152542372881355,0.0011016762427755453,0.0006101694915254242
2026-03-18 13:34:16,0,0,0,0,0.0014916518349012604,0.0010170008644507357,0.0003051054308766699,0.0006102108617533398
2026-03-18 13:34:46,0,0,0,0,0.001237267164963305,0.0011864205691429007,0,0
2026-03-18 13:35:16,0,0,0,0,0.0015083723137414443,0.0019490534379607851,0.0007118282121248078,0.001321989085115756
2026-03-18 13:35:46,0,0,0,0,0.0011186440677966112,0.0016948865273469882,0.0007118523414857381,0.001321989085115756
2026-03-18 13:36:16,0,0,0,0,0.0022372502160980306,0.001491550704249226,0.00035593823624129446,0
2026-03-18 13:36:46,0,0,0,0,0.0027121402176492476,0.0017459106703958,0.00035596236969234903,0
2026-03-18 13:37:16,0,0,0,0,0.0016609606454018482,0.0009661016949152532,0,0.0008135455331265579
2026-03-18 13:37:46,0,0,0,0,0.0008473714537504705,0.00040672451193058605,0.000474519972206684,0.000813449023861172
2026-03-18 13:38:16,0,0,0,0,0.0003728687163146977,0.00040677276656327896,0.00047457627118643734,0
2026-03-18 13:38:46,0,0,0,0,0.0003728939964066544,0,0,0.0005593315140934616
2026-03-18 13:39:16,0,0,0,0,0,0.0003389830508474579,0,0.0005593030744720541
2026-03-18 13:39:46,0,0,0,0,0.00020338638328163948,0.0003389830508474579,0.0005762614192979785,0
2026-03-18 13:40:16,0,0,0,0,0.00020338638328163948,0.00028813559322033735,0.0005762614192979785,0.0004745601844005254
2026-03-18 13:40:46,0,0,0,0,0.00040677276656327896,0.00028813559322033735,0,0.00047458431498838635
2026-03-18 13:41:16,0,0,0,0,0.0004067796610169495,0.00032202844019593106,0.0003559322033898327,0
2026-03-18 13:41:46,0,0,0,0,0.00033897730546939914,0.00032202298227178956,0.0003559322033898327,0.0003898239012898109
2026-03-18 13:42:16,0,0,0,0,0.0003389830508474579,0.00022033524855510756,0.0004915170929306269,0.00038983711588332234
2026-03-18 13:42:46,0,0,0,0,0.000457634875167378,0.0002203315141859581,0.0004915420861724111,0
2026-03-18 13:43:16,0,0,0,0,0.0004576891781936557,0.0002712370102900543,0,0
2026-03-18 13:43:46,0,0,0,0,0.0003391152483171408,0.00027127839945744343,0,0.0005934214988131556
2026-03-18 13:44:16,0,0,0,0,0.0003390692548953127,0.00015257599132011962,0.0004068693101869907,0.0005933410185122383
2026-03-18 13:44:46,0,0,0,0,0.0004237359955253464,0.0004237359955253464,0.0004067796610169495,0.0004745762711864411
