Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-node1""","name=""rskj-node2"""
2026-03-18 13:34:16,,1.015874417,,
2026-03-18 13:35:16,,,1.387863334,1.138778334
2026-03-18 13:36:16,,,,1.093458542
2026-03-18 13:38:16,1.001373959,,1.587156501,1.116020709
2026-03-18 13:49:16,1.050895418,,,
2026-03-18 13:52:16,1.056119959,,,1.001072459
2026-03-18 13:55:16,,1.062460001,,
2026-03-18 13:56:16,,,1.284481542,1.399577876
2026-03-18 13:57:16,1.129194959,,1.03004675,
2026-03-18 13:59:16,,,1.059038542,1.025062542
2026-03-18 14:00:16,1.204976292,1.094879667,1.651733918,1.689533751
2026-03-18 14:01:16,1.174299,1.170333959,,
2026-03-18 14:03:16,,,1.047455834,
2026-03-18 14:04:16,1.308088334,,1.045254251,
2026-03-18 14:06:16,1.096604167,1.369253501,,1.231801959
2026-03-18 14:14:16,1.2143855,,,
2026-03-18 14:20:16,1.008144333,,,
2026-03-18 14:24:16,1.159557959,,,
2026-03-18 14:25:16,,1.001410626,1.042015584,1.090174959
2026-03-18 14:28:16,,1.030675375,1.072277793,
2026-03-18 14:29:16,1.000181709,1.218318625,1.10930025,1.055266584
2026-03-18 14:30:16,1.130575125,1.246147084,1.753447376,1.276788334
2026-03-18 14:31:16,1.201846293,1.193995917,1.600299334,1.492480417
2026-03-18 14:32:16,1.089615209,1.031150792,1.302293583,1.217343375
2026-03-18 14:33:16,,1.145108083,1.919896001,1.720671168
2026-03-18 14:34:16,,,1.18564775,1.062006751
2026-03-18 14:37:16,1.019376917,1.039397209,1.136837709,1.204091209
2026-03-18 14:40:16,1.120666293,1.315535375,1.325607126,1.153602876
2026-03-18 14:41:16,1.142573917,,,1.058244334
2026-03-18 14:45:16,,1.075298917,,
2026-03-18 14:50:16,,1.066078459,,
2026-03-18 14:52:16,,,,1.032043167
2026-03-18 14:53:16,,1.002697751,1.075200209,
2026-03-18 14:54:16,1.094918876,,1.134487043,1.126201376
2026-03-18 14:55:16,,,1.115269459,1.166987292
2026-03-18 14:57:16,1.013216333,,1.001183834,
2026-03-18 14:58:16,,1.019432459,,1.036095501
2026-03-18 14:59:16,1.11926875,1.052737375,1.488107001,1.414534376
2026-03-18 15:00:16,1.049238209,1.310752959,1.377715959,1.501929168
2026-03-18 15:01:16,1.256415167,1.104006584,1.103902584,1.472360125
2026-03-18 15:02:16,,1.189407667,1.310773251,1.270053542
2026-03-18 15:03:16,,,1.217067875,1.249140876
2026-03-18 15:04:16,1.047928792,,1.243589501,1.045002208
2026-03-18 15:05:16,,,1.117415126,1.174909501
2026-03-18 15:06:16,,,1.067136209,1.111922001
2026-03-18 15:07:16,,,1.027350834,1.143980334
2026-03-18 15:08:16,,,1.922745418,1.213840626
2026-03-18 15:09:16,,,1.057005459,1.134011876
2026-03-18 15:13:16,1.004679375,1.021475751,,
2026-03-18 15:14:16,,,,1.010374375
2026-03-18 15:16:16,,,1.0778975,1.118798543
2026-03-18 15:21:16,,,1.018223001,1.036377542
2026-03-18 15:29:16,1.050253334,,,
2026-03-18 15:30:16,,,1.132991876,1.149181251
2026-03-18 15:31:16,1.20726575,1.205975626,1.549168918,1.493358543
2026-03-18 15:32:16,1.554864584,1.236759709,1.728922334,1.776767459
2026-03-18 15:33:16,,,1.144348167,1.126607959
