Time,"__name__=""dockerstats_memory_usage_bytes"",id=""28705afdbca8"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""368735e63803"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node2""","__name__=""dockerstats_memory_usage_bytes"",id=""8ec034c1818e"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""a1f0b4dd9f82"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""a269273980e4"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner1""","__name__=""dockerstats_memory_usage_bytes"",id=""b56998031a7f"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-node1""","__name__=""dockerstats_memory_usage_bytes"",id=""bba2155de402"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2""","__name__=""dockerstats_memory_usage_bytes"",id=""c0c8ee8b8a67"",instance=""docker-stats-exporter:9487"",job=""docker-stats-exporter"",name=""rskj-miner2"""
2026-03-16 19:22:54,,1230745600,1593057280,,3064545280,,3047272448,
2026-03-16 19:23:24,,1253421056,1599311872,,3140759552,,3151020032,
2026-03-16 19:23:54,,1265254400,1602129920,,3096842240,,3106201600,
2026-03-16 19:24:24,,1265823744,1603694592,,3166953472,,3138527232,
2026-03-16 19:24:54,,1289846784,1603833856,,3175170048,,3146752000,
2026-03-16 19:25:24,,1292988416,1749147648,,3196776448,,3150778368,
2026-03-16 19:25:54,,1796571136,1928462336,,3204403200,,3159404544,
2026-03-16 19:26:24,,1965121536,1963769856,,3125985280,,3170873344,
2026-03-16 19:26:54,,1969414144,1977110528,,3141525504,,3183734784,
2026-03-16 19:27:24,,1971654656,1979117568,,3177693184,,3106254848,
2026-03-16 19:27:54,,1972678656,1980264448,,3196862464,,3116920832,
2026-03-16 19:28:24,,1974923264,1991733248,,3209138176,,3125006336,
2026-03-16 19:28:54,,1976213504,1993072640,,3221442560,,3131564032,
2026-03-16 19:29:24,,1982251008,2001305600,,3236167680,,3139854336,
2026-03-16 19:29:54,,2007576576,2002980864,,3249438720,,3145265152,
2026-03-16 19:30:24,,2008850432,2004828160,,3163529216,,3154472960,
2026-03-16 19:30:54,,2012876800,2010144768,,3172786176,,3170164736,
2026-03-16 19:31:24,,2013958144,2020012032,,3187081216,,3183878144,
2026-03-16 19:31:54,,2015428608,2020835328,,3197665280,,3191951360,
2026-03-16 19:32:24,,2018070528,2022817792,,3219255296,,3211194368,
2026-03-16 19:32:54,,2019790848,2023493632,,3234439168,,3220000768,
2026-03-16 19:33:24,,2021093376,2031599616,,3246874624,,3229753344,
2026-03-16 19:33:54,,2044874752,2040537088,,3263594496,,3236466688,
2026-03-16 19:34:24,,2048544768,2051416064,,3277328384,,3248697344,
2026-03-16 19:34:54,,2053992448,2053005312,,3292037120,,3250823168,
2026-03-16 19:35:24,,2054119424,2052583424,,3307810816,,3254636544,
2026-03-16 19:35:54,,2055307264,2053742592,,3227348992,,3263004672,
2026-03-16 19:36:24,,2055868416,2056470528,,3239137280,,3264327680,
2026-03-16 19:36:54,,2058104832,2058530816,,3245731840,,3268714496,
2026-03-16 19:37:24,,2058829824,2059026432,,3249111040,,3273555968,
2026-03-16 19:37:54,,2068922368,2062856192,,3256664064,,3278069760,
2026-03-16 19:38:24,,2069880832,2065879040,,3261374464,,3290107904,
2026-03-16 19:38:54,,2083479552,2075987968,,3268841472,,3207372800,
2026-03-16 19:39:24,,2084278272,2084327424,,3281436672,,3220701184,
2026-03-16 19:39:54,,2085040128,2086961152,,3300487168,,3224416256,
