Time,"__stream_shard__=""0"",container_id=""rskj-miner1"",job=""docker-json-logs"",service_name=""docker-json-logs"",source=""promtail""","__stream_shard__=""1"",container_id=""rskj-miner1"",job=""docker-json-logs"",service_name=""docker-json-logs"",source=""promtail""","__stream_shard__=""2"",container_id=""rskj-miner1"",job=""docker-json-logs"",service_name=""docker-json-logs"",source=""promtail""","container_id=""rskj-miner1"",job=""docker-json-logs"",service_name=""docker-json-logs"",source=""promtail"""
2026-03-16 19:22:30,1800,,3600,450
2026-03-16 19:23:00,1200,3600,900,450
2026-03-16 19:23:30,900,3600,900,450
2026-03-16 19:24:00,900,3600,720,450
2026-03-16 19:24:30,720,3600,720,450
2026-03-16 19:25:00,720,3600,720,300
2026-03-16 19:25:30,720,3600,720,240
2026-03-16 19:26:00,720,3600,720,225
2026-03-16 19:26:30,720,3600,720,163.63636363636363
2026-03-16 19:27:00,720,3600,720,128.57142857142858
2026-03-16 19:27:30,720,3600,720,128.57142857142858
2026-03-16 19:28:00,720,3600,720,116.12903225806451
2026-03-16 19:28:30,720,3600,720,109.0909090909091
2026-03-16 19:29:00,720,3600,720,100
2026-03-16 19:29:30,720,3600,720,94.73684210526315
2026-03-16 19:30:00,720,3600,720,90
2026-03-16 19:30:30,720,3600,720,81.81818181818181
2026-03-16 19:31:00,720,3600,720,78.26086956521739
2026-03-16 19:31:30,720,3600,720,73.46938775510205
2026-03-16 19:32:00,720,3600,720,69.23076923076924
2026-03-16 19:32:30,720,3600,720,66.66666666666667
2026-03-16 19:33:00,720,3600,720,62.06896551724138
2026-03-16 19:33:30,720,3600,720,59.01639344262295
2026-03-16 19:34:00,720,3600,720,54.54545454545455
2026-03-16 19:34:30,720,3600,720,52.94117647058823
2026-03-16 19:35:00,720,3600,720,52.173913043478265
2026-03-16 19:35:30,720,3600,720,50.70422535211268
2026-03-16 19:36:00,720,3600,720,49.31506849315069
2026-03-16 19:36:30,720,3600,720,48.648648648648646
2026-03-16 19:37:00,720,3600,720,46.753246753246756
2026-03-16 19:37:30,720,3600,720,45.56962025316456
2026-03-16 19:38:00,720,3600,720,44.44444444444444
2026-03-16 19:38:30,720,3600,720,43.373493975903614
2026-03-16 19:39:00,720,3600,720,41.37931034482759
2026-03-16 19:39:30,720,3600,720,40.449438202247194
2026-03-16 19:40:00,720,3600,720,40
2026-03-16 19:40:30,720,3600,720,38.70967741935484
2026-03-16 19:41:00,720,3600,720,37.89473684210526
2026-03-16 19:41:30,720,3600,720,37.11340206185567
2026-03-16 19:42:00,720,3600,720,36
2026-03-16 19:42:30,720,3600,720,36
2026-03-16 19:43:00,720,3600,720,35.294117647058826
2026-03-16 19:43:30,720,3600,720,34.285714285714285
2026-03-16 19:44:00,720,3600,720,33.9622641509434
2026-03-16 19:44:30,720,3600,720,33.027522935779814
2026-03-16 19:45:00,720,3600,720,31.858407079646017
2026-03-16 19:45:30,720,3600,720,31.57894736842105
2026-03-16 19:46:00,720,3600,720,30.508474576271183
2026-03-16 19:46:30,720,3600,720,29.75206611570248
2026-03-16 19:47:00,720,3600,720,29.032258064516128
2026-03-16 19:47:30,720,3600,720,28.34645669291339
2026-03-16 19:48:00,720,3600,720,27.692307692307693
2026-03-16 19:48:30,720,3600,720,26.666666666666668
2026-03-16 19:49:00,720,3600,720,26.27737226277372
2026-03-16 19:49:30,720,3600,720,25.714285714285715
2026-03-16 19:50:00,720,3600,720,25.35211267605634
2026-03-16 19:50:30,720,3600,720,25
2026-03-16 19:51:00,720,3600,720,24.657534246575345
2026-03-16 19:51:30,720,3600,720,24.324324324324323
2026-03-16 19:52:00,720,3600,720,24.161073825503355
2026-03-16 19:52:30,720,3600,720,24
2026-03-16 19:53:00,720,3600,720,23.684210526315788
2026-03-16 19:53:30,720,3600,720,23.076923076923077
2026-03-16 19:54:00,720,3600,720,22.929936305732483
2026-03-16 19:54:30,720,3600,720,22.641509433962263
2026-03-16 19:55:00,720,3600,720,22.641509433962263
2026-03-16 19:55:30,720,3600,720,22.36024844720497
2026-03-16 19:56:00,720,3600,720,22.085889570552148
2026-03-16 19:56:30,720,3600,720,21.95121951219512
2026-03-16 19:57:00,720,3600,720,21.428571428571427
2026-03-16 19:57:30,720,3600,720,21.176470588235293
2026-03-16 19:58:00,720,3600,720,20.930232558139533
2026-03-16 19:58:30,720,3600,720,20.33898305084746
2026-03-16 19:59:00,720,3600,720,20.224719101123597
2026-03-16 19:59:30,720,3600,720,20.11173184357542
2026-03-16 20:00:00,720,3600,720,19.88950276243094
2026-03-16 20:00:30,720,3600,720,19.672131147540984
2026-03-16 20:01:00,720,3600,720,19.25133689839572
2026-03-16 20:01:30,720,3600,720,18.94736842105263
