"Time","rskj-miner1","rskj-miner2","rskj-node2","rskj-miner4","rskj-miner3","rskj-node1"
2026-02-11 09:07:00,3.23 GiB,3.22 GiB,3.21 GiB,2.96 GiB,2.96 GiB,3.07 GiB
2026-02-11 09:08:00,3.19 GiB,3.22 GiB,3.21 GiB,2.96 GiB,2.96 GiB,3.07 GiB
2026-02-11 09:09:00,3.20 GiB,3.23 GiB,3.21 GiB,2.96 GiB,2.97 GiB,3.07 GiB
2026-02-11 09:10:00,3.21 GiB,3.23 GiB,3.21 GiB,2.94 GiB,2.97 GiB,3.07 GiB
2026-02-11 09:11:00,3.22 GiB,3.23 GiB,3.21 GiB,2.93 GiB,2.97 GiB,3.07 GiB
2026-02-11 09:12:00,3.23 GiB,3.23 GiB,3.21 GiB,2.91 GiB,2.97 GiB,3.08 GiB
2026-02-11 09:13:00,3.24 GiB,3.23 GiB,3.21 GiB,2.91 GiB,2.98 GiB,3.08 GiB
2026-02-11 09:14:00,3.25 GiB,3.23 GiB,3.21 GiB,2.89 GiB,2.98 GiB,3.08 GiB
2026-02-11 09:15:00,3.26 GiB,3.24 GiB,3.21 GiB,2.89 GiB,2.98 GiB,3.08 GiB
2026-02-11 09:16:00,3.27 GiB,3.24 GiB,3.21 GiB,2.87 GiB,2.99 GiB,3.09 GiB
2026-02-11 09:17:00,3.28 GiB,3.24 GiB,3.21 GiB,2.87 GiB,2.99 GiB,3.09 GiB
2026-02-11 09:18:00,3.29 GiB,3.25 GiB,3.21 GiB,2.87 GiB,2.99 GiB,3.09 GiB
2026-02-11 09:19:00,3.30 GiB,3.58 GiB,3.70 GiB,2.87 GiB,2.99 GiB,3.09 GiB
2026-02-11 09:20:00,3.31 GiB,3.58 GiB,3.70 GiB,2.87 GiB,2.99 GiB,3.09 GiB
2026-02-11 09:21:00,3.22 GiB,3.58 GiB,3.70 GiB,2.88 GiB,3.00 GiB,3.10 GiB
2026-02-11 09:22:00,3.23 GiB,3.58 GiB,3.70 GiB,2.88 GiB,3.00 GiB,3.10 GiB
2026-02-11 09:23:00,3.24 GiB,3.59 GiB,3.70 GiB,2.88 GiB,3.00 GiB,3.10 GiB
2026-02-11 09:24:00,3.25 GiB,3.59 GiB,3.70 GiB,2.88 GiB,3.00 GiB,3.10 GiB
2026-02-11 09:25:00,3.26 GiB,3.59 GiB,3.70 GiB,2.89 GiB,3.00 GiB,3.10 GiB
2026-02-11 09:26:00,3.27 GiB,3.59 GiB,3.70 GiB,2.89 GiB,3.01 GiB,3.11 GiB
2026-02-11 09:27:00,3.27 GiB,3.60 GiB,3.70 GiB,2.89 GiB,3.01 GiB,3.11 GiB
2026-02-11 09:28:00,3.28 GiB,3.60 GiB,3.70 GiB,2.89 GiB,3.01 GiB,3.11 GiB
2026-02-11 09:29:00,3.29 GiB,3.60 GiB,3.70 GiB,2.89 GiB,3.01 GiB,3.11 GiB
2026-02-11 09:30:00,3.30 GiB,3.60 GiB,3.70 GiB,2.90 GiB,3.01 GiB,3.11 GiB
2026-02-11 09:31:00,3.31 GiB,3.61 GiB,3.70 GiB,2.90 GiB,3.02 GiB,3.11 GiB
2026-02-11 09:32:00,3.32 GiB,3.62 GiB,3.70 GiB,2.90 GiB,3.02 GiB,3.12 GiB
2026-02-11 09:33:00,3.33 GiB,3.62 GiB,3.70 GiB,2.90 GiB,3.02 GiB,3.12 GiB
2026-02-11 09:34:00,3.34 GiB,3.62 GiB,3.70 GiB,2.91 GiB,3.03 GiB,3.12 GiB
2026-02-11 09:35:00,3.25 GiB,3.62 GiB,3.70 GiB,2.91 GiB,3.03 GiB,3.12 GiB
2026-02-11 09:36:00,3.26 GiB,3.63 GiB,3.70 GiB,2.91 GiB,3.03 GiB,3.13 GiB
2026-02-11 09:37:00,3.27 GiB,3.63 GiB,3.70 GiB,2.92 GiB,3.03 GiB,3.13 GiB
2026-02-11 09:38:00,3.28 GiB,3.63 GiB,3.70 GiB,2.92 GiB,3.04 GiB,3.13 GiB
2026-02-11 09:39:00,3.29 GiB,3.64 GiB,3.71 GiB,2.92 GiB,3.04 GiB,3.13 GiB
2026-02-11 09:40:00,3.30 GiB,3.64 GiB,3.71 GiB,2.92 GiB,3.04 GiB,3.13 GiB
2026-02-11 09:41:00,3.35 GiB,3.67 GiB,3.73 GiB,3.08 GiB,3.16 GiB,3.27 GiB
2026-02-11 09:42:00,3.36 GiB,3.67 GiB,3.71 GiB,3.10 GiB,3.18 GiB,3.26 GiB
2026-02-11 09:43:00,3.36 GiB,3.68 GiB,3.71 GiB,3.10 GiB,3.18 GiB,3.26 GiB
2026-02-11 09:44:00,3.37 GiB,3.68 GiB,3.69 GiB,3.11 GiB,3.18 GiB,3.23 GiB
2026-02-11 09:45:00,3.38 GiB,3.69 GiB,3.66 GiB,3.14 GiB,3.19 GiB,3.20 GiB
2026-02-11 09:46:00,3.39 GiB,3.67 GiB,3.63 GiB,3.14 GiB,3.19 GiB,3.22 GiB
2026-02-11 09:47:00,3.40 GiB,3.65 GiB,3.60 GiB,3.14 GiB,3.17 GiB,3.18 GiB
2026-02-11 09:48:00,3.31 GiB,3.66 GiB,3.60 GiB,3.14 GiB,3.17 GiB,3.18 GiB
2026-02-11 09:49:00,3.31 GiB,3.66 GiB,3.60 GiB,3.14 GiB,3.17 GiB,3.18 GiB
2026-02-11 09:50:00,3.32 GiB,3.66 GiB,3.60 GiB,3.14 GiB,3.17 GiB,3.18 GiB
2026-02-11 09:51:00,3.33 GiB,3.66 GiB,3.58 GiB,3.14 GiB,3.14 GiB,3.17 GiB
2026-02-11 09:52:00,3.34 GiB,3.66 GiB,3.58 GiB,3.14 GiB,3.15 GiB,3.17 GiB
2026-02-11 09:53:00,3.35 GiB,3.66 GiB,3.58 GiB,3.14 GiB,3.15 GiB,3.17 GiB
2026-02-11 09:54:00,3.36 GiB,3.66 GiB,3.59 GiB,3.15 GiB,3.15 GiB,3.17 GiB
2026-02-11 09:55:00,3.36 GiB,3.65 GiB,3.57 GiB,3.14 GiB,3.14 GiB,3.17 GiB
2026-02-11 09:56:00,3.37 GiB,3.65 GiB,3.57 GiB,3.14 GiB,3.14 GiB,3.17 GiB
2026-02-11 09:57:00,3.38 GiB,3.60 GiB,3.55 GiB,3.14 GiB,3.14 GiB,3.17 GiB
2026-02-11 09:58:00,3.39 GiB,3.61 GiB,3.55 GiB,3.14 GiB,3.14 GiB,3.17 GiB
2026-02-11 09:59:00,3.39 GiB,3.61 GiB,3.55 GiB,3.15 GiB,3.15 GiB,3.18 GiB
2026-02-11 10:00:00,3.37 GiB,3.56 GiB,3.55 GiB,3.15 GiB,3.15 GiB,3.17 GiB
2026-02-11 10:01:00,3.37 GiB,3.37 GiB,3.46 GiB,3.14 GiB,3.14 GiB,3.16 GiB
2026-02-11 10:02:00,3.37 GiB,3.37 GiB,3.46 GiB,3.15 GiB,3.14 GiB,3.16 GiB
2026-02-11 10:03:00,3.38 GiB,3.38 GiB,3.46 GiB,3.15 GiB,3.14 GiB,3.16 GiB
2026-02-11 10:04:00,3.29 GiB,3.41 GiB,3.48 GiB,3.15 GiB,3.14 GiB,3.16 GiB
2026-02-11 10:05:00,3.30 GiB,3.41 GiB,3.49 GiB,3.16 GiB,3.15 GiB,3.16 GiB
2026-02-11 10:06:00,3.31 GiB,3.41 GiB,3.49 GiB,3.16 GiB,3.15 GiB,3.17 GiB
2026-02-11 10:07:00,3.32 GiB,3.41 GiB,3.49 GiB,3.16 GiB,3.15 GiB,3.17 GiB
2026-02-11 10:08:00,3.32 GiB,3.41 GiB,3.49 GiB,3.17 GiB,3.16 GiB,3.17 GiB
2026-02-11 10:09:00,3.33 GiB,3.42 GiB,3.49 GiB,3.17 GiB,3.16 GiB,3.17 GiB
2026-02-11 10:10:00,3.34 GiB,3.42 GiB,3.49 GiB,3.17 GiB,3.16 GiB,3.17 GiB
2026-02-11 10:11:00,3.36 GiB,3.37 GiB,3.47 GiB,3.17 GiB,3.16 GiB,3.17 GiB
2026-02-11 10:12:00,3.36 GiB,3.37 GiB,3.47 GiB,3.17 GiB,3.16 GiB,3.17 GiB
2026-02-11 10:13:00,3.37 GiB,3.37 GiB,3.44 GiB,3.17 GiB,3.16 GiB,3.17 GiB
2026-02-11 10:14:00,3.38 GiB,3.37 GiB,3.44 GiB,3.17 GiB,3.16 GiB,3.17 GiB
2026-02-11 10:15:00,3.39 GiB,3.38 GiB,3.42 GiB,3.18 GiB,3.15 GiB,3.17 GiB
2026-02-11 10:16:00,3.30 GiB,3.38 GiB,3.40 GiB,3.18 GiB,3.15 GiB,3.17 GiB
2026-02-11 10:17:00,3.31 GiB,3.39 GiB,3.42 GiB,3.18 GiB,3.15 GiB,3.18 GiB
2026-02-11 10:18:00,3.28 GiB,3.39 GiB,3.37 GiB,3.19 GiB,3.15 GiB,3.18 GiB
2026-02-11 10:19:00,3.29 GiB,3.39 GiB,3.37 GiB,3.19 GiB,3.15 GiB,3.18 GiB
2026-02-11 10:20:00,3.29 GiB,3.39 GiB,3.37 GiB,3.19 GiB,3.15 GiB,3.18 GiB
2026-02-11 10:21:00,3.24 GiB,3.40 GiB,3.34 GiB,3.19 GiB,3.16 GiB,3.18 GiB
2026-02-11 10:22:00,3.25 GiB,3.40 GiB,3.34 GiB,3.20 GiB,3.16 GiB,3.18 GiB
2026-02-11 10:23:00,3.21 GiB,3.40 GiB,3.30 GiB,3.20 GiB,3.16 GiB,3.19 GiB
2026-02-11 10:24:00,3.19 GiB,3.36 GiB,3.33 GiB,3.20 GiB,3.17 GiB,3.19 GiB
2026-02-11 10:25:00,3.20 GiB,3.39 GiB,3.28 GiB,3.21 GiB,3.14 GiB,3.19 GiB
2026-02-11 10:26:00,3.21 GiB,3.39 GiB,3.28 GiB,3.21 GiB,3.14 GiB,3.19 GiB
2026-02-11 10:27:00,3.22 GiB,3.40 GiB,3.23 GiB,3.21 GiB,3.10 GiB,3.19 GiB
2026-02-11 10:28:00,3.22 GiB,3.40 GiB,3.23 GiB,3.22 GiB,3.10 GiB,3.20 GiB
2026-02-11 10:29:00,3.19 GiB,3.40 GiB,3.23 GiB,3.20 GiB,3.09 GiB,3.20 GiB
2026-02-11 10:30:00,3.20 GiB,3.41 GiB,3.24 GiB,3.21 GiB,3.10 GiB,3.20 GiB
2026-02-11 10:31:00,3.17 GiB,3.41 GiB,3.23 GiB,3.21 GiB,3.10 GiB,3.20 GiB
2026-02-11 10:32:00,3.18 GiB,3.42 GiB,3.18 GiB,3.21 GiB,3.06 GiB,3.21 GiB
2026-02-11 10:33:00,3.19 GiB,3.42 GiB,3.18 GiB,3.22 GiB,3.06 GiB,3.21 GiB
2026-02-11 10:34:00,3.20 GiB,3.42 GiB,3.18 GiB,3.22 GiB,3.06 GiB,3.21 GiB
2026-02-11 10:35:00,3.18 GiB,3.43 GiB,3.14 GiB,3.23 GiB,3.06 GiB,3.21 GiB
2026-02-11 10:36:00,3.18 GiB,3.43 GiB,3.09 GiB,3.23 GiB,3.04 GiB,3.19 GiB
2026-02-11 10:37:00,3.17 GiB,3.44 GiB,3.04 GiB,3.23 GiB,3.02 GiB,3.20 GiB
2026-02-11 10:38:00,3.18 GiB,3.44 GiB,3.06 GiB,3.23 GiB,3.03 GiB,3.20 GiB
2026-02-11 10:39:00,3.17 GiB,3.44 GiB,3.02 GiB,3.22 GiB,3.03 GiB,3.19 GiB
2026-02-11 10:40:00,3.18 GiB,3.44 GiB,3.02 GiB,3.22 GiB,3.03 GiB,3.20 GiB
2026-02-11 10:41:00,3.19 GiB,3.45 GiB,2.97 GiB,3.23 GiB,3.01 GiB,3.20 GiB
2026-02-11 10:42:00,3.18 GiB,3.44 GiB,2.93 GiB,3.23 GiB,3.01 GiB,3.20 GiB
2026-02-11 10:43:00,3.19 GiB,3.45 GiB,2.93 GiB,3.23 GiB,3.02 GiB,3.20 GiB
2026-02-11 10:44:00,3.20 GiB,3.45 GiB,2.93 GiB,3.24 GiB,3.02 GiB,3.21 GiB
2026-02-11 10:45:00,3.21 GiB,3.45 GiB,2.94 GiB,3.24 GiB,3.03 GiB,3.21 GiB
2026-02-11 10:46:00,3.21 GiB,3.46 GiB,2.89 GiB,3.24 GiB,3.03 GiB,3.19 GiB
2026-02-11 10:47:00,3.22 GiB,3.58 GiB,3.08 GiB,3.14 GiB,3.01 GiB,3.15 GiB
2026-02-11 10:48:00,3.23 GiB,3.55 GiB,3.04 GiB,3.15 GiB,3.01 GiB,3.15 GiB
2026-02-11 10:49:00,3.24 GiB,3.55 GiB,3.04 GiB,3.15 GiB,3.02 GiB,3.15 GiB
2026-02-11 10:50:00,3.25 GiB,3.56 GiB,3.04 GiB,3.15 GiB,3.02 GiB,3.15 GiB
2026-02-11 10:51:00,3.26 GiB,3.56 GiB,2.99 GiB,3.15 GiB,3.02 GiB,3.15 GiB
2026-02-11 10:52:00,3.27 GiB,3.56 GiB,3.00 GiB,3.16 GiB,3.02 GiB,3.15 GiB
2026-02-11 10:53:00,3.28 GiB,3.56 GiB,2.95 GiB,3.16 GiB,3.02 GiB,3.15 GiB
2026-02-11 10:54:00,3.29 GiB,3.56 GiB,2.95 GiB,3.16 GiB,3.02 GiB,3.15 GiB
2026-02-11 10:55:00,3.30 GiB,3.57 GiB,2.91 GiB,3.16 GiB,3.03 GiB,3.15 GiB
2026-02-11 10:56:00,3.21 GiB,3.57 GiB,2.88 GiB,3.17 GiB,3.03 GiB,3.16 GiB
2026-02-11 10:57:00,3.21 GiB,3.57 GiB,2.86 GiB,3.17 GiB,3.03 GiB,3.16 GiB
2026-02-11 10:58:00,3.22 GiB,3.58 GiB,2.87 GiB,3.17 GiB,3.04 GiB,3.16 GiB
2026-02-11 10:59:00,3.23 GiB,3.59 GiB,2.85 GiB,3.18 GiB,3.04 GiB,3.15 GiB
2026-02-11 11:00:00,3.24 GiB,3.59 GiB,2.85 GiB,3.18 GiB,3.04 GiB,3.15 GiB
2026-02-11 11:01:00,3.25 GiB,3.60 GiB,2.81 GiB,3.18 GiB,3.04 GiB,3.14 GiB
2026-02-11 11:02:00,3.26 GiB,3.60 GiB,2.80 GiB,3.19 GiB,3.05 GiB,3.14 GiB
2026-02-11 11:03:00,3.27 GiB,3.60 GiB,2.80 GiB,3.19 GiB,3.05 GiB,3.14 GiB
2026-02-11 11:04:00,3.28 GiB,3.60 GiB,2.81 GiB,3.19 GiB,3.05 GiB,3.14 GiB
2026-02-11 11:05:00,3.29 GiB,3.61 GiB,2.78 GiB,3.19 GiB,3.05 GiB,3.14 GiB
2026-02-11 11:06:00,3.30 GiB,3.61 GiB,2.77 GiB,3.19 GiB,3.06 GiB,3.14 GiB
2026-02-11 11:07:00,3.31 GiB,3.61 GiB,2.77 GiB,3.20 GiB,3.06 GiB,3.14 GiB
2026-02-11 11:08:00,3.31 GiB,3.61 GiB,2.77 GiB,3.20 GiB,3.06 GiB,3.14 GiB
2026-02-11 11:09:00,3.32 GiB,3.62 GiB,2.78 GiB,3.20 GiB,3.06 GiB,3.14 GiB
2026-02-11 11:10:00,3.23 GiB,3.62 GiB,2.78 GiB,3.20 GiB,3.06 GiB,3.14 GiB
2026-02-11 11:11:00,3.24 GiB,3.62 GiB,2.78 GiB,3.20 GiB,3.06 GiB,3.15 GiB
2026-02-11 11:12:00,3.82 GiB,2.83 GiB,2.83 GiB,3.71 GiB,3.09 GiB,3.79 GiB
2026-02-11 11:13:00,3.87 GiB,2.88 GiB,2.83 GiB,3.72 GiB,3.10 GiB,3.80 GiB
2026-02-11 11:14:00,3.87 GiB,2.88 GiB,2.83 GiB,3.72 GiB,3.10 GiB,3.80 GiB
2026-02-11 11:15:00,3.87 GiB,2.84 GiB,2.84 GiB,3.71 GiB,3.10 GiB,3.80 GiB
2026-02-11 11:16:00,3.88 GiB,2.84 GiB,2.84 GiB,3.71 GiB,3.10 GiB,3.81 GiB
2026-02-11 11:17:00,3.89 GiB,2.84 GiB,2.84 GiB,3.71 GiB,3.10 GiB,3.81 GiB
2026-02-11 11:18:00,3.90 GiB,2.84 GiB,2.84 GiB,3.65 GiB,3.10 GiB,3.78 GiB
2026-02-11 11:19:00,3.91 GiB,2.85 GiB,2.84 GiB,3.65 GiB,3.10 GiB,3.79 GiB
2026-02-11 11:20:00,3.92 GiB,2.84 GiB,2.85 GiB,3.60 GiB,3.10 GiB,3.82 GiB
2026-02-11 11:21:00,3.93 GiB,2.83 GiB,2.85 GiB,3.59 GiB,3.13 GiB,3.82 GiB
2026-02-11 11:22:00,3.94 GiB,2.83 GiB,2.85 GiB,3.59 GiB,3.13 GiB,3.82 GiB
2026-02-11 11:23:00,3.95 GiB,2.83 GiB,2.85 GiB,3.53 GiB,3.14 GiB,3.79 GiB
2026-02-11 11:24:00,3.96 GiB,2.85 GiB,2.85 GiB,3.53 GiB,3.14 GiB,3.78 GiB
2026-02-11 11:25:00,3.89 GiB,2.85 GiB,2.85 GiB,3.47 GiB,3.14 GiB,3.75 GiB
2026-02-11 11:26:00,3.89 GiB,2.85 GiB,2.86 GiB,3.48 GiB,3.14 GiB,3.75 GiB
2026-02-11 11:27:00,3.90 GiB,2.85 GiB,2.87 GiB,3.48 GiB,3.14 GiB,3.75 GiB
2026-02-11 11:28:00,3.91 GiB,2.85 GiB,2.87 GiB,3.48 GiB,3.14 GiB,3.75 GiB
2026-02-11 11:29:00,3.92 GiB,2.86 GiB,2.87 GiB,3.42 GiB,3.15 GiB,3.72 GiB
2026-02-11 11:30:00,3.93 GiB,2.86 GiB,2.87 GiB,3.42 GiB,3.15 GiB,3.72 GiB
2026-02-11 11:31:00,3.94 GiB,2.86 GiB,2.87 GiB,3.42 GiB,3.15 GiB,3.72 GiB
2026-02-11 11:32:00,3.95 GiB,2.86 GiB,2.87 GiB,3.37 GiB,3.15 GiB,3.68 GiB
2026-02-11 11:33:00,3.96 GiB,2.86 GiB,2.87 GiB,3.37 GiB,3.15 GiB,3.68 GiB
2026-02-11 11:34:00,3.97 GiB,2.87 GiB,2.88 GiB,3.37 GiB,3.15 GiB,3.68 GiB
2026-02-11 11:35:00,3.98 GiB,2.87 GiB,2.88 GiB,3.32 GiB,3.16 GiB,3.65 GiB
2026-02-11 11:36:00,3.99 GiB,2.87 GiB,2.88 GiB,3.27 GiB,3.16 GiB,3.62 GiB
2026-02-11 11:37:00,4.00 GiB,2.87 GiB,2.88 GiB,3.27 GiB,3.16 GiB,3.63 GiB
2026-02-11 11:38:00,4.00 GiB,2.88 GiB,2.88 GiB,3.27 GiB,3.16 GiB,3.63 GiB
2026-02-11 11:39:00,3.90 GiB,2.88 GiB,2.88 GiB,3.27 GiB,3.16 GiB,3.63 GiB
2026-02-11 11:40:00,3.91 GiB,2.88 GiB,2.91 GiB,3.22 GiB,3.17 GiB,3.60 GiB
2026-02-11 11:41:00,3.92 GiB,2.91 GiB,2.91 GiB,3.20 GiB,3.17 GiB,3.60 GiB
2026-02-11 11:42:00,3.93 GiB,2.88 GiB,2.92 GiB,3.20 GiB,3.17 GiB,3.60 GiB
2026-02-11 11:43:00,3.93 GiB,2.88 GiB,2.92 GiB,3.20 GiB,3.17 GiB,3.60 GiB
2026-02-11 11:44:00,3.94 GiB,2.89 GiB,2.92 GiB,3.20 GiB,3.17 GiB,3.60 GiB
2026-02-11 11:45:00,3.95 GiB,2.88 GiB,2.92 GiB,3.18 GiB,3.18 GiB,3.53 GiB
2026-02-11 11:46:00,3.96 GiB,2.89 GiB,2.92 GiB,3.18 GiB,3.18 GiB,3.53 GiB
2026-02-11 11:47:00,3.97 GiB,2.88 GiB,2.92 GiB,3.18 GiB,3.18 GiB,3.48 GiB
2026-02-11 11:48:00,3.98 GiB,2.86 GiB,2.92 GiB,3.18 GiB,3.18 GiB,3.42 GiB
2026-02-11 11:49:00,3.98 GiB,2.87 GiB,2.92 GiB,3.19 GiB,3.18 GiB,3.42 GiB
2026-02-11 11:50:00,3.99 GiB,2.87 GiB,2.92 GiB,3.19 GiB,3.19 GiB,3.42 GiB
2026-02-11 11:51:00,4.00 GiB,2.86 GiB,2.92 GiB,3.19 GiB,3.19 GiB,3.37 GiB
2026-02-11 11:52:00,3.94 GiB,2.87 GiB,2.92 GiB,3.20 GiB,3.19 GiB,3.37 GiB
2026-02-11 11:53:00,3.85 GiB,2.87 GiB,2.92 GiB,3.20 GiB,3.20 GiB,3.32 GiB
2026-02-11 11:54:00,3.86 GiB,2.88 GiB,2.93 GiB,3.20 GiB,3.20 GiB,3.33 GiB
2026-02-11 11:55:00,3.86 GiB,2.88 GiB,2.93 GiB,3.20 GiB,3.20 GiB,3.33 GiB
2026-02-11 11:56:00,3.87 GiB,2.88 GiB,2.94 GiB,3.21 GiB,3.20 GiB,3.28 GiB
2026-02-11 11:57:00,3.88 GiB,2.88 GiB,2.94 GiB,3.21 GiB,3.20 GiB,3.28 GiB
2026-02-11 11:58:00,3.89 GiB,2.88 GiB,2.94 GiB,3.21 GiB,3.21 GiB,3.28 GiB
2026-02-11 11:59:00,3.90 GiB,2.87 GiB,2.94 GiB,3.22 GiB,3.21 GiB,3.23 GiB
2026-02-11 12:00:00,3.91 GiB,2.86 GiB,2.94 GiB,3.22 GiB,3.21 GiB,3.18 GiB
2026-02-11 12:01:00,3.73 GiB,2.84 GiB,2.90 GiB,3.22 GiB,3.21 GiB,3.10 GiB
2026-02-11 12:02:00,3.74 GiB,2.84 GiB,2.90 GiB,3.22 GiB,3.21 GiB,3.11 GiB
2026-02-11 12:03:00,3.61 GiB,2.84 GiB,2.91 GiB,3.39 GiB,3.37 GiB,3.26 GiB
2026-02-11 12:04:00,3.64 GiB,2.85 GiB,2.91 GiB,3.39 GiB,3.38 GiB,3.26 GiB
2026-02-11 12:05:00,3.59 GiB,2.85 GiB,2.91 GiB,3.40 GiB,3.38 GiB,3.26 GiB
2026-02-11 12:06:00,3.54 GiB,2.85 GiB,2.92 GiB,3.40 GiB,3.38 GiB,3.27 GiB
2026-02-11 12:07:00,3.46 GiB,2.85 GiB,2.92 GiB,3.40 GiB,3.39 GiB,3.27 GiB
2026-02-11 12:08:00,3.47 GiB,2.85 GiB,2.92 GiB,3.41 GiB,3.39 GiB,3.27 GiB
2026-02-11 12:09:00,3.48 GiB,2.86 GiB,2.92 GiB,3.41 GiB,3.39 GiB,3.27 GiB
2026-02-11 12:10:00,3.49 GiB,2.86 GiB,2.92 GiB,3.41 GiB,3.39 GiB,3.28 GiB
2026-02-11 12:11:00,3.44 GiB,2.86 GiB,2.92 GiB,3.41 GiB,3.39 GiB,3.28 GiB
2026-02-11 12:12:00,3.39 GiB,2.86 GiB,2.93 GiB,3.42 GiB,3.40 GiB,3.28 GiB
2026-02-11 12:13:00,3.40 GiB,2.86 GiB,2.93 GiB,3.42 GiB,3.40 GiB,3.28 GiB
2026-02-11 12:14:00,3.41 GiB,2.87 GiB,2.93 GiB,3.42 GiB,3.40 GiB,3.28 GiB
2026-02-11 12:15:00,3.40 GiB,2.87 GiB,2.93 GiB,3.44 GiB,3.41 GiB,3.29 GiB
2026-02-11 12:16:00,3.33 GiB,2.88 GiB,2.94 GiB,3.44 GiB,3.37 GiB,3.29 GiB
2026-02-11 12:17:00,3.34 GiB,2.88 GiB,2.95 GiB,3.44 GiB,3.37 GiB,3.31 GiB
2026-02-11 12:18:00,3.30 GiB,2.88 GiB,2.95 GiB,3.44 GiB,3.34 GiB,3.31 GiB
2026-02-11 12:19:00,3.31 GiB,2.88 GiB,2.95 GiB,3.44 GiB,3.35 GiB,3.31 GiB
2026-02-11 12:20:00,3.22 GiB,2.88 GiB,2.95 GiB,3.45 GiB,3.35 GiB,3.31 GiB
2026-02-11 12:21:00,3.23 GiB,2.89 GiB,2.95 GiB,3.45 GiB,3.35 GiB,3.32 GiB
2026-02-11 12:22:00,3.22 GiB,2.89 GiB,2.96 GiB,3.45 GiB,3.30 GiB,3.32 GiB
2026-02-11 12:23:00,3.22 GiB,2.89 GiB,2.96 GiB,3.45 GiB,3.30 GiB,3.32 GiB
2026-02-11 12:24:00,3.23 GiB,2.89 GiB,2.96 GiB,3.45 GiB,3.30 GiB,3.32 GiB
2026-02-11 12:25:00,3.17 GiB,2.89 GiB,2.96 GiB,3.44 GiB,3.30 GiB,3.30 GiB
2026-02-11 12:26:00,3.13 GiB,3.19 GiB,3.40 GiB,3.22 GiB,3.20 GiB,3.13 GiB
2026-02-11 12:27:00,3.13 GiB,3.18 GiB,3.36 GiB,3.17 GiB,3.20 GiB,3.13 GiB
2026-02-11 12:28:00,3.14 GiB,3.18 GiB,3.36 GiB,3.17 GiB,3.20 GiB,3.14 GiB
2026-02-11 12:29:00,3.14 GiB,3.18 GiB,3.36 GiB,3.17 GiB,3.20 GiB,3.14 GiB
2026-02-11 12:30:00,3.14 GiB,3.19 GiB,3.36 GiB,3.18 GiB,3.21 GiB,3.14 GiB
