"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-11 09:31:00,35.2 kB/s,58.8 kB/s,31.5 kB/s,32.5 kB/s,29.3 kB/s,13.4 kB/s
2026-02-11 09:32:00,38.9 kB/s,63.0 kB/s,24.5 kB/s,28.5 kB/s,33.0 kB/s,8.12 kB/s
2026-02-11 09:33:00,35.0 kB/s,61.4 kB/s,35.9 kB/s,34.7 kB/s,37.7 kB/s,7.95 kB/s
2026-02-11 09:34:00,45.8 kB/s,58.3 kB/s,35.5 kB/s,35.5 kB/s,35.9 kB/s,7.28 kB/s
2026-02-11 09:35:00,40.8 kB/s,57.5 kB/s,32.5 kB/s,32.8 kB/s,39.7 kB/s,2.78 kB/s
2026-02-11 09:36:00,42.7 kB/s,30.8 kB/s,36.0 kB/s,35.7 kB/s,40.7 kB/s,455 B/s
2026-02-11 09:37:00,44.5 kB/s,28.6 kB/s,39.5 kB/s,39.3 kB/s,35.2 kB/s,682 B/s
2026-02-11 09:38:00,48.5 kB/s,31.8 kB/s,31.6 kB/s,33.7 kB/s,33.6 kB/s,642 B/s
2026-02-11 09:39:00,43.9 kB/s,36.1 kB/s,31.8 kB/s,27.5 kB/s,37.7 kB/s,669 B/s
2026-02-11 09:40:00,49.1 kB/s,34.9 kB/s,34.0 kB/s,31.4 kB/s,34.8 kB/s,696 B/s
2026-02-11 09:41:00,68.6 kB/s,36.1 kB/s,77.5 kB/s,71.8 kB/s,72.4 kB/s,5.07 kB/s
2026-02-11 09:42:00,174 kB/s,37.5 kB/s,124 kB/s,114 kB/s,159 kB/s,13.5 kB/s
2026-02-11 09:43:00,169 kB/s,48.9 kB/s,126 kB/s,120 kB/s,152 kB/s,24.4 kB/s
2026-02-11 09:44:00,169 kB/s,46.0 kB/s,132 kB/s,137 kB/s,138 kB/s,31.7 kB/s
2026-02-11 09:45:00,174 kB/s,56.2 kB/s,289 kB/s,272 kB/s,133 kB/s,34.0 kB/s
2026-02-11 09:46:00,150 kB/s,54.7 kB/s,237 kB/s,224 kB/s,236 kB/s,29.8 kB/s
2026-02-11 09:47:00,48.4 kB/s,58.6 kB/s,184 kB/s,175 kB/s,148 kB/s,21.1 kB/s
2026-02-11 09:48:00,47.5 kB/s,57.9 kB/s,176 kB/s,163 kB/s,148 kB/s,23.9 kB/s
2026-02-11 09:49:00,35.2 kB/s,54.9 kB/s,163 kB/s,143 kB/s,148 kB/s,24.5 kB/s
2026-02-11 09:50:00,18.4 kB/s,51.4 kB/s,0 kB/s,0 kB/s,147 kB/s,30.3 kB/s
2026-02-11 09:51:00,17.4 kB/s,100 kB/s,0 kB/s,0 kB/s,0 kB/s,36.3 kB/s
2026-02-11 09:52:00,16.8 kB/s,89.9 kB/s,26.8 B/s,0 kB/s,13.4 B/s,38.9 kB/s
2026-02-11 09:53:00,20.5 kB/s,84.2 kB/s,4.09 kB/s,8.13 kB/s,80.3 B/s,34.7 kB/s
2026-02-11 09:54:00,29.4 kB/s,84.3 kB/s,8.15 kB/s,20.6 kB/s,80.3 B/s,69.9 kB/s
2026-02-11 09:55:00,30.6 kB/s,93.7 kB/s,19.6 kB/s,29.7 kB/s,9.86 kB/s,65.0 kB/s
2026-02-11 09:56:00,26.9 kB/s,48.9 kB/s,29.7 kB/s,43.3 kB/s,31.9 kB/s,77.7 kB/s
2026-02-11 09:57:00,16.6 kB/s,52.1 kB/s,33.4 kB/s,43.4 kB/s,45.0 kB/s,85.3 kB/s
2026-02-11 09:58:00,10.5 kB/s,48.9 kB/s,38.4 kB/s,43.6 kB/s,50.6 kB/s,75.7 kB/s
2026-02-11 09:59:00,5.44 kB/s,56.9 kB/s,47.3 kB/s,39.1 kB/s,55.7 kB/s,34.8 kB/s
2026-02-11 10:00:00,10.4 kB/s,44.2 kB/s,42.1 kB/s,36.1 kB/s,45.9 kB/s,31.5 kB/s
2026-02-11 10:01:00,10.5 kB/s,33.4 kB/s,40.3 kB/s,26.6 kB/s,30.7 kB/s,12.8 kB/s
2026-02-11 10:02:00,14.5 kB/s,38.5 kB/s,41.2 kB/s,30.7 kB/s,17.7 kB/s,2.64 kB/s
2026-02-11 10:03:00,20.5 kB/s,43.2 kB/s,40.9 kB/s,30.9 kB/s,12.0 kB/s,2.69 kB/s
2026-02-11 10:04:00,16.6 kB/s,34.1 kB/s,35.0 kB/s,36.9 kB/s,9.77 kB/s,763 B/s
2026-02-11 10:05:00,10.8 kB/s,32.1 kB/s,36.2 kB/s,35.2 kB/s,9.78 kB/s,816 B/s
2026-02-11 10:06:00,15.6 kB/s,30.1 kB/s,40.6 kB/s,41.5 kB/s,15.8 kB/s,7.84 kB/s
2026-02-11 10:07:00,24.7 kB/s,25.2 kB/s,40.0 kB/s,40.9 kB/s,25.6 kB/s,7.71 kB/s
2026-02-11 10:08:00,21.7 kB/s,18.8 kB/s,43.5 kB/s,40.6 kB/s,29.8 kB/s,7.73 kB/s
2026-02-11 10:09:00,27.7 kB/s,20.1 kB/s,39.0 kB/s,28.9 kB/s,31.4 kB/s,7.67 kB/s
2026-02-11 10:10:00,32.8 kB/s,25.2 kB/s,38.1 kB/s,33.2 kB/s,43.8 kB/s,14.6 kB/s
2026-02-11 10:11:00,39.7 kB/s,29.6 kB/s,34.6 kB/s,28.1 kB/s,34.1 kB/s,9.81 kB/s
2026-02-11 10:12:00,31.2 kB/s,25.8 kB/s,34.4 kB/s,31.7 kB/s,29.3 kB/s,14.6 kB/s
2026-02-11 10:13:00,29.8 kB/s,25.1 kB/s,24.3 kB/s,25.7 kB/s,30.8 kB/s,22.4 kB/s
2026-02-11 10:14:00,28.5 kB/s,25.9 kB/s,36.1 kB/s,35.1 kB/s,28.4 kB/s,27.0 kB/s
2026-02-11 10:15:00,34.7 kB/s,60.9 kB/s,33.5 kB/s,34.5 kB/s,29.6 kB/s,22.1 kB/s
2026-02-11 10:16:00,35.8 kB/s,67.9 kB/s,29.4 kB/s,34.9 kB/s,30.5 kB/s,27.4 kB/s
2026-02-11 10:17:00,39.5 kB/s,71.5 kB/s,38.9 kB/s,34.4 kB/s,30.0 kB/s,69.5 kB/s
2026-02-11 10:18:00,41.2 kB/s,78.4 kB/s,42.2 kB/s,41.5 kB/s,29.4 kB/s,67.3 kB/s
2026-02-11 10:19:00,49.3 kB/s,76.5 kB/s,35.7 kB/s,39.5 kB/s,36.1 kB/s,69.5 kB/s
2026-02-11 10:20:00,45.8 kB/s,36.5 kB/s,38.1 kB/s,34.0 kB/s,27.9 kB/s,74.5 kB/s
2026-02-11 10:21:00,33.1 kB/s,38.3 kB/s,45.8 kB/s,33.1 kB/s,28.7 kB/s,76.7 kB/s
2026-02-11 10:22:00,32.6 kB/s,38.5 kB/s,38.2 kB/s,43.2 kB/s,26.8 kB/s,33.9 kB/s
2026-02-11 10:23:00,32.7 kB/s,34.7 kB/s,48.2 kB/s,39.7 kB/s,31.8 kB/s,43.0 kB/s
2026-02-11 10:24:00,24.5 kB/s,186 kB/s,45.3 kB/s,32.0 kB/s,26.5 kB/s,45.6 kB/s
2026-02-11 10:25:00,21.5 kB/s,196 kB/s,49.6 kB/s,40.7 kB/s,29.7 kB/s,45.9 kB/s
2026-02-11 10:26:00,27.0 kB/s,189 kB/s,47.7 kB/s,43.8 kB/s,29.0 kB/s,40.0 kB/s
2026-02-11 10:27:00,24.2 kB/s,187 kB/s,50.0 kB/s,32.3 kB/s,34.7 kB/s,42.9 kB/s
2026-02-11 10:28:00,27.0 kB/s,195 kB/s,40.5 kB/s,44.1 kB/s,33.6 kB/s,37.9 kB/s
2026-02-11 10:29:00,26.8 kB/s,47.0 kB/s,298 kB/s,277 kB/s,44.4 kB/s,34.1 kB/s
2026-02-11 10:30:00,340 kB/s,48.7 kB/s,296 kB/s,281 kB/s,49.0 kB/s,47.5 kB/s
2026-02-11 10:31:00,356 kB/s,50.3 kB/s,299 kB/s,280 kB/s,51.6 kB/s,51.7 kB/s
2026-02-11 10:32:00,355 kB/s,51.2 kB/s,301 kB/s,277 kB/s,63.9 kB/s,55.3 kB/s
2026-02-11 10:33:00,361 kB/s,40.1 kB/s,301 kB/s,279 kB/s,56.9 kB/s,52.7 kB/s
2026-02-11 10:34:00,362 kB/s,44.6 kB/s,51.4 kB/s,56.4 kB/s,52.3 kB/s,51.9 kB/s
2026-02-11 10:35:00,56.3 kB/s,69.0 kB/s,52.1 kB/s,51.6 kB/s,44.5 kB/s,37.2 kB/s
2026-02-11 10:36:00,42.3 kB/s,64.2 kB/s,42.6 kB/s,48.9 kB/s,50.5 kB/s,34.1 kB/s
2026-02-11 10:37:00,48.0 kB/s,70.4 kB/s,36.3 kB/s,53.3 kB/s,41.7 kB/s,34.8 kB/s
