"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2","rskj-node2","rskj-node1","rskj-miner3","rskj-miner4","rskj-miner2","rskj-miner1"
2026-02-11 08:43:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:43:40,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:44:00,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:44:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:44:40,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:45:00,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:45:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:45:40,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:46:00,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:46:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:46:40,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:47:00,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:47:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:47:40,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:48:00,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:48:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:48:40,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:49:00,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:49:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:49:40,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:50:00,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:50:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:50:40,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:51:00,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:51:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:51:40,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:52:00,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:52:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:52:40,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:53:00,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:53:20,2.44,0.953,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:53:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:54:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:54:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:54:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:55:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:55:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:55:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:56:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:56:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:56:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:57:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:57:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:57:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:58:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:58:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:58:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:59:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:59:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 08:59:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:00:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:00:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:00:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:01:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:01:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:01:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:02:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:02:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:02:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:03:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:03:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:03:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:04:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:04:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:04:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:05:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:05:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:05:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:06:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:06:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:06:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:07:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:07:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:07:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:08:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:08:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:08:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:09:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:09:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:09:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:10:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:10:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:10:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:11:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:11:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:11:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:12:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:12:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:12:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:13:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:13:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:13:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:14:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:14:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:14:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:15:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:15:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:15:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:16:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:16:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:16:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:17:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:17:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:17:40,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:18:00,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:18:20,2.44,1.00,3.57,3.93,3.98,1.07,,,,,,
2026-02-11 09:18:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:19:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:19:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:19:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:20:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:20:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:20:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:21:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:21:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:21:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:22:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:22:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:22:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:23:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:23:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:23:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:24:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:24:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:24:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:25:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:25:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:25:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:26:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:26:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:26:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:27:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:27:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:27:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:28:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:28:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:28:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:29:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:29:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:29:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:30:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:30:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:30:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:31:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:31:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:31:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:32:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:32:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:32:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:33:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:33:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:33:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:34:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:34:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:34:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:35:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:35:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:35:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:36:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:36:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:36:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:37:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:37:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:37:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:38:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:38:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:38:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:39:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:39:20,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:39:40,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:40:00,2.44,1.34,3.57,3.93,3.98,1.52,,,,,,
2026-02-11 09:40:20,2.44,1.34,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:40:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:41:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:41:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:41:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:42:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:42:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:42:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:43:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:43:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:43:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:44:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:44:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:44:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:45:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:45:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:45:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:46:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:46:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:46:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:47:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:47:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:47:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:48:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:48:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:48:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:49:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:49:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:49:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:50:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:50:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:50:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:51:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:51:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:51:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:52:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:52:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:52:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:53:00,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:53:20,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
2026-02-11 09:53:40,2.44,0.994,3.57,3.93,3.98,1.38,,,,,,
