"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-03 12:49:00,11.1%,10.0%,8.78%,10.6%,11.3%,11.3%
2026-02-03 12:50:00,6.12%,10.0%,10.9%,10.4%,11.7%,12.2%
2026-02-03 12:51:00,10.7%,21.7%,9.56%,15.3%,9.97%,11.5%
2026-02-03 12:52:00,18.8%,27.7%,16.3%,11.1%,12.8%,11.6%
2026-02-03 12:53:00,22.9%,21.3%,17.5%,19.8%,25.6%,19.6%
2026-02-03 12:54:00,29.9%,25.6%,25.1%,26.4%,28.6%,22.6%
2026-02-03 12:55:00,19.6%,9.64%,9.47%,10.9%,16.4%,16.1%
2026-02-03 12:56:00,12.3%,10.6%,10.4%,14.8%,9.78%,14.5%
2026-02-03 12:57:00,9.14%,13.2%,12.1%,12.2%,9.75%,11.0%
2026-02-03 12:58:00,20.5%,22.2%,11.2%,11.3%,9.07%,12.5%
2026-02-03 12:59:00,21.5%,16.9%,16.9%,12.2%,12.2%,10.1%
2026-02-03 13:00:00,14.5%,8.75%,8.32%,13.1%,9.44%,9.83%
2026-02-03 13:01:00,5.41%,5.53%,10.0%,7.10%,9.32%,5.81%
2026-02-03 13:02:00,16.4%,9.88%,8.75%,10.2%,10.7%,6.75%
2026-02-03 13:03:00,20.5%,14.0%,6.36%,6.70%,9.97%,14.5%
2026-02-03 13:04:00,18.7%,14.8%,5.05%,14.6%,11.6%,11.8%
2026-02-03 13:05:00,11.3%,15.1%,9.29%,4.56%,9.49%,11.1%
2026-02-03 13:06:00,15.4%,6.78%,6.07%,6.75%,6.02%,6.14%
2026-02-03 13:07:00,12.4%,12.6%,8.66%,15.1%,9.73%,10.3%
2026-02-03 13:08:00,12.7%,10.8%,5.32%,17.2%,10.6%,16.3%
2026-02-03 13:09:00,30.1%,27.2%,21.5%,30.2%,27.5%,24.4%
2026-02-03 13:10:00,12.0%,10.0%,15.8%,8.27%,6.14%,13.4%
2026-02-03 13:11:00,12.7%,9.97%,9.51%,11.8%,11.0%,11.1%
2026-02-03 13:12:00,10.6%,9.30%,8.56%,10.4%,13.5%,9.73%
2026-02-03 13:13:00,5.86%,13.7%,8.75%,11.7%,6.30%,10.5%
2026-02-03 13:14:00,11.4%,5.22%,4.54%,6.42%,9.86%,6.39%
2026-02-03 13:15:00,6.44%,10.9%,4.68%,12.1%,10.1%,10.9%
