"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner3:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-node2:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner3:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)","rskj-node2:8080 (MarkSweepCompact)"
2026-02-11 08:40:20,4.07 ms,5.41 ms,2.22 ms,1.19 ms,3.68 ms,2.51 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:40:40,4.64 ms,6.63 ms,1.27 ms,2.44 ms,1.22 ms,2.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:41:00,4.41 ms,4.10 ms,3.32 ms,1.25 ms,1.22 ms,2.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:41:20,4.47 ms,6.54 ms,3.32 ms,2.69 ms,2.97 ms,6.25 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:41:40,2.58 ms,2.44 ms,1.36 ms,1.44 ms,1.75 ms,3.90 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:42:00,1.05 ms,5.10 ms,1.36 ms,1.44 ms,1.75 ms,3.90 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:42:20,1.95 ms,2.66 ms,2.53 ms,1.64 ms,1.75 ms,2.31 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:42:40,3.47 ms,2.66 ms,1.17 ms,1.64 ms,1.75 ms,2.31 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:43:00,5.17 ms,3.47 ms,1.17 ms,3.15 ms,1.75 ms,2.31 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:43:20,3.85 ms,3.47 ms,1.24 ms,1.51 ms,2.47 ms,2.53 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:43:40,2.56 ms,5.25 ms,1.24 ms,1.51 ms,2.47 ms,2.53 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:44:00,2.10 ms,1.78 ms,2.63 ms,2.78 ms,4.54 ms,6.64 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:44:20,3.10 ms,2.59 ms,1.39 ms,2.78 ms,2.07 ms,4.12 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:44:40,3.49 ms,814 µs,1.39 ms,2.69 ms,2.07 ms,4.12 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:45:00,3.83 ms,1.61 ms,2.78 ms,2.69 ms,1.83 ms,4.05 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:45:20,3.78 ms,797 µs,2.78 ms,4.00 ms,1.83 ms,4.05 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:45:40,3.76 ms,797 µs,2.14 ms,1.31 ms,1.83 ms,4.05 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:46:00,4.98 ms,1.53 ms,2.14 ms,3.03 ms,2.98 ms,1.76 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:46:20,4.86 ms,2.86 ms,3.51 ms,1.73 ms,2.98 ms,1.76 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:46:40,5.00 ms,1.34 ms,1.37 ms,1.73 ms,1.49 ms,1.03 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:47:00,4.20 ms,2.19 ms,1.17 ms,3.51 ms,1.49 ms,1.03 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:47:20,2.90 ms,847 µs,1.17 ms,3.51 ms,1.49 ms,1.03 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-11 08:47:40,2.51 ms,847 µs,1.17 ms,5.56 ms,1.95 ms,1.76 ms,0 s,0 s,0 s,0 s,0 s,0 s
