"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner3:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-node2:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner3:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max","rskj-node2:8080-max"
2026-02-11 08:50:20,1.87 GiB,1.35 GiB,2.04 GiB,1.49 GiB,1.90 GiB,1.66 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:50:40,1.89 GiB,1.72 GiB,1.57 GiB,1.81 GiB,1.39 GiB,1.97 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:51:00,1.50 GiB,1.44 GiB,2.07 GiB,1.51 GiB,1.80 GiB,1.54 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:51:20,1.52 GiB,1.72 GiB,1.50 GiB,1.74 GiB,2.01 GiB,1.74 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:51:40,1.55 GiB,1.96 GiB,1.69 GiB,1.93 GiB,1.38 GiB,1.96 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:52:00,1.90 GiB,1.70 GiB,1.45 GiB,1.65 GiB,1.91 GiB,1.60 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:52:20,1.86 GiB,1.94 GiB,1.64 GiB,1.84 GiB,2.07 GiB,1.77 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:52:40,1.97 GiB,1.29 GiB,1.78 GiB,1.99 GiB,1.42 GiB,1.95 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:53:00,1.73 GiB,1.78 GiB,1.44 GiB,1.65 GiB,1.84 GiB,1.49 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:53:20,1.88 GiB,1.36 GiB,1.76 GiB,1.97 GiB,2.11 GiB,1.76 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:53:40,2.09 GiB,1.77 GiB,1.35 GiB,1.56 GiB,1.63 GiB,1.35 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:54:00,1.59 GiB,1.43 GiB,1.76 GiB,1.93 GiB,2.01 GiB,1.69 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:54:20,1.63 GiB,1.74 GiB,2.03 GiB,1.40 GiB,1.47 GiB,1.94 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:54:40,1.65 GiB,1.93 GiB,1.42 GiB,1.59 GiB,1.63 GiB,1.36 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:55:00,1.90 GiB,1.59 GiB,1.88 GiB,2.06 GiB,2.08 GiB,1.73 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:55:20,2.02 GiB,1.91 GiB,1.39 GiB,1.58 GiB,1.56 GiB,1.98 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:55:40,1.90 GiB,1.30 GiB,1.54 GiB,1.72 GiB,1.70 GiB,1.36 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:56:00,1.44 GiB,1.83 GiB,2.02 GiB,1.43 GiB,1.35 GiB,1.76 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:56:20,1.43 GiB,1.34 GiB,1.51 GiB,1.71 GiB,1.61 GiB,2.02 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:56:40,1.56 GiB,1.69 GiB,1.83 GiB,2.03 GiB,1.86 GiB,1.53 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:57:00,1.91 GiB,1.49 GiB,1.65 GiB,1.80 GiB,1.60 GiB,1.97 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:57:20,1.99 GiB,1.83 GiB,1.95 GiB,2.10 GiB,1.83 GiB,1.41 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:57:40,2.00 GiB,1.29 GiB,1.40 GiB,1.54 GiB,2.05 GiB,1.68 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:58:00,1.63 GiB,1.95 GiB,2.04 GiB,1.39 GiB,1.80 GiB,1.40 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:58:20,1.82 GiB,1.53 GiB,1.57 GiB,1.71 GiB,2.03 GiB,1.62 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:58:40,2.01 GiB,1.67 GiB,1.71 GiB,1.86 GiB,1.38 GiB,1.79 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:59:00,1.93 GiB,1.56 GiB,1.57 GiB,1.71 GiB,1.98 GiB,1.53 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:59:20,1.95 GiB,1.75 GiB,1.71 GiB,1.85 GiB,2.12 GiB,1.68 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:59:40,2.05 GiB,1.30 GiB,2.06 GiB,1.40 GiB,1.62 GiB,2.02 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:00:00,1.59 GiB,1.83 GiB,1.71 GiB,1.91 GiB,2.06 GiB,1.53 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:00:20,1.68 GiB,1.27 GiB,1.94 GiB,2.14 GiB,1.45 GiB,1.72 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:00:40,1.64 GiB,1.55 GiB,1.38 GiB,1.57 GiB,1.68 GiB,1.99 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:01:00,1.97 GiB,1.25 GiB,1.87 GiB,2.02 GiB,2.13 GiB,1.49 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:01:20,2.11 GiB,1.54 GiB,2.11 GiB,1.51 GiB,1.52 GiB,1.68 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:01:40,2.12 GiB,1.77 GiB,1.51 GiB,1.70 GiB,1.69 GiB,1.89 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:02:00,1.71 GiB,1.68 GiB,1.40 GiB,1.60 GiB,1.51 GiB,1.65 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:02:20,1.76 GiB,2.02 GiB,1.69 GiB,1.89 GiB,1.76 GiB,1.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:02:40,1.80 GiB,1.49 GiB,1.91 GiB,2.11 GiB,1.95 GiB,1.35 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:03:00,1.40 GiB,1.35 GiB,1.75 GiB,1.93 GiB,1.74 GiB,1.85 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:03:20,2.12 GiB,1.54 GiB,1.89 GiB,2.07 GiB,1.88 GiB,1.99 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:03:40,2.08 GiB,1.68 GiB,2.04 GiB,1.42 GiB,2.03 GiB,1.38 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:04:00,2.17 GiB,1.41 GiB,1.73 GiB,1.94 GiB,1.65 GiB,1.76 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:04:20,1.59 GiB,1.66 GiB,1.92 GiB,2.13 GiB,1.81 GiB,1.93 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:04:40,2.01 GiB,1.85 GiB,2.12 GiB,1.53 GiB,1.99 GiB,1.36 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:05:00,1.43 GiB,1.59 GiB,1.81 GiB,2.04 GiB,1.65 GiB,1.77 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:05:20,1.50 GiB,1.89 GiB,2.08 GiB,1.52 GiB,1.90 GiB,2.02 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:05:40,1.49 GiB,1.30 GiB,1.48 GiB,1.70 GiB,2.06 GiB,1.45 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:06:00,1.77 GiB,1.86 GiB,2.03 GiB,1.44 GiB,1.74 GiB,1.84 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 09:06:20,1.81 GiB,1.26 GiB,1.43 GiB,1.63 GiB,1.90 GiB,2.01 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
