"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner3:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-node2:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner3:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max","rskj-node2:8080-max"
2026-02-10 12:46:00,641 MiB,583 MiB,505 MiB,156 MiB,351 MiB,743 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:48:00,277 MiB,916 MiB,670 MiB,333 MiB,358 MiB,786 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:50:00,513 MiB,798 MiB,474 MiB,884 MiB,695 MiB,252 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:52:00,350 MiB,682 MiB,199 MiB,584 MiB,907 MiB,491 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:54:00,230 MiB,443 MiB,572 MiB,166 MiB,286 MiB,632 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:56:00,575 MiB,394 MiB,330 MiB,788 MiB,612 MiB,908 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 12:58:00,500 MiB,848 MiB,581 MiB,231 MiB,616 MiB,906 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:00:00,981 MiB,860 MiB,386 MiB,822 MiB,929 MiB,397 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:02:00,353 MiB,774 MiB,971 MiB,596 MiB,419 MiB,666 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:04:00,716 MiB,308 MiB,319 MiB,740 MiB,452 MiB,679 MiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
