"Time","_15m","_5m","_15m"
2026-02-10 12:40:00,3.95,4,3.93
2026-02-10 12:50:00,3.87,3.68,3.76
2026-02-10 13:00:00,4.01,3.78,3.78
2026-02-10 13:10:00,3.62,3.70,3.71
2026-02-10 13:20:00,4.98,4.24,3.94
2026-02-10 13:30:00,3.95,4.04,3.98
2026-02-10 13:40:00,3.72,3.70,3.81
2026-02-10 13:50:00,3.75,3.76,3.81
2026-02-10 14:00:00,3.78,3.81,3.80
2026-02-10 14:10:00,10.3,8.56,6.03
2026-02-10 14:20:00,8.36,8.65,7.27
2026-02-10 14:30:00,7.34,8.18,7.79
2026-02-10 14:40:00,7.71,8.23,7.99
2026-02-10 14:50:00,3.59,4.96,6.52
2026-02-10 15:00:00,3.91,3.99,5.24
2026-02-10 15:10:00,4.37,4.57,4.93
2026-02-10 15:20:00,5.66,4.99,4.84
2026-02-10 15:30:00,5.95,6,5.52
2026-02-10 15:40:00,5.03,5.47,5.43
2026-02-10 15:50:00,4.76,4.95,5.17
2026-02-10 16:00:00,5.40,4.63,4.86
2026-02-10 16:10:00,3.96,4.58,4.76
2026-02-10 16:20:00,3.82,4.08,4.40
2026-02-10 16:30:00,3.72,3.83,4.10
2026-02-10 16:40:00,3.77,3.76,3.91
2026-02-10 16:50:00,3.64,3.87,3.92
2026-02-10 17:00:00,4.55,4.07,3.96
2026-02-10 17:10:00,3.55,3.96,3.97
2026-02-10 17:20:00,4.16,4.36,4.17
2026-02-10 17:30:00,6.08,4.97,4.47
2026-02-10 17:40:00,4.51,4.67,4.56
2026-02-10 17:50:00,4.15,4.22,4.37
2026-02-10 18:00:00,4.91,4.79,4.61
2026-02-10 18:10:00,4.08,4.11,4.32
2026-02-10 18:20:00,3.66,3.64,3.97
2026-02-10 18:30:00,3.54,3.73,3.91
2026-02-10 18:40:00,4.37,3.92,3.87
2026-02-10 18:50:00,4.85,4.40,4.10
2026-02-10 19:00:00,3.31,3.83,3.99
2026-02-10 19:10:00,4.52,4.20,4.07
2026-02-10 19:20:00,4.18,3.87,3.92
2026-02-10 19:30:00,3.10,3.68,3.84
2026-02-10 19:40:00,4.16,3.96,3.90
2026-02-10 19:50:00,4.02,3.87,3.84
2026-02-10 20:00:00,3.80,3.96,3.95
2026-02-10 20:10:00,3.20,3.48,3.71
2026-02-10 20:20:00,3.94,4.07,3.93
2026-02-10 20:30:00,3.87,3.92,3.93
2026-02-10 20:40:00,3.30,3.62,3.80
2026-02-10 20:50:00,3.77,3.89,3.90
2026-02-10 21:00:00,4.31,4.03,3.93
2026-02-10 21:10:00,12.8,13.2,8.99
2026-02-10 21:20:00,8.98,9.96,9.33
2026-02-10 21:30:00,10.1,8.93,8.99
2026-02-10 21:40:00,13.0,10.8,9.71
2026-02-10 21:50:00,8.60,9.92,9.96
2026-02-10 22:00:00,7.94,8.14,8.91
2026-02-10 22:10:00,6.35,7.97,8.75
2026-02-10 22:20:00,6.36,6.65,7.72
2026-02-10 22:30:00,6.14,6.11,6.95
2026-02-10 22:40:00,5.67,5.46,6.15
2026-02-10 22:50:00,4.31,4.64,5.36
2026-02-10 23:00:00,3.78,4.16,4.80
2026-02-10 23:10:00,3.99,4.23,4.55
2026-02-10 23:20:00,3.73,3.73,4.12
2026-02-10 23:30:00,4.05,3.93,4.05
2026-02-10 23:40:00,3.52,3.73,3.89
2026-02-10 23:50:00,3.89,3.96,4.01
2026-02-11 00:00:00,4.34,4.16,4.07
2026-02-11 00:10:00,4.06,3.89,3.95
2026-02-11 00:20:00,4.12,4.03,3.98
2026-02-11 00:30:00,4.46,4.87,4.46
2026-02-11 00:40:00,4.17,4.09,4.23
2026-02-11 00:50:00,3.31,3.71,3.99
2026-02-11 01:00:00,3.43,3.59,3.80
2026-02-11 01:10:00,3.75,3.87,3.86
2026-02-11 01:20:00,3.36,3.68,3.77
2026-02-11 01:30:00,3.44,3.57,3.70
2026-02-11 01:40:00,4.22,4.18,3.92
2026-02-11 01:50:00,4.69,4.09,3.99
2026-02-11 02:00:00,3.93,3.91,3.93
2026-02-11 02:10:00,3.50,3.65,3.78
2026-02-11 02:20:00,4.45,4.14,3.98
2026-02-11 02:30:00,3.76,3.90,3.93
2026-02-11 02:40:00,4.72,4.09,3.98
2026-02-11 02:50:00,3.95,3.86,3.90
2026-02-11 03:00:00,4.03,4.03,3.97
2026-02-11 03:10:00,4.04,4.24,4.11
2026-02-11 03:20:00,3.75,4.19,4.20
2026-02-11 03:30:00,4.09,4.01,4.08
2026-02-11 03:40:00,3.98,3.74,3.89
2026-02-11 03:50:00,3.53,3.74,3.84
2026-02-11 04:00:00,11.3,7.65,5.48
2026-02-11 04:10:00,15.5,14.6,10.6
2026-02-11 04:20:00,10.0,10.7,10.4
2026-02-11 04:30:00,7.93,8.46,9.33
2026-02-11 04:40:00,9.99,9.23,9.24
2026-02-11 04:50:00,8.82,8.79,8.97
2026-02-11 05:00:00,10.5,9.02,8.79
2026-02-11 05:10:00,6.26,7.38,8.21
2026-02-11 05:20:00,7.26,7.07,7.55
2026-02-11 05:30:00,6,6.03,6.74
2026-02-11 05:40:00,5.11,5.34,5.97
2026-02-11 05:50:00,4.62,4.66,5.27
2026-02-11 06:00:00,5.61,4.72,4.93
2026-02-11 06:10:00,4.19,4.21,4.53
2026-02-11 06:20:00,4.44,4.18,4.30
2026-02-11 06:30:00,3.59,3.85,4.06
2026-02-11 06:40:00,3.71,3.82,3.96
2026-02-11 06:50:00,3.34,3.61,3.82
2026-02-11 07:00:00,4.07,4.21,4.03
2026-02-11 07:10:00,5.59,4.23,4.02
2026-02-11 07:20:00,5.06,4.96,4.47
2026-02-11 07:30:00,5.34,4.93,4.66
2026-02-11 07:40:00,4.34,4.19,4.40
2026-02-11 07:50:00,3.96,4.11,4.26
2026-02-11 08:00:00,3.89,3.93,4.09
2026-02-11 08:10:00,3.76,3.71,3.89
2026-02-11 08:20:00,3.51,3.69,3.85
2026-02-11 08:30:00,5.51,4.91,4.37
2026-02-11 08:40:00,3.62,4.13,4.27
2026-02-11 08:50:00,4.45,4.55,4.47
2026-02-11 09:00:00,4.64,4.16,4.27
2026-02-11 09:10:00,5.07,4.22,4.19
2026-02-11 09:20:00,4.81,4.47,4.30
2026-02-11 09:30:00,4.26,4.38,4.28
2026-02-11 09:40:00,4.12,4.54,4.38
2026-02-11 09:50:00,4.77,4.71,4.54
2026-02-11 10:00:00,5.40,5.51,5.05
2026-02-11 10:10:00,8.91,6.68,5.82
2026-02-11 10:20:00,8.10,8.30,7.13
2026-02-11 10:30:00,11.4,8.69,7.66
2026-02-11 10:40:00,9.25,9.25,8.48
2026-02-11 10:50:00,8.26,8.70,8.60
2026-02-11 11:00:00,17.6,15.2,11.8
2026-02-11 11:10:00,5.76,9.48,10.9
2026-02-11 11:20:00,3.77,5.14,8.03
2026-02-11 11:30:00,3.76,4.35,6.20
2026-02-11 11:40:00,5.04,4.33,5.25
2026-02-11 11:50:00,3.47,3.76,4.51
2026-02-11 12:00:00,3.88,4.46,4.56
2026-02-11 12:10:00,3.73,3.96,4.24
2026-02-11 12:20:00,4.44,3.99,4.12
2026-02-11 12:30:00,3.91,4.30,4.26
2026-02-11 12:40:00,3.82,4.31,4.31
